English,translation,back_translation
"For each word, enter the age (in years) when you think you learned it, or select X if unknown.","Для кожного слова введіть вік (в роках), коли ви думаєте, що ви навчилися його, або виберіть Х, якщо невідоме.","For each word, enter the age (in years) when you think you have learned it, or choose X if you don't know."
"For each word, rate arousal (1 = very calm/relaxed, 9 = very excited/activated). If you do not know the word, leave the rating blank and mark X below.","Для кожного слова оцініть ""вибух"""" (1 = дуже спокійний, 9 = дуже збуджений, активований) Якщо ви не знаєте слова, залиште оцінення порожнім і позначте X нижче.","For each word, rate ""explosion"" (1 = very calm, 9 = very excited, activated) If you don't know the word, leave the rating blank and mark X below."
"For each word, rate how abstract (1) or concrete (9) it feels. If you do not know the word, leave the rating blank and mark X below.","Для кожного слова оцініть, наскільки абстрактним або конкретним воно здається. Якщо ви не знаєте слова, залиште оцінення порожнім і позначте Х нижче.","For each word, rate how abstract or specific it seems. If you don't know the word, leave the rating blank and mark ""X"" below."
"For each word, rate how difficult (1) or easy (9) it is to imagine a mental picture of the object. If you do not know the word, leave the rating blank and mark X below.","Для кожного слова оцініть, наскільки важко або легко уявити собі образ об'єкта, якщо ви не знаєте слова, залиште оцінення порожнім і позначте Х нижче.","For each word, rate how hard or easy it is to imagine the image of the object, if you don't know the word, leave the rating blank and mark X below."
"Please rate the familarity of each word from 1 (unknown, very unfamiliar) to 9 (well known, very familiar). Please choose the number that best reflects your experience with each word.","Оцініть знайомість кожного слова від 1 (невідоме, дуже незнайоме) до 9 (добре відоме, дуже знайоме) і виберіть число, яке найкраще відображає ваш досвід з кожним словом.",Rate the familiarity of each word from 1 (unfamiliar) to 9 (well-known) and pick the number that best reflects your experience with each word.
"For each word, rate valence (1 = very unpleasant/unhappy, 9 = very pleasant/happy). If you do not know the word, leave the rating blank and mark X below.","Для кожного слова оцініть валентність (один - дуже неприємний, дев'ять - дуже приємний, щасливий), якщо ви не знаєте слова, залиште оцінення порожнім і позначте Х нижче.","For each word, rate the valence (one is very unpleasant, nine is very pleasant, happy), if you don't know the word, leave the rating blank and mark X below."
High school diploma,Диплом середньої школи,High school diploma
How to do this task,Як виконати це завдання,How to accomplish this task
I Consent,Я згоден.,I agree.
I Do Not Consent,Я не згоден.,I don't agree with that.
"If you do not know the word, please select the letter X.","Якщо ви не знаєте слова, будь ласка, виберіть букву X.","If you don't know the word, please choose the letter X."
Imageability Study,Дослідження зображуваності,The study of imagery
"In the following pages, you will see a series of target words. Your task is to rate how familiar or known each word is to you. If a word feels very familiar or well known, select 9 on the scale; if it feels hardly familiar or unknown, select 1. The numbers from 1 to 9 represent increasing levels of familiarity. Please choose the number that best reflects your experience with each word.","На наступних сторінках ви побачите ряд цільових слів: ваше завдання - оцінити, наскільки вам знайоме або відоме кожне слово; якщо слово здається дуже знайомим або добре відомим, виберіть 9 на шкалі; якщо воно здається мало знайомим або невідомим, виберіть 1. цифри від 1 до 9 представляють зростаючі рівні знайомості.","The following is a list of the most common words in English: If you are familiar with a word, choose 9; if you are not familiar with a word, choose 1."
"In this scale, 9 represents “easy to imagine,” there is no issue picturing intricate details of the word; while 1 represents “difficult to image,” that is, the word is more abstract and harder to picture.","У цій шкалі 9 означає ""легко уявити"", немає проблеми з зображенням складних деталей слова; в той час як 1 означає ""складно зобразити"", тобто слово є більш абстрактним і важким для зображення.","In this scale, 9 means ""easy to imagine,"" no problem with the image of complex details of the word, while 1 means ""difficult to imagine,"" that is, the word is more abstract and difficult to image."
"In this study, you will be asked to complete different questions about word concepts. For example, you may be asked to define a word's characteristics, rate how familiar you are with a word, or simply judge if a string of letters is a real word.","У цьому дослідженні вас попросять задовольнити різні питання про поняття слів: наприклад, вас попросять визначити характеристики слова, оцінити, наскільки ви знайомі з цим словом, або просто визначити, чи є ряд букв справжнім словом.","In this test, you will be asked to answer a variety of questions about the meaning of words, such as defining the characteristics of a word, assessing how familiar you are with the word, or simply determining whether a string of letters is a real word."
"In this study, you will be asked to complete different questions about word concepts. For example, you may be asked to define a word’s characteristics, rate how familiar you are with a word, or simply judge if a string of letters is a real word.","У цьому дослідженні вас попросять задовольнити різні питання про поняття слів: наприклад, вас можуть попросити визначити характеристики слова, оцінити, наскільки ви знайомі з словом, або просто визначити, чи є ряд букв справжнім словом.","In this test, you will be asked to answer a variety of questions about the meaning of words, such as defining the characteristics of a word, assessing how familiar you are with a word, or simply determining whether a string of letters is a true word."
Left-handed,Ліворукий,Left-handed
Less than high school diploma,"Менше, ніж диплом середньої школи",Less than a high school diploma
Male,Чоловік,The man.
Master's degree or equivalent,Ступінь магістра або еквівалент,Master's degree or equivalent
"Measures are taken to ensure that all information you provide will be anonymous. The data from this project will be posted publicly for other researchers to use; however, no data will be directly linked to you. Your name or other identifying information will not be entered into the dataset and no references will be made in verbal or written reports that could link you to the study. In any publication, information will be provided in such a way that you cannot be identified. Before your data are shared outside the research team, any potentially identifying information will be removed. The anonymous data may be used by the research team or shared with other researchers, for both related and unrelated research purposes in the future. Your anonymous data may also be made available in online data repositories such as the Open Science Framework (which are free data repositories that require registration to have access), which allow other researchers and interested parties to access the data for further analysis.","""""""Діта з цього проекту буде публічно опублікована для використання іншими дослідниками, однак ніяка інформація не буде безпосередньо пов'язана з вами, ваше ім'я або інша ідентифікаційна інформація не буде внесена в набір даних, і ніякі посилання не будуть зроблені в усних або письмових звітах, які могли б пов'язати вас з дослідженням,"""" - йдеться в повідомленні, в якому йдеться про те, що дані будуть видані для подальшого аналізу дослідниками або іншими зацікавленими сторонами.""","""Data from this project will be publicly released for use by other researchers, but no information will be directly linked to you, your name or other identifiable information will be entered into the dataset, and no references will be made in oral or written reports that could link you to the study,"" the statement said."
Next,Наступний,The next one.
"No identifying information will be collected from you, and therefore, your responses should be anonymous. The current study is similar to an online game, which may cause some fatigue or boredom based on the task you are asked to complete. There is no direct benefit to you for participating in this study. However, your responses will contribute to our understanding of language and cognitive memory processes.","""Від вас не буде зібрана жодна ідентифікаційна інформація, і тому ваші відповіді повинні бути анонімними. """"Текуче дослідження схоже на онлайн-ігру, яка може викликати деяку втому або нудьгу в залежності від завдання, яке вам запропоновано виконати. """"Немає ніякої прямої користі для вас за участь у цьому дослідженні.""","No personal information will be collected from you, and your responses will be anonymous.The current study is like an online game that can cause some fatigue or boredom depending on the task you are asked to complete.There is no direct benefit to you for participating in this study."
Other,Інше,Other
Participation in this study is voluntary:,Участь у цьому дослідженні є добровільною:,Participation in this study is voluntary:
Please keep or copy this number if you are asked for it.,"Будь ласка, збережіть або скопіюйте цей номер, якщо вас про це попросять.",Please save or copy this number if you are asked to do so.
"Please note that your data will be anonymous, which means you cannot ask for it to be removed once you have completed the study.","Будь ласка, зверніть увагу, що ваші дані будуть анонімними, що означає, що ви не можете попросити видалити їх після завершення дослідження.","Please note that your data will be anonymous, meaning you cannot ask for it to be deleted after the study is completed."
Please rate the following words by entering the age in years at which you think you learned the word. An approximate age is good enough for this rating,"Будь ласка, оцініть наступні слова, введіть вік у роках, коли, на вашу думку, ви навчилися слова.","Please rate the following words, enter the age in years when you think you have learned the words."
Please rate the following words by entering the age in years at which you think you learned the word. An approximate age is good enough for this rating.,"Будь ласка, оцініть наступні слова, введіть вік у роках, в яких ви думаєте, що ви навчилися слова.","Please rate the following words, enter the age in years in which you think you have learned the words."
Please select a rating or mark Unknown,"Будь ласка, виберіть оцінку або позначте ""Невідоме""","Please select a rating or mark ""Unknown"""
Please tell us a little bit about yourself.,"Будь ласка, розкажіть нам трохи про себе.",Please tell us a little bit about yourself.
Please tell us your gender:,"Будь ласка, скажіть нам вашу стать:",Please tell us your article:
Please tell us your highest education level:,"Будь ласка, скажіть нам ваш найвищий рівень освіти:",Please tell us your highest level of education:
"Please work at a rapid place and don't spend too much time thinking about each word. Rather, make your ratings based on your first and immediate reaction as you read each word. If you do not know the word presented, please select X.","Будь ласка, працюйте швидко і не витрачайте занадто багато часу на роздуми над кожним словом, а скоріше зробіть свої оцінки на основі вашої першої та негайної реакції, коли ви читаєте кожне слово. якщо ви не знаєте представленого слова, будь ласка, виберіть X.","Please work quickly and don't spend too much time thinking about each word, but rather make your judgments based on your first and immediate reaction when you read each word."
Prefer not to say,Я не хочу говорити.,I don't want to talk.
Procedures:,Процедури:,The procedures:
Questions or Concerns:,Питання або занепокоєння:,Questions or concerns:
"Rating (1 = very abstract, 9 = very concrete)","Оцінка (1 = дуже абстрактна, 9 = дуже конкретна)","The first one is very abstract, the second one is very concrete."
"Rating (1 = very calm/relaxed, 9 = very excited/activated)","Оцінка (1 = дуже спокійний, розслаблений, 9 = дуже збуджений, активований)","The score is 1 = very calm, relaxed, 9 = very excited, activated."
"Rating (1 = very difficult, 9 = very easy)","Оцінка (1 = дуже складно, 9 = дуже легко)","The score is 1 = very difficult, 9 = very easy."
"Rating (1 = very unfamiliar, 9 = very familiar)","Оцінка (1 = дуже незнайома, 9 = дуже знайома)","The score is 1 = unknown, 9 = very familiar."
"Rating (1 = very unpleasant/unhappy, 9 = very pleasant/happy)","Оцінка (1 = дуже неприємна, 9 = дуже приємна, 9 = щаслива)","The score is 1 (very unpleasant), 9 (very pleasant), 9 (happy)."
Right-handed,Правий.,The right one.
Risks and Benefits of being in the Study:,Ризики та переваги участі в дослідженні:,Risks and benefits of participating in the study:
"Some words refer to things or actions in reality, which you can experience directly through one of the five senses. We call these words concrete words. Other words refer to meanings that cannot be experienced directly but which we know because the meanings can be defined by other words. These are abstract words. Still other words fall in-between the two extremes, because we can experience them to some extent; and in addition, we rely on language to understand them. We want you to indicate how concrete the meaning of each word is for you by using a 9-point rating scale going from abstract to concrete. A concrete word comes with a higher rating and refers to something that exists in reality; you can have immediate experience of it through your senses (smelling, tasting, touching, hearing, seeing) and the actions you do.","""Деякі слова стосуються речей або дій у реальності, які ви можете відчути безпосередньо через один з п'яти почуттів.Ми називаємо ці слова """"конкретними словами"""" інші слова стосуються значень, які не можуть бути відчуті безпосередньо, але які ми знаємо, тому що значення можуть бути визначені іншими словами.Це абстрактні слова, інші слова знаходяться між двома крайніми, тому що ми можемо відчути їх у певній мірі, і крім того, ми покладаємося на мову, щоб зрозуміти їх.Ми хочемо, щоб ви вказували, наскільки конкретним є для вас значення кожного слова, використовуючи 9-точкову оцінку, що переходить від абстрактного до конкретного.""","Some words are related to things or actions in reality that you can feel directly through one of the five senses, we call them concrete words, others are related to meanings that cannot be directly felt but that we know because they can be defined by other words, these are abstract words, others are between the two extremes because we can feel them to some extent, and we rely on language to understand them."
Thank you,Дякую.,Thank you. Thank you.
Thank you for participating,Дякую за участь.,Thank you for participating.
"The easiest way to explain a word is by pointing to it or by demonstrating it (e.g. To explain 'sweet' you could have someone eat sugar; To explain 'jump' you could simply jump up and down or show people a movie clip about someone jumping up and down; To explain 'couch', you could point to a couch or show a picture of a couch). An abstract word comes with a lower rating and refers to something you cannot experience directly through your senses or actions. Its meaning depends on language. The easiest way to explain it is by using other words (e.g. There is no simple way to demonstrate 'justice'; but we can explain the meaning of the word by using other words that capture parts of its meaning).","Найпростіший спосіб пояснити слово - це вказувати на нього або продемонструвати його (наприклад, щоб пояснити ""солодкий"" можна попросити когось з'їсти цукор; щоб пояснити ""скакати"" можна просто стрибати вгору і вниз або показати людям кліп фільму про того, як хтось стрибає вгору і вниз; щоб пояснити ""софа"" можна вказувати на софу або показати фотографію софи); абстрактне слово має нижчий рейтинг і відноситься до чогось, що ви не можете відчути безпосередньо через ваші почуття або дії; його значення залежить від мови.","The easiest way to explain a word is to point to it or show it (e.g., to explain ""sweet"" you can ask someone to eat sugar; to explain ""jump"" you can just jump up and down or show people a movie clip of someone jumping up and down; to explain ""sofa"" you can point to a sofa or show a photo of a sofa); an abstract word has a lower rating and refers to something you can't feel directly through your language or actions."
"The researchers conducting this study are Dr. Erin M. Buchanan in partnership with the Psychological Science Accelerator. You may ask any questions you have now. If you have questions later, you are encouraged to contact Dr. Erin M. Buchanan at semanticpriming@harrisburgu.edu.","""Дослідники, які проводять це дослідження, - доктор Ерин М. Б'юкенен, у партнерстві з """"Психологічним науковим прискорювачем,"""" - можуть задавати будь-які питання, які у вас є зараз, і якщо у вас виникнуть питання пізніше, рекомендуємо звернутися до доктора Ерин М. Б'юкенен на адресу semanticpriming@harrisburg.""","The researchers who are conducting this study, Dr. Erin M. Buchanan, in partnership with the Psychological Science Accelerator, are welcome to ask any questions you have now, and if you have any questions later, we recommend that you contact Dr. Erin M. Buchanan at semanticpriming@harrisburg."
"The study being conducted today is investigating emotion, and how people respond to different types of words.","Дослідження, яке проводиться сьогодні, досліджує емоції та те, як люди реагують на різні типи слів.",Research is being done to understand emotions and how people react to different types of words.
"The top panel shows the happy-unhappy scale, which ranges from a frown to a smile. At one extreme of this scale, you are happy, pleased, satisfied, contented, hopeful. When you feel completely happy you should indicate this by selecting the 9 on the right. The other end of the scale is when you feel completely unhappy, annoyed, unsatisfied, melancholic, despaired, or bored. You can indicate feeling completely unhappy by selecting the 1 on the left. The figures also allow you to describe intermediate feelings of pleasure, by selecting any values in the middle. If you feel completely neutral, neither happy nor sad, select the 4 in the middle.","На верхній панелі показана шкала щастя-нещастя, яка варіюється від нахмурення до посмішки: в одній крайній точці шкали ви щасливі, задоволені, задоволені, задоволені, надійні, коли ви відчуваєте себе цілком щасливим, ви повинні вказувати на це, вибираючи 9 в правому куті; на іншому кінці шкали - коли ви відчуваєте себе цілком нещасним, роздратованим, незадоволеним, меланхолічним, відчайдушним або нудним; ви можете вказувати на відчуття цілковито нещасного, вибираючи 1 зліва.","The top panel shows a happiness-unhappiness scale, ranging from grumpy to smiling: at one end of the scale, you're happy, content, content, content, confident, when you feel happy, you should point to that, picking 9 from the right, and at the other end, you're unhappy, irritable, dissatisfied, melancholy, depressed, or bored."
"This is an experiment to find out how easy or difficult it is to imagine a mental picture of the word presented to you. You will be given a list of words, and you are to rate each one from how easy it is to picture the word (apple; high imagery) to words that may not be imagined easily (fact; low imagery).","Це експеримент, щоб з'ясувати, наскільки легко або важко уявити собі в голові зображення слова, яке вам подано. Вам буде надано список слів, і ви повинні оцінити кожен з них від того, наскільки легко уявити слово (яблуко, високий образ) до слів, які не можуть бути легко уявлені (факт, низький образ).","The test is to see how easy or difficult it is to visualize a word, and then to rate the words from how easy they are to visualize to how difficult they are to visualize."
This study has been reviewed by Harrisburg University of Science and Technology's Institutional Review Board (IRB). The IRB has determined that this study fulfills the human research subject protections obligations required by state and federal law and University policies.,"""Це дослідження було переглянуто Інституційною комісією з перегляду (IRB) Університету науки та технологій Харрісбурга, яка визначила, що це дослідження відповідає обов'язкам захисту суб'єктів досліджень, необхідним за державним та федеральним законом та політикою університету.""""""","""This study was reviewed by the Institutional Review Board (IRB) of Harrisburg University of Science and Technology, which determined that this study meets the research subject protection obligations required by state and federal law and university policy."""""""
"This study is being conducted by Dr. Erin M. Buchanan, Professor of Cognitive Analytics at Harrisburg University of Science and Technology.","Дослідження проводиться доктором Еріном Б'юкененом, професором когнітивного аналізу в Університеті науки та технологій Харрісбурга.","The study was conducted by Dr. Erin Buchanan, a professor of cognitive analysis at Harrisburg University of Science and Technology."
Understanding Word Processing and Meaning,Розуміння обробки слів і значення,Understanding word processing and meaning
Unknown,Невідоме,Unknown
Valence ratings,Оцінки валентності,Evaluation of the valence
Valence Study,Дослідження валентності,Valence research
Voluntary Nature of the Study:,Добровольний характер дослідження:,The voluntary nature of the study:
"We call this set of figures SAM, and you will be using these figures to rate how you felt while reading each word. SAM shows different kinds of feelings: calm versus excited.","""Ми називаємо цей набір цифр """"Сам,"""" і ви будете використовувати ці цифри, щоб оцінити, як ви відчували себе під час читання кожного слова. """"Сам"""" показує різні види почуттів: спокій проти хвилювання.""","We call this set of numbers ""Self,"" and you'll use these numbers to evaluate how you felt when you read each word."
"We call this set of figures SAM, and you will be using these figures to rate how you feel while reading each word. The picture shows the unhappy-happy scale, which ranges from a frown to a smile. At one extreme of this scale, you are happy, pleased, satisfied, contented, hopeful. When you feel completely happy you should indicate this by selecting the 9 on the right. The other end of the scale is when you feel completely unhappy, annoyed, unsatisfied, melancholic, despaired, or bored. You can indicate feeling completely unhappy by selecting the 1 on the left. The figures also allow you to describe intermediate feelings of pleasure, by selecting any values in the middle. If you feel completely neutral, neither happy nor sad, select the 4 in the middle.","""Наприклад, коли ви відчуваєте себе щасливим, ви можете вибрати """"9"""" з правого боку, а коли ви відчуваєте себе зовсім нещасним, роздратованим, незадоволеним, меланхолічним, відчайдушним або нудним, ви можете вибрати """"1"""" з лівого боку, щоб показати, що ви відчуваєте себе зовсім нещасним, а також """"4"""" з середнього боку, щоб показати, що ви відчуваєте себе зовсім нещасним, роздратованим, незадоволеним, сумним або нудним.""","For example, if you're feeling happy, you can select ""9"" on the right side, and if you're feeling very unhappy, irritable, dissatisfied, melancholy, depressed, or bored, you can select ""1"" on the left side to indicate that you're feeling very unhappy, and ""4"" on the middle side to indicate that you're feeling very unhappy, frustrated, dissatisfied, sad, or bored."
What is your native (first) language?,Яка твоя рідна (перша) мова?,What is your mother tongue?
Which year were you born? Please enter a four-digit year:,"У якому році ви народилися? Будь ласка, введіть чотиризначний рік:",What year were you born? Please enter a four-digit year:
Word ratings,Рейтинги слів,Word ratings
"You are invited to be in a research study about how you read and process words, along with their meaning. We ask that you read this form and ask any questions you may have before agreeing to be in the study.","Ми запрошуємо вас взяти участь у дослідженні про те, як ви читаєте і обробляєте слова разом з їх значенням.Ми просимо вас прочитати цю форму і задати будь-які питання, які у вас можуть виникнути, перш ніж погодитися на участь у дослідженні.",We invite you to take part in a study on how you read and process words and their meanings.We ask that you read this form and ask any questions you may have before agreeing to take part in the study.
You have chosen not to participate. You may close this window.,Ви вирішили не брати участь. Ви можете закрити це вікно.,"If you have decided not to participate, you can close this window."
You have completed the word ratings.,Ви завершили оцінку слів.,You've completed the word evaluation.
You may be compensated when taking part in this study through your local researcher.,Ви можете отримати компенсацію за участь у цьому дослідженні через вашого місцевого дослідника.,You can get compensation for participating in this study through your local researcher.
"You will take this study entirely online from a desktop or laptop computer with a keyboard. You will be given instructions about the experiment sections which are randomly selected for each person. After you complete the experiment, you can learn more about the study and goals of the research. The entire study should take less than thirty minutes to complete.","Ви будете брати це дослідження повністю онлайн з настільного або ноутбукового комп'ютера з клавіатурою, вам будуть дані інструкції про розділи експерименту, які випадково вибрані для кожної людини, і після завершення експерименту ви зможете дізнатися більше про дослідження та цілі дослідження.","You will take the study entirely online from your desktop or laptop computer with a keyboard, you will be given instructions on the sections of the study that are randomly selected for each person, and after the study is completed, you will be able to learn more about the study and its goals."
"Your decision whether to participate will not affect your current or future relations with Harrisburg University of Science and Technology or your local institution. If you decide to participate, you are free to not answer any question or withdraw at any time without affecting those relationships.","Ваше рішення про участь не вплине на ваші поточні або майбутні відносини з Університетом науки та технології Харрісбурга або місцевою установою; якщо ви вирішите взяти участь, ви можете не відповідати на будь-яке питання або вийти в будь-який час, не впливаючи на ці відносини.","Your decision to participate will not affect your current or future relationship with Harrisburg University of Science and Technology or your local institution; if you choose to participate, you may not answer any questions or leave at any time without affecting that relationship."
Your participant number is:,Ваш номер учасника:,Your participant number:
