en_cue,en_target,ukr_cue,ukr_target,needs_review,suggested_ukr_cue,final_ukr_cue,backtrans_cue,backtrans_target,backtrans_cue_match,backtrans_target_match,backtrans_needs_review
punish,arrest,покарати,арешт,False,,покарати,punish,arrested,True,False,True
ignorance,arrogance,неосвіченість,надмірність,False,,неосвіченість,uneducated,excess,False,False,True
vein,artery,вена,артерія,False,,вена,the vein,arteries,False,False,True
natural,artificial,природний,штучний,False,,природний,natural,artificial,True,True,False
cavalry,artillery,кавалерія,артилерія,False,,кавалерія,the cavalry,artillery,False,True,True
question,ask,питання,запитай,False,,питання,questions and answers,ask him,False,False,True
mercenary,assassin,найманник,вбивця,False,,найманник,the mercenary,the murderer,False,False,True
help,assist,допомога,допомогти,False,,допомога,help,help,True,False,True
support,assistance,підтримка,допомога,False,,підтримка,support,help,True,False,True
secretary,assistant,секретар,помічник,False,,секретар,secretary,assistant to,True,False,True
conclusion,assumption,висновок,припущення,False,,висновок,the conclusion,assumptions made,False,False,True
pacific,atlantic,тихоокеанський,атлантичний,False,,тихоокеанський,pacific,the atlantic,True,False,True
environment,atmosphere,навколишнє середовище,атмосфера,False,,навколишнє середовище,the environment,the atmosphere,False,False,True
invasion,attack,вторгнення,атака,False,,вторгнення,the invasion,the attack,False,False,True
victim,attacker,жертва,нападник,False,,жертва,victim,the attacker,True,False,True
try,attempt,спробуй,спроба,False,,спробуй,try it,attempt,False,True,True
opinion,attitude,думка,ставлення,False,,думка,thought,attitude,False,True,True
attention,attract,увага,приваблювати,False,,увага,attention,attract,True,True,False
crowd,audience,натовп,аудиторія,False,,натовп,the crowd,the audience,False,False,True
jurisdiction,authority,юрисдикція,влада,False,,юрисдикція,jurisdiction,government,True,False,True
spring,autumn,весна,осінь,False,,весна,the spring,the autumn,False,False,True
toast,bacon,тост,бекон,False,,тост,a toast,the bacon,False,False,True
good,bad,добре,погано,False,,добре,very well,its not good,False,False,True
box,bag,коробка,мішок,False,,коробка,the box,the bag,False,False,True
trap,bait,пастка,приманка,False,,пастка,the trap,the bait,False,False,True
orchestra,band,оркестр,група,False,,оркестр,orchestra,group,True,False,True
club,bar,клуб,бар,False,,клуб,the club,the bar,False,False,True
stadium,baseball,стадіон,бейсбол,False,,стадіон,the stadium,baseball,False,True,True
shower,bathroom,душ,ванна кімната,False,,душ,the soul,bathroom,False,True,True
superman,batman,супермен,бетмен,False,,супермен,the superman,the betmen,False,False,True
regiment,battalion,полк,батальйон,False,,полк,regiment,the battalion,True,False,True
war,battle,війна,битва,False,,війна,the war,the battle,False,False,True
arena,battlefield,арена,поле бою,False,,арена,the arena,the battlefield,False,False,True
hair,beard,волосся,борода,False,,волосся,the hair,beard,False,True,True
pretty,beautiful,гарна,прекрасна,False,,гарна,thats good,its wonderful,False,False,True
charm,beauty,чарівність,краса,False,,чарівність,the magic,beauty,False,True,True
sofa,bed,диван,ліжко,False,,диван,the couch,the bed,False,False,True
room,bedroom,кімната,спальня,False,,кімната,the room,the bedroom,False,False,True
drink,beer,пити,пиво,False,,пити,drinking,beer,False,True,True
trust,believe,довіра,вірити,False,,довіра,the trust,to believe,False,False,True
million,billion,мільйон,мільярди,False,,мільйон,million,billions,True,False,True
chemical,biological,хімічні,біологічний,False,,хімічні,chemical,biological,True,True,False
chemistry,biology,хімія,біологія,False,,хімія,chemistry,and biology,True,False,True
butterfly,bird,метелик,пташка,False,,метелик,the meteor,the bird,False,False,True
anniversary,birthday,річниця,день народження,False,,річниця,year,birthday,False,True,True
white,black,білий,чорний,False,,білий,white,black,True,True,False
bribe,blackmail,хабар,шантаж,False,,хабар,the message,blackmailed,False,False,True
brown,blue,коричневий,синій,False,,коричневий,brown,the blue,True,False,True
submarine,boat,підводний човен,човен,False,,підводний човен,a submarine,the boat,False,False,True
bible,book,біблія,книга,False,,біблія,the bible,the book,False,False,True
manager,boss,менеджер,бос,False,,менеджер,the manager,the boss,False,False,True
washington,boston,вашингтон,бостон,False,,вашингтон,washington and washington,the boston,False,False,True
glass,bottle,скляне,пляшка,False,,скляне,glass,the bottle,True,False,True
top,bottom,верхній,дно,False,,верхній,the top,the bottom,False,False,True
girl,boy,дівчина,хлопчик,False,,дівчина,the girl,the boy,False,False,True
noble,brave,благородний,сміливий,False,,благородний,the noble,courageous,False,False,True
smash,break,розбиття,перерва,False,,розбиття,breaking up,the break,False,False,True
dinner,breakfast,вечеря,сніданок,False,,вечеря,dinner is served,breakfast is served,False,False,True
groom,bride,наречений,наречена,False,,наречений,the bride,engaged,False,False,True
shine,bright,сяйво,яскравий,False,,сяйво,its shining,bright,False,True,True
dude,bro,хлопче,брат,False,,хлопче,the boy,brother,False,False,True
sister,brother,сестра,брат,False,,сестра,my sister,brother,False,True,True
scratch,bruise,подряпка,синяк,False,,подряпка,the shed,the blue,False,False,True
construction,build,будівництво,побудувати,False,,будівництво,construction work,to build,False,False,True
tower,building,вежа,будівля,False,,вежа,the tower,building,False,True,True
caliber,bullet,калібр,куля,False,,калібр,caliber,the bullet,True,False,True
dig,bury,копати,поховати,False,,копати,digging,buried,False,False,True
train,bus,поїзд,автобус,False,,поїзд,the train,the bus,False,False,True
industry,business,промисловість,бізнес,False,,промисловість,the industry,business,False,True,True
ass,butt,задишка,задниця,False,,задишка,shortness of breath,the ass,False,False,True
honey,butter,мед,масло,False,,мед,honey,oil,True,False,True
seller,buyer,продавець,покупця,False,,продавець,the seller,the buyer,False,False,True
hello,bye,привіт,до побачення,False,,привіт,how are you,see you,False,False,True
dessert,cake,десерт,торт,False,,десерт,the dessert,cake,False,True,True
count,calculate,рахунок,розрахувати,False,,рахунок,account,calculate,False,True,True
quiet,calm,тихо,спокійно,False,,тихо,quietly,calm down,False,False,True
picnic,camping,пікнік,кемпінг,False,,пікнік,the picnic,camping,False,True,True
tumor,cancer,пухлина,рак,False,,пухлина,the tumor,cancer,False,True,True
lamp,candle,лампа,свічка,False,,лампа,the lamp,candle,False,True,True
glasses,cap,окуляри,капелюх,False,,окуляри,glasses,the hat,True,False,True
anarchy,capitalism,анархія,капіталізм,False,,анархія,anarchy,capitalism,True,True,False
commander,captain,командир,капітан,False,,командир,the commander,the captain,False,False,True
vehicle,car,транспортне засіб,автомобіль,False,,транспортне засіб,means of transport,the car,False,False,True
bishop,cardinal,єпископ,кардинал,False,,єпископ,the bishop,the cardinal,False,False,True
load,cargo,навантаження,вантаж,False,,навантаження,load,the cargo,True,False,True
floor,carpet,підлога,килим,False,,підлога,floor,the carpet,True,False,True
mafia,cartel,мафія,картель,False,,мафія,the mafia,the cartel,False,False,True
palace,castle,палац,замок,False,,палац,the palace,the castle,False,False,True
dog,cat,собака,кішка,False,,собака,the dog,the cat,False,False,True
grab,catch,схопи,улов,False,,схопи,hide and seek,catch,False,True,True
reason,cause,причина,причина,True,розуміння,розуміння,understanding,reason,False,False,True
grave,cemetery,могила,кладовище,False,,могила,the grave,the cemetery,False,False,True
mile,centimeter,миля,сантиметри,False,,миля,miles,inches,False,False,True
brain,cerebral,мозок,мозковий,False,,мозок,the brain,the brain,False,False,True
ritual,ceremony,ритуал,церемонія,False,,ритуал,the ritual,the ceremony,False,False,True
table,chair,таблиця,стілець,False,,таблиця,the table,the chair,False,False,True
obstacle,challenge,перешкода,виклик,False,,перешкода,the obstacle,call,False,False,True
wine,champagne,вино,шампанське,False,,вино,wine,the champagne,True,False,True
competition,championship,конкуренція,чемпіонат,False,,конкуренція,competition,the championship,True,False,True
church,chapel,церква,каплиця,False,,церква,church,chapel,True,True,False
attractive,charming,привабливий,чарівний,False,,привабливий,attractive,its wonderful,True,False,True
follow,chase,слідувати,переслідування,False,,слідувати,follow,persecution,True,False,True
expensive,cheap,дорого,дешево,False,,дорого,expensive,its cheap,True,False,True
lip,cheek,губа,щелепа,False,,губа,the lip,the jaw,False,False,True
bread,cheese,хліб,сир,False,,хліб,bread,the cheese,True,False,True
cook,chef,кухар,шефкухар,False,,кухар,cook,the chef,True,False,True
stomach,chest,шлунок,груди,False,,шлунок,the stomach,the chest,False,False,True
swallow,chew,проковтнути,жувати,False,,проковтнути,to be awakened,chewing,False,False,True
baby,child,дитина,дитя,False,,дитина,the child,the child,False,False,True
youth,childhood,молодіжність,дитинство,False,,молодіжність,youth,childhood,True,True,False
sugar,chocolate,цукор,шоколад,False,,цукор,sugar,chocolate,True,True,False
catholic,christian,католицький,християнський,False,,католицький,catholic,christianity and christianity,True,False,True
smoke,cigar,дим,сигара,False,,дим,the smoke,the cigar,False,False,True
tobacco,cigarette,тютюн,сигарета,False,,тютюн,tobacco,the cigarette,True,False,True
zoo,circus,зоопарк,цирк,False,,зоопарк,the zoo,the circus,False,False,True
capital,city,столиця,місто,False,,столиця,capital city,the city,False,False,True
culture,civilization,культура,цивілізація,False,,культура,the culture,the civilization,False,False,True
typical,classic,типовий,класичний,False,,типовий,typical,classical,True,False,True
patient,client,пацієнт,клієнт,False,,пацієнт,the patient,the client,False,False,True
hospital,clinic,лікарня,клініка,False,,лікарня,hospital,the clinic,True,False,True
open,close,відкритий,закрити,False,,відкритий,open,close,True,True,False
locked,closed,закрито,закритий,False,,закрито,closed,closed,False,True,True
cabinet,closet,кабінет,шафа,False,,кабінет,office,the cabinet,False,False,True
opening,closure,відкриття,закриття,False,,відкриття,the opening,closure,False,True,True
beach,coast,пляж,узбережжя,False,,пляж,the beach,coast,False,True,True
cup,coffee,чашка,кава,False,,чашка,cup,coffee,True,True,False
rum,cognac,ром,коньяк,False,,ром,the rum,cognac and brandy,False,False,True
hot,cold,гаряче,холодно,False,,гаряче,hot,its cold,True,False,True
fall,collapse,падіння,колапс,False,,падіння,the fall,collapse,False,True,True
general,colonel,загальний,полковник,False,,загальний,general,the colonel,True,False,True
arrive,come,прийшов,прийди,False,,прийшов,he came,please come,False,False,True
drama,comedy,драма,комедія,False,,драма,drama,comedy,True,True,False
inspector,commissioner,інспектор,комісар,False,,інспектор,the inspector,the commissioner,False,False,True
commission,committee,комісія,комітет,False,,комісія,the commission,committee,False,True,True
navigation,communication,навігація,комунікація,False,,навігація,navigation,communication,True,True,False
racist,communist,расист,комуністичний,False,,расист,racist,communist,True,True,False
society,community,суспільство,громада,False,,суспільство,the society,community,False,True,True
patience,compassion,терпіння,співчуття,False,,терпіння,patience,the sympathy,True,False,True
total,complete,загалом,повний,False,,загалом,overall,full,False,False,True
absolutely,completely,абсолютно,повністю,False,,абсолютно,absolutely,completely,True,True,False
software,computer,програмне забезпечення,компютер,False,,програмне забезпечення,software,computer,True,True,False
focus,concentrate,фокус,концентрат,False,,фокус,focus,concentration,True,False,True
tour,concert,тур,концерт,False,,тур,the tour,the concert,False,False,True
admit,confess,признай,зізнатися,False,,признай,admit it,get to know each other,False,False,True
respect,confidence,повага,довіра,False,,повага,respect,the trust,True,False,True
confirmation,confirm,підтвердження,підтвердити,False,,підтвердження,confirmed,confirm,False,True,True
chaos,confusion,хаос,плутанина,False,,хаос,the chaos,confused,False,False,True
contact,connection,контакт,зєднання,False,,контакт,the contact,connection,False,True,True
always,constantly,завжди,постійно,False,,завжди,always,constantly,True,True,False
law,constitution,закон,конституція,False,,закон,the law,the constitution,False,False,True
contain,content,містить,зміст,False,,містить,contains,content,False,True,True
proceed,continue,продовжуйте,продовжуйте,True,продовжуй,продовжуй,keep going,keep going,False,False,True
opposite,contrary,навпроти,навпаки,False,,навпроти,opposite,on the contrary,True,False,True
orphanage,convent,дитячий будинок,монастир,False,,дитячий будинок,childrens home,monastery,False,False,True
warm,cool,тепле,прохолодно,False,,тепле,warm,its cold,True,False,True
original,copy,оригінал,копія,False,,оригінал,the original,copy,False,True,True
company,corporation,компанія,корпорація,False,,компанія,company,corporation,True,True,False
body,corpse,тіло,труп,False,,тіло,body,the corpse,True,False,True
wrong,correct,неправильно,правильно,False,,неправильно,wrong,right,True,False,True
silk,cotton,шовк,бавовна,False,,шовк,shock,cotton,False,True,True
baron,countess,барон,графиня,False,,барон,baron,countess,True,True,False
relative,cousin,відносна,двоюрідний брат,False,,відносна,relatively,cousin,False,True,True
rodeo,cowboy,родео,ковбой,False,,родео,the rodeo,the cowboy,False,False,True
paranoid,crazy,параноїд,божевільний,False,,параноїд,the parade,its crazy,False,False,True
imagination,creativity,уява,творчість,False,,уява,appearance,creativity,False,True,True
monster,creature,монстр,тварина,False,,монстр,the monster,the animal,False,False,True
scary,creepy,страшно,жахливо,False,,страшно,its scary,its awful,False,False,True
sin,crime,гріх,злочин,False,,гріх,the sins,crime,False,True,True
thief,criminal,злодій,злочинний,False,,злодій,the thief,criminal,False,True,True
situation,crisis,ситуація,криза,False,,ситуація,the situation,the crisis,False,False,True
brutal,cruel,жорстокий,жорстокий,True,зверсько,зверсько,the beast,cruel,False,True,True
evil,cruelty,злий,жорстокість,False,,злий,the evil one,cruelty,False,True,True
tear,cut,сльоза,розрізані,False,,сльоза,tears,cut off,False,False,True
sweet,cute,солодке,милий,False,,солодке,sweet,sweetheart,True,False,True
naive,cynical,наївна,цинічний,False,,наївна,naive,cynical,True,True,False
uncle,dad,дядько,тато,False,,дядько,my uncle,my father,False,False,True
dancer,dance,танцюрист,танець,False,,танцюрист,the dancer,the dance,False,False,True
risk,danger,ризик,небезпека,False,,ризик,the risk,the danger,False,False,True
risky,dangerous,ризиковано,небезпечно,False,,ризиковано,risky,dangerous,True,True,False
shadow,dark,тінь,темний,False,,тінь,shadow,the dark,True,False,True
sunset,dawn,захід сонця,світанку,False,,захід сонця,the sunset,the dawn,False,False,True
alive,dead,живий,мертвий,False,,живий,he is alive,dead,False,True,True
blind,deaf,сліпий,глухі,False,,сліпий,the blind man,deaf,False,True,True
century,decade,століття,десятиліття,False,,століття,the century,the decade,False,False,True
november,december,листопад,грудень,False,,листопад,the month of november,december,False,True,True
cabin,deck,каюта,палуба,False,,каюта,cabin,the deck,True,False,True
victory,defeat,перемога,поразка,False,,перемога,victory,defeat,True,True,False
protect,defend,захистити,захищати,False,,захистити,protect,to defend,True,False,True
concept,definition,концепція,визначення,False,,концепція,the concept,the definition,False,False,True
tasty,delicious,смачно,смачно,True,,смачно,its good,its good,False,False,True
freedom,democracy,свобода,демократія,False,,свобода,freedom,democracy,True,True,False
protest,demonstration,протест,демонстрація,False,,протест,the protest,the demonstration,False,False,True
arrival,departure,прибуття,відїзд,False,,прибуття,arrival,departure,True,True,False
stress,depression,стрес,депресія,False,,стрес,stress,depression,True,True,False
profile,description,профіль,опис,False,,профіль,the profile,the description,False,False,True
fate,destiny,доля,доля,True,судьба,судьба,fate,share,True,False,True
creation,destruction,створення,знищення,False,,створення,creation,destruction,True,True,False
agent,detective,агент,детектив,False,,агент,the agent,the detective,False,False,True
courage,determination,мужність,визначення,False,,мужність,courage,the definition,True,False,True
progress,development,прогрес,розвиток,False,,прогрес,the progress,development,False,True,True
chip,device,чип,пристрій,False,,чип,the chip,the device,False,False,True
angel,devil,ангел,диявол,False,,ангел,the angel,the devil,False,False,True
fidelity,devotion,вірність,відданість,False,,вірність,loyalty,loyalty,False,False,True
suffer,die,страждають,померти,False,,страждають,they suffer,to die,False,False,True
similar,different,подібний,різні,False,,подібний,similar,different,True,True,False
pride,dignity,гордість,гідність,False,,гордість,pride,dignity,True,True,False
ping,ding,пінг,дінг,False,,пінг,ping,ding,True,True,False
direct,directly,безпосередньо,безпосередньо,True,лінійна,лінійна,linear,directly,False,True,True
producer,director,виробник,директор,False,,виробник,manufacturer,director,False,True,True
death,disappearance,смерть,зникнення,False,,смерть,death,disappearance,True,True,False
surprise,disappointment,сюрприз,розчарування,False,,сюрприз,the surprise,disappointment,False,True,True
conversation,discussion,розмова,обговорення,False,,розмова,the conversation,the discussion,False,False,True
flu,disease,грип,хвороба,False,,грип,the flu,illness,False,False,True
dirty,disgusting,брудний,огидно,False,,брудний,its dirty,its disgusting,False,False,True
resignation,dismissal,відставка,звільнення,False,,відставка,resigned,release,False,False,True
conflict,dispute,конфлікт,суперечка,False,,конфлікт,the conflict,the dispute,False,False,True
county,district,графство,район,False,,графство,county,district,True,True,False
interrupt,disturb,перерву,заважати,False,,перерву,im going to take a break,to interfere,False,False,True
god,divine,боже,божественний,False,,боже,oh my god,the divine,False,False,True
unit,division,одиниця,відділ,False,,одиниця,unit,department of,True,False,True
make,do,зробити,робити,False,,зробити,to do,to do,False,False,True
surgeon,doctor,хірург,лікар,False,,хірург,the surgeon,the doctor,False,False,True
file,document,файл,документ,False,,файл,the file,the document,False,False,True
pound,dollar,фунт,долар,False,,фунт,pound,one dollar,True,False,True
charity,donation,благодійність,пожертвування,False,,благодійність,charity,donations,True,False,True
window,door,вікно,двері,False,,вікно,the window,the door,False,False,True
paint,draw,фарба,розіграш,False,,фарба,paint,youll win,True,False,True
nightmare,dream,кошмар,мрія,False,,кошмар,the nightmare,the dream,False,False,True
skirt,dress,спідниця,одяг,False,,спідниця,the skirt,clothing,False,False,True
passenger,driver,пасажир,водій,False,,пасажир,the passenger,the driver,False,False,True
alcohol,drug,алкоголь,наркотики,False,,алкоголь,alcoholic beverages,drugs,False,False,True
sober,drunk,трезвий,пяний,False,,трезвий,you are sober,foamy,False,False,True
goose,duck,гусь,качка,False,,гусь,the goose,duck,False,True,True
ash,dust,попел,пил,False,,попел,ashes,drank,False,False,True
rusty,dusty,ржавий,пильна,False,,ржавий,rusted,careful,False,False,True
responsibility,duty,відповідальність,обовязок,False,,відповідальність,responsibility,the bond,True,False,True
gunpowder,dynamite,порох,динаміт,False,,порох,the powder,the dynamite,False,False,True
eye,ear,око,вухо,False,,око,the eye,the ear,False,False,True
late,early,запізно,рано,False,,запізно,its too late,early,False,True,True
west,east,захід,схід,False,,захід,west,east,True,True,False
impossible,easy,неможливо,легко,False,,неможливо,its not possible,easy,False,True,True
feed,eat,корми,їсти,False,,корми,food,to eat,False,False,True
health,education,здоровя,освіта,False,,здоровя,good health,education,False,True,True
influence,effect,вплив,ефект,False,,вплив,influence,effect,True,True,False
useful,effective,корисне,ефективний,False,,корисне,useful,effective,True,True,False
nest,egg,гніздо,яйце,False,,гніздо,the nest,eggs,False,False,True
campaign,election,кампанія,вибори,False,,кампанія,the campaign,elections,False,False,True
magnetic,electric,магнітні,електричний,False,,магнітні,magnetic,electric,True,True,False
current,electricity,поточний,електрика,False,,поточний,current,electricity,True,True,False
fashionable,elegant,модна,елегантно,False,,модна,fashionable,elegantly,True,False,True
factor,element,фактор,елемент,False,,фактор,factor,the element,True,False,True
urgent,emergency,невідкладно,надзвичайний,False,,невідкладно,immediately,extraordinary,False,False,True
mental,emotional,психічний,емоційні,False,,психічний,mental health,emotional,False,True,True
imperial,emperor,імперська,імператор,False,,імперська,the imperial,the emperor,False,False,True
dynasty,empire,династія,імперія,False,,династія,dynasties,the empire,False,False,True
power,energy,потужність,енергія,False,,потужність,power,energy,True,True,False
tank,engine,резервуар,двигун,False,,резервуар,the reservoir,engine,False,True,True
exit,entrance,вихід,вхід,False,,вихід,exit,the entrance,True,False,True
millionaire,entrepreneur,мільйонер,підприємець,False,,мільйонер,the millionaire,entrepreneur,False,True,True
plague,epidemic,чума,епідемія,False,,чума,the plague,the epidemic,False,False,True
series,episode,серія,епізод,False,,серія,the series,episode,False,True,True
equipment,equip,обладнання,оснастити,False,,обладнання,equipment,equipped,True,False,True
orgasm,erection,оргазм,ерекція,False,,оргазм,the orgasm,erection,False,True,True
flee,escape,втекти,втеча,False,,втекти,escape,escape,False,True,True
observation,evaluation,спостереження,оцінка,False,,спостереження,the observation,evaluation of the,False,False,True
night,evening,ніч,вечір,False,,ніч,the night,the evening,False,False,True
phenomenon,event,феномен,подія,False,,феномен,the phenomenon,the event,False,False,True
finally,eventually,нарешті,зрештою,False,,нарешті,finally,in the end,True,False,True
never,ever,ніколи,ніколи,True,,ніколи,never,never,True,False,True
underestimate,exaggerate,недооцінювати,перебільшувати,False,,недооцінювати,underestimating,exaggerate,False,True,True
proud,excited,пишаюся,збуджений,False,,пишаюся,im proud of you,excited,False,True,True
forgive,excuse,прости,виправдання,False,,прости,sorry about that,the excuse,False,False,True
hanging,execution,висить,виконання,False,,висить,hanging,execution,True,True,False
practice,exercise,практика,вправи,False,,практика,practice,exercises,True,False,True
gallery,exhibition,галерея,виставка,False,,галерея,gallery,exhibition,True,True,False
wait,expect,зачекайте,очікувати,False,,зачекайте,hold on a second,expect,False,True,True
burst,explode,розрив,вибухнути,False,,розрив,breach,explode,False,True,True
earthquake,explosion,землетрус,вибух,False,,землетрус,earthquake,explosion,True,True,False
bomb,explosive,бомба,вибухові,False,,бомба,the bomb,explosive,False,True,True
describe,express,описати,експрес,False,,описати,describe,the express,True,False,True
internal,external,внутрішня,зовнішній,False,,внутрішня,the interior,outer,False,False,True
success,failure,успіх,невдача,False,,успіх,success,failure,True,True,False
hope,faith,надія,віра,False,,надія,hope,the faith,True,False,True
loyal,faithful,вірний,вірний,True,швидко,швидко,hurry up,loyal,False,False,True
fake,FALSE,фальшивий,фальшиве,False,,фальшивий,is false,false,False,True,True
clan,family,клан,сімя,False,,клан,clan,seven,True,False,True
popular,famous,популярний,відомий,False,,популярний,popular,wellknown,True,False,True
wonderful,fantastic,чудово,фантастично,False,,чудово,thats great,this is fantastic,False,False,True
reality,fantasy,реальність,фантазія,False,,реальність,the reality,the fantasy,False,False,True
near,far,поблизу,далеко,False,,поблизу,nearby,far away,False,False,True
slow,fast,повільно,швидко,False,,повільно,slowly,hurry up,False,False,True
deadly,fatal,смертельний,смертельний,True,шкідливий,шкідливий,harmful,deadly,False,False,True
mother,father,мати,батько,False,,мати,mother,father,True,True,False
mail,fax,пошта,факс,False,,пошта,the post office,the fax,False,False,True
horror,fear,жах,страх,False,,жах,the horror,fear,False,True,True
colony,federation,колонія,федерація,False,,колонія,the colony,the federation,False,False,True
impression,feeling,враження,відчуття,False,,враження,the impression,the feeling,False,False,True
male,female,чоловічий,жіноча,False,,чоловічий,the man,woman,False,False,True
wall,fence,стіна,огорожа,False,,стіна,the wall,the fence,False,False,True
carnival,festival,карнавал,фестиваль,False,,карнавал,the carnival,the festival,False,False,True
cough,fever,кашель,лихоманка,False,,кашель,cough,feverishness,True,False,True
combat,fight,бойові дії,бій,False,,бойові дії,combat operations,the fight,False,False,True
champion,fighter,чемпіон,бойовик,False,,чемпіон,champion,the fighter,True,False,True
nasty,filthy,неприємно,брудний,False,,неприємно,its not pleasant,its dirty,False,False,True
banking,financial,банківські послуги,фінансові,False,,банківські послуги,banking services,financial,False,True,True
financially,financing,фінансово,фінансування,False,,фінансово,financially,funding,True,False,True
search,find,пошук,знайти,False,,пошук,search,to find,True,False,True
dna,fingerprint,днк,відбиток пальця,False,,днк,the dna,the fingerprint,False,False,True
end,finish,кінець,закінчити,False,,кінець,the end,finish,False,True,True
shark,fish,акула,риба,False,,акула,the shark,fish,False,True,True
hunting,fishing,полювання,рибальство,False,,полювання,hunting,fishing,True,True,False
fire,flame,вогонь,полумя,False,,вогонь,fire,the flame,True,False,True
naval,fleet,військовоморський,флот,False,,військовоморський,naval officer,the fleet,False,False,True
landing,flight,висадка,польоту,False,,висадка,landing,the flight,True,False,True
grain,flour,зерно,борошно,False,,зерно,grain,flour,True,True,False
plant,flower,рослина,квітка,False,,рослина,plant,the flower,True,False,True
liquid,fluid,рідина,рідина,True,вільно,вільно,free,liquid,False,False,True
land,fly,земля,летіть,False,,земля,the earth,fly,False,True,True
cloud,fog,хмара,туман,False,,хмара,the cloud,the fog,False,False,True
basketball,football,баскетбол,футбол,False,,баскетбол,basketball player,football,False,True,True
strength,force,сила,сила,True,довговічність,довговічність,longevity of life,strength,False,False,True
jungle,forest,джунглі,ліс,False,,джунглі,the jungle,forests,False,False,True
eternal,forever,вічна,назавжди,False,,вічна,eternal,forever and ever,True,False,True
spoon,fork,ложка,вилка,False,,ложка,the bed,the fork,False,False,True
two,four,двоє,четверо,False,,двоє,two,four,True,True,False
third,fourth,третій,четвертий,False,,третій,third,fourth,True,True,False
conspiracy,fraud,змови,шахрайство,False,,змови,conspiracy,cheating,True,False,True
freely,free,вільно,вільно,True,,вільно,free,free,False,True,True
melt,freeze,розплавлення,заморозити,False,,розплавлення,melting,freeze,False,True,True
english,french,англійська,французький,False,,англійська,english,french,True,True,False
colleague,friend,колега,друг,False,,колега,colleague,a friend,True,False,True
polite,friendly,ввічливий,дружній,False,,ввічливий,polite,friendly,True,True,False
