en_cue,en_target,afr_cue,afr_target,needs_review,suggested_afr_cue,final_afr_cue
arsenal,armory,arsenaal,wapenrusting,False,,arsenaal
legion,army,legioen,leër,False,,legioen
round,around,ronde,rondom,False,,ronde
punish,arrest,straf,in hegtenis geneem,False,,straf
ignorance,arrogance,onkunde,arrogansie,False,,onkunde
vein,artery,are,arterie,False,,are
natural,artificial,natuurlike,kunsmatige,False,,natuurlike
cavalry,artillery,kavallerie,artillerie,False,,kavallerie
question,ask,vraag,vra,False,,vraag
mercenary,assassin,huursoldaat,moordenaar,False,,huursoldaat
help,assist,hulp,te help,False,,hulp
support,assistance,ondersteuning,hulp,False,,ondersteuning
secretary,assistant,sekretaris,assistent,False,,sekretaris
conclusion,assumption,gevolgtrekking,aanname,False,,gevolgtrekking
pacific,atlantic,stille oseaan,atlantiese,False,,stille oseaan
environment,atmosphere,omgewing,atmosfeer,False,,omgewing
invasion,attack,inval,aanval,False,,inval
victim,attacker,slagoffer,aanvaller,False,,slagoffer
try,attempt,probeer,poging,False,,probeer
opinion,attitude,mening,houding,False,,mening
attention,attract,aandag,aantreklik,False,,aandag
crowd,audience,skare,gehoor,False,,skare
jurisdiction,authority,jurisdiksie,gesag,False,,jurisdiksie
spring,autumn,lente,herfs,False,,lente
toast,bacon,gebak,spek,False,,gebak
good,bad,goed,sleg,False,,goed
box,bag,boks,sak,False,,boks
trap,bait,valstrik,aas,False,,valstrik
orchestra,band,orkes,band,False,,orkes
club,bar,klub,kroeg,False,,klub
stadium,baseball,stadion,bofbal,False,,stadion
shower,bathroom,stort,badkamer,False,,stort
superman,batman,die superman,batman,False,,die superman
regiment,battalion,regiment,bataljon,False,,regiment
war,battle,die oorlog,geveg,False,,die oorlog
arena,battlefield,arena,slagveld,False,,arena
hair,beard,hare,baard,False,,hare
pretty,beautiful,mooi,pragtig,False,,mooi
charm,beauty,sjarme,skoonheid,False,,sjarme
sofa,bed,bank,bed,False,,bank
room,bedroom,kamer,slaapkamer,False,,kamer
drink,beer,drank,bier,False,,drank
trust,believe,vertroue,glo,False,,vertroue
million,billion,miljoen,miljard,False,,miljoen
chemical,biological,chemiese,biologiese,False,,chemiese
chemistry,biology,chemie,biologie,False,,chemie
butterfly,bird,skoenlapper,voël,False,,skoenlapper
anniversary,birthday,herdenking,verjaardag,False,,herdenking
white,black,wit,swart,False,,wit
bribe,blackmail,omkopery,afpersing,False,,omkopery
brown,blue,bruin,blou,False,,bruin
submarine,boat,duikboot,boot,False,,duikboot
bible,book,die bybel,boek,False,,die bybel
manager,boss,bestuurder,hoof,False,,bestuurder
washington,boston,die washington,boston,False,,die washington
glass,bottle,glas,bottel,False,,glas
top,bottom,boonste,onderkant,False,,boonste
girl,boy,meisie,seuntjie,False,,meisie
noble,brave,edel,dapper,False,,edel
smash,break,verpletter,breek,False,,verpletter
dinner,breakfast,aandete,ontbyt,False,,aandete
groom,bride,bruidegom,bruid,False,,bruidegom
shine,bright,skyn,helder,False,,skyn
dude,bro,dude,broer,False,,dude
sister,brother,suster,broer,False,,suster
scratch,bruise,skraap,kneusplek,False,,skraap
construction,build,konstruksie,bou,False,,konstruksie
tower,building,toring,gebou,False,,toring
caliber,bullet,kaliber,koeël,False,,kaliber
dig,bury,grawe,begrawe,False,,grawe
train,bus,trein,busse,False,,trein
industry,business,nywerheid,besigheid,False,,nywerheid
ass,butt,agterstewe,agterkant,False,,agterstewe
honey,butter,heuning,botter,False,,heuning
seller,buyer,verkoper,koper,False,,verkoper
hello,bye,hallo daar,ek sien jou,False,,hallo daar
dessert,cake,nagereg,koek,False,,nagereg
count,calculate,tel,bereken,False,,tel
quiet,calm,stil,kalm,False,,stil
picnic,camping,piekniek,kampeerplek,False,,piekniek
tumor,cancer,gewas,kanker,False,,gewas
lamp,candle,lamp,kers,False,,lamp
glasses,cap,bril,dop,False,,bril
anarchy,capitalism,anargie,kapitalisme,False,,anargie
commander,captain,bevelvoerder,kaptein,False,,bevelvoerder
vehicle,car,voertuig,motor,False,,voertuig
bishop,cardinal,biskop,kardinaal,False,,biskop
load,cargo,vrag,vrag,True,gelaai,gelaai
floor,carpet,vloer,mat,False,,vloer
mafia,cartel,maffia,kartel,False,,maffia
palace,castle,paleis,kasteel,False,,paleis
dog,cat,hond,kat,False,,hond
grab,catch,gryp,vangs,False,,gryp
reason,cause,rede,oorsaak,False,,rede
grave,cemetery,graf,begraafplaas,False,,graf
mile,centimeter,myl,sentimeter,False,,myl
brain,cerebral,brein,serebrale,False,,brein
ritual,ceremony,ritueel,seremonie,False,,ritueel
table,chair,tafel,stoel,False,,tafel
obstacle,challenge,hindernis,uitdaging,False,,hindernis
wine,champagne,wyn,sjampanje,False,,wyn
competition,championship,mededinging,kampioenskap,False,,mededinging
church,chapel,kerk,kapel,False,,kerk
attractive,charming,aantreklik,sjarmante,False,,aantreklik
follow,chase,volg,agtervolg,False,,volg
expensive,cheap,duur,goedkoop,False,,duur
lip,cheek,lip,wang,False,,lip
bread,cheese,brood,kaas,False,,brood
cook,chef,kok,sjef,False,,kok
stomach,chest,maag,bors,False,,maag
swallow,chew,sluk,kou,False,,sluk
baby,child,baba,kind,False,,baba
youth,childhood,jeug,kinderjare,False,,jeug
sugar,chocolate,suiker,sjokolade,False,,suiker
catholic,christian,katolieke,christelike,False,,katolieke
smoke,cigar,rook,sigaar,False,,rook
tobacco,cigarette,tabak,sigaret,False,,tabak
zoo,circus,dieretuin,sirkus,False,,dieretuin
capital,city,hoofstad,die stad,False,,hoofstad
culture,civilization,kultuur,beskawing,False,,kultuur
typical,classic,tipiese,klassieke,False,,tipiese
patient,client,pasiënt,kliënt,False,,pasiënt
hospital,clinic,hospitaal,kliniek,False,,hospitaal
open,close,oop,naby,False,,oop
locked,closed,gesluit,gesluit,True,wegskakel,wegskakel
cabinet,closet,kabinet,kas,False,,kabinet
opening,closure,opening,sluiting,False,,opening
beach,coast,strand,kuslyn,False,,strand
cup,coffee,beker,koffie,False,,beker
rum,cognac,rum,konjak,False,,rum
hot,cold,warm,koud,False,,warm
fall,collapse,val,ineenstorting,False,,val
general,colonel,algemene,kolonel,False,,algemene
arrive,come,aangekom,kom,False,,aangekom
drama,comedy,drama,komedie,False,,drama
inspector,commissioner,inspekteur,kommissaris,False,,inspekteur
commission,committee,kommissie,komitee,False,,kommissie
navigation,communication,navigasie,kommunikasie,False,,navigasie
racist,communist,rassisties,kommunistiese,False,,rassisties
society,community,samelewing,gemeenskap,False,,samelewing
patience,compassion,geduld,medelye,False,,geduld
total,complete,totaal,voltooi,False,,totaal
absolutely,completely,absoluut,heeltemal,False,,absoluut
software,computer,sagteware,rekenaar,False,,sagteware
focus,concentrate,fokus,konsentreer,False,,fokus
tour,concert,toer,konsert,False,,toer
admit,confess,erken,bely,False,,erken
respect,confidence,respek,vertroue,False,,respek
confirmation,confirm,bevestiging,bevestig,False,,bevestiging
chaos,confusion,chaos,verwarring,False,,chaos
contact,connection,kontak,verbinding,False,,kontak
always,constantly,altyd,voortdurend,False,,altyd
law,constitution,wetgewing,grondwet,False,,wetgewing
contain,content,bevat,inhoud,False,,bevat
proceed,continue,voortgaan,voortgaan,True,gaan vorentoe,begin
opposite,contrary,teenoorgestelde,in teenstelling,False,,teenoorgestelde
orphanage,convent,weeshuis,klooster,False,,weeshuis
warm,cool,warm,koel,False,,warm
original,copy,oorspronklike,kopie,False,,oorspronklike
company,corporation,maatskappy,korporasie,False,,maatskappy
body,corpse,liggaam,lyk,False,,liggaam
wrong,correct,verkeerd,korrek,False,,verkeerd
silk,cotton,sy,katoen,False,,sy
baron,countess,baron,gravin,False,,baron
relative,cousin,relatiewe,neef,False,,relatiewe
rodeo,cowboy,rodeo,cowboy,False,,rodeo
paranoid,crazy,paranoïes,mal,False,,paranoïes
imagination,creativity,verbeelding,kreatiwiteit,False,,verbeelding
monster,creature,monster,wesens,False,,monster
scary,creepy,skrikwekkend,skrikwekkend,True,skud,skud
sin,crime,sonde,misdaad,False,,sonde
thief,criminal,dief,misdadiger,False,,dief
situation,crisis,situasie,krisis,False,,situasie
brutal,cruel,wreed,wreed,True,diere,diere
evil,cruelty,slegte,wreedheid,False,,slegte
tear,cut,traan,gesny,False,,traan
sweet,cute,soet,oulik,False,,soet
naive,cynical,naïef,sinies,False,,naïef
uncle,dad,oom,my pa,False,,oom
dancer,dance,danser,dans,False,,danser
risk,danger,risiko,gevaar,False,,risiko
risky,dangerous,riskant,gevaarlik,False,,riskant
shadow,dark,skaduwee,donker,False,,skaduwee
sunset,dawn,sonsondergang,dagbreek,False,,sonsondergang
alive,dead,lewendig,dood,False,,lewendig
blind,deaf,blind,doof,False,,blind
century,decade,eeu,dekade,False,,eeu
november,december,november,desember,False,,november
cabin,deck,kajuit,dek,False,,kajuit
victory,defeat,oorwinning,nederlaag,False,,oorwinning
protect,defend,beskerm,verdediging,False,,beskerm
concept,definition,konsep,definisie,False,,konsep
tasty,delicious,lekker,heerlik,False,,lekker
freedom,democracy,vryheid,demokrasie,False,,vryheid
protest,demonstration,protes,demonstrasie,False,,protes
arrival,departure,aankoms,vertrek,False,,aankoms
stress,depression,stres,depressie,False,,stres
profile,description,profiel,beskrywing,False,,profiel
fate,destiny,lot,lot,True,fortuin,fortuin
creation,destruction,skepping,vernietiging,False,,skepping
agent,detective,agent,speurder,False,,agent
courage,determination,moed,bepaling,False,,moed
progress,development,vordering,ontwikkeling,False,,vordering
chip,device,chip,toestel,False,,chip
angel,devil,engele,die duiwel,False,,engele
fidelity,devotion,getrouheid,toewyding,False,,getrouheid
suffer,die,ly,sterf,False,,ly
similar,different,soortgelyke,verskillende,False,,soortgelyke
pride,dignity,trots,waardigheid,False,,trots
ping,ding,ping,ding,False,,ping
direct,directly,direk,direk,True,punt,punt
producer,director,vervaardiger,direkteur,False,,vervaardiger
death,disappearance,dood,verdwyning,False,,dood
surprise,disappointment,verrassing,teleurstelling,False,,verrassing
conversation,discussion,gesprek,bespreking,False,,gesprek
flu,disease,griep,siekte,False,,griep
dirty,disgusting,vuil,walglik,False,,vuil
resignation,dismissal,bedanking,ontslag,False,,bedanking
conflict,dispute,konflik,geskil,False,,konflik
county,district,provinsie,distrik,False,,provinsie
interrupt,disturb,onderbreek,versteur,False,,onderbreek
god,divine,god,goddelike,False,,god
unit,division,eenheid,afdeling,False,,eenheid
make,do,maak,doen,False,,maak
surgeon,doctor,chirurgiese,dokter,False,,chirurgiese
file,document,lêer,dokument,False,,lêer
pound,dollar,pond,dollars,False,,pond
charity,donation,liefdadigheid,skenking,False,,liefdadigheid
window,door,venster,deur,False,,venster
paint,draw,verf,trek,False,,verf
nightmare,dream,nagmerrie,droom,False,,nagmerrie
skirt,dress,rok,klere,False,,rok
passenger,driver,passasier,bestuurder,False,,passasier
alcohol,drug,alkohol,dwelm,False,,alkohol
sober,drunk,nugter,dronk,False,,nugter
goose,duck,gans,eend,False,,gans
ash,dust,as,stof,False,,as
rusty,dusty,roesagtig,stowwerig,False,,roesagtig
responsibility,duty,verantwoordelikheid,plig,False,,verantwoordelikheid
gunpowder,dynamite,kruit,dinamiet,False,,kruit
eye,ear,oog,oor,False,,oog
late,early,laat,vroeg,False,,laat
west,east,die weste,oos,False,,die weste
impossible,easy,onmoontlik,maklik,False,,onmoontlik
feed,eat,voer,eet,False,,voer
health,education,gesondheid,onderwys,False,,gesondheid
influence,effect,invloed,effek,False,,invloed
useful,effective,nuttig,effektief,False,,nuttig
nest,egg,nes,eier,False,,nes
campaign,election,veldtog,verkiesing,False,,veldtog
magnetic,electric,magnetiese,elektriese,False,,magnetiese
current,electricity,huidige,elektrisiteit,False,,huidige
fashionable,elegant,modieus,elegante,False,,modieus
factor,element,faktor,element,False,,faktor
urgent,emergency,dringend,noodgeval,False,,dringend
mental,emotional,verstandelike,emosionele,False,,verstandelike
imperial,emperor,keiserlike,keiser,False,,keiserlike
dynasty,empire,dinastie,ryk,False,,dinastie
power,energy,krag,energie,False,,krag
tank,engine,tenk,enjin,False,,tenk
exit,entrance,uitgang,ingang,False,,uitgang
millionaire,entrepreneur,miljoenêr,entrepreneur,False,,miljoenêr
plague,epidemic,plaag,epidemie,False,,plaag
series,episode,reeks,episode,False,,reeks
equipment,equip,toerusting,toerusting,True,,verskaf
orgasm,erection,orgasme,oprigting,False,,orgasme
flee,escape,vlug,ontsnap,False,,vlug
observation,evaluation,waarneming,evaluering,False,,waarneming
night,evening,nag,aand,False,,nag
phenomenon,event,verskynsel,gebeurtenis,False,,verskynsel
finally,eventually,uiteindelik,uiteindelik,True,in gevolgtrekking,in gevolgtrekking
never,ever,nooit,ooit,False,,nooit
underestimate,exaggerate,onderskat,oordryf,False,,onderskat
proud,excited,trots,opgewonde,False,,trots
forgive,excuse,vergewe,verskoning,False,,vergewe
hanging,execution,opgehang,uitvoering,False,,opgehang
practice,exercise,praktyk,oefening,False,,praktyk
gallery,exhibition,galery,uitstalling,False,,galery
wait,expect,wag,verwag,False,,wag
burst,explode,ontploffing,ontplof,False,,ontploffing
earthquake,explosion,aardbewing,ontploffing,False,,aardbewing
bomb,explosive,bom,ontploffingsmiddel,False,,bom
describe,express,beskryf,uitdruklike,False,,beskryf
internal,external,interne,eksterne,False,,interne
success,failure,sukses,mislukking,False,,sukses
hope,faith,hoop,geloof,False,,hoop
loyal,faithful,lojaal,getrou,False,,lojaal
fake,FALSE,vals,vals,True,gesimuleerde,gesimuleerde
clan,family,stam,familie,False,,stam
popular,famous,gewild,beroemd,False,,gewild
wonderful,fantastic,wonderlik,fantasties,False,,wonderlik
reality,fantasy,werklikheid,fantasie,False,,werklikheid
near,far,naby,ver,False,,naby
slow,fast,stadig,vinnig,False,,stadig
deadly,fatal,dodelik,dodelik,True,kranksinnig,kranksinnig
mother,father,moeder,vader,False,,moeder
mail,fax,pos,faks,False,,pos
horror,fear,verskrikking,vrees,False,,verskrikking
colony,federation,kolonie,federasie,False,,kolonie
impression,feeling,indruk,gevoel,False,,indruk
male,female,manlike,vroulike,False,,manlike
wall,fence,muur,heining,False,,muur
carnival,festival,karnaval,fees,False,,karnaval
cough,fever,hoes,koors,False,,hoes
combat,fight,geveg,veg,False,,geveg
champion,fighter,kampioen,vegter,False,,kampioen
nasty,filthy,vervelig,vuil,False,,vervelig
banking,financial,bankdienste,finansiële,False,,bankdienste
financially,financing,finansieel,finansiering,False,,finansieel
search,find,soek,vind,False,,soek
dna,fingerprint,dna,vingerafdruk,False,,dna
end,finish,einde,voltooi,False,,einde
shark,fish,haai,vis,False,,haai
hunting,fishing,jag,visvang,False,,jag
fire,flame,vuur,vlam,False,,vuur
naval,fleet,vloot,vloot,True,,marine
landing,flight,landing,vlug,False,,landing
grain,flour,graan,meel,False,,graan
plant,flower,plant,blom,False,,plant
liquid,fluid,vloeistof,vloeistof,True,gesmelt,gesmelt
land,fly,grond,vlieg,False,,grond
cloud,fog,wolk,mis,False,,wolk
basketball,football,basketbal,sokker,False,,basketbal
strength,force,sterkte,krag,False,,sterkte
jungle,forest,die oerwoud,bos,False,,die oerwoud
eternal,forever,ewige,vir ewig,False,,ewige
spoon,fork,lepel,vurk,False,,lepel
two,four,twee,vier,False,,twee
third,fourth,derde,vierde,False,,derde
conspiracy,fraud,sameswering,bedrog,False,,sameswering
freely,free,vrylik,vry,False,,vrylik
melt,freeze,gesmelt,vries,False,,gesmelt
english,french,engels,frans,False,,engels
colleague,friend,kollega,vriend,False,,kollega
polite,friendly,beleefd,vriendelik,False,,beleefd
relationship,friendship,verhouding,vriendskap,False,,verhouding
scare,frighten,skrik,skrikwekkend,False,,skrik
apple,fruit,appel,vrugte,False,,appel
gas,fuel,gas,brandstof,False,,gas
refugee,fugitive,vlugteling,vlugtelinge,False,,vlugteling
empty,full,leeg,vol,False,,leeg
operational,functional,bedrywighede,funksionele,False,,bedrywighede
budget,funding,begroting,befondsing,False,,begroting
coffin,funeral,kis,begrafnis,False,,kis
witty,funny,geestig,snaaks,False,,geestig
universe,galaxy,die heelal,sterrestelsel,False,,die heelal
play,game,speel,spel,False,,speel
workshop,garage,werkswinkel,motorhuis,False,,werkswinkel
trash,garbage,vullis,vullis,True,met,met
portal,gate,portale,hek,False,,portale
collect,gather,versamel,bymekaarkom,False,,versamel
lesbian,gay,lesbiese,gay,False,,lesbiese
naturally,generally,natuurlik,oor die algemeen,False,,natuurlik
compassionate,generous,medelydend,vrygewig,False,,medelydend
soft,gentle,sag,sagmoedig,False,,sag
compliment,gift,kompliment,geskenk,False,,kompliment
boys,girls,seuns,meisies,False,,seuns
offer,give,aanbod,gee,False,,aanbod
national,global,nasionale,wêreldwye,False,,nasionale
glorious,glory,glorieryke,heerlikheid,False,,glorieryke
enter,go,ingaan,gaan weg,False,,ingaan
monkey,gorilla,aap,gorilla,False,,aap
administration,government,administrasie,regering,False,,administrasie
diploma,graduate,diploma,gegradueerde,False,,diploma
kilo,gram,kilo,gram,False,,kilo
grandfather,grandmother,oupa,ouma,False,,oupa
hospitality,gratitude,gasvryheid,dankbaarheid,False,,gasvryheid
excellent,great,uitstekend,wonderlik,False,,uitstekend
roman,greek,romeinse,grieks,False,,romeinse
congratulate,greet,gelukwens,groet,False,,gelukwens
gang,group,bende,groep,False,,bende
innocent,guilty,onskuldig,skuldig,False,,onskuldig
piano,guitar,klavier,kitaar,False,,klavier
rifle,gun,geweer,geweer,True,verwoesting,verwoesting
illusion,hallucination,illusie,hallusinasie,False,,illusie
sandwich,hamburger,toebroodjie,hamburger,False,,toebroodjie
stick,hammer,stok,hamer,False,,stok
cloth,handkerchief,stof,sakdoek,False,,stof
occur,happen,voorkom,gebeur,False,,voorkom
satisfied,happy,tevrede,gelukkig,False,,tevrede
bay,harbor,baai,hawe,False,,baai
tough,hard,moeilik,moeilik,True,punk,punk
balance,harmony,balans,harmonie,False,,balans
helmet,hat,helm,hoed,False,,helm
base,headquarters,basis,hoofkwartier,False,,basis
recover,heal,herstel,genees,False,,herstel
listen,hear,luister,hoor,False,,luister
sky,heavenly,die lug,hemelse,False,,die lug
heavy,heavily,swaar,swaar,True,sullen,sullen
weight,height,gewig,hoogte,False,,gewig
ambulance,helicopter,ambulans,helikopter,False,,ambulans
paradise,hell,die paradys,die hel,False,,die paradys
cocaine,heroin,kokaïen,heroïen,False,,kokaïen
cover,hide,deksel,verberg,False,,deksel
low,high,laag,hoog,False,,laag
majesty,highness,u majesteit,hoogheid,False,,u majesteit
road,highway,pad,snelweg,False,,pad
aids,hiv,hulpbronne,die hiv,False,,hulpbronne
crack,hole,krake,gat,False,,krake
christmas,holiday,kersfees,vakansie,False,,kersfees
decent,honest,ordentlik,eerlik,False,,ordentlik
loyalty,honesty,lojaliteit,eerlikheid,False,,lojaliteit
privilege,honor,voorreg,eer,False,,voorreg
terrible,horrible,verskriklik,verskriklik,True,pynlik,pynlik
donkey,horse,esel,perd,False,,esel
pump,hose,pomp,slang,False,,pomp
kiss,hug,soen,omhelsing,False,,soen
big,huge,groot,groot,True,ten volle volwasse,reusagtig
man,human,die man,menslike,False,,die man
thousand,hundred,duisend,honderd,False,,duisend
tired,hungry,moeg,honger,False,,moeg
carbon,hydrogen,koolstof,waterstof,False,,koolstof
fool,idiot,dwaas,idioot,False,,dwaas
meaning,importance,betekenis,belangrikheid,False,,betekenis
valuable,important,waardevol,belangrik,False,,waardevol
flatter,impress,platter,indrukwekkend,False,,platter
penalty,imprisonment,boete,gevangenisstraf,False,,boete
change,improvement,verandering,verbetering,False,,verandering
profit,income,wins,inkomste,False,,wins
point,indicate,punt,aangedui,False,,punt
person,individual,persoon,individuele,False,,persoon
virus,infection,virus,infeksie,False,,virus
report,inform,verslag,inlig,False,,verslag
source,informant,bron,inligtingsgewer,False,,bron
data,information,data,inligting,False,,data
heritage,inherit,erfenis,erf,False,,erfenis
dose,injection,dosis,inspuiting,False,,dosis
wound,injury,wonde,besering,False,,wonde
spider,insect,spinnekop,insek,False,,spinnekop
outside,inside,buite,binne,False,,buite
examination,inspection,ondersoek,inspeksie,False,,ondersoek
inspire,inspiration,inspireer,inspirasie,False,,inspireer
tool,instrument,gereedskap,instrument,False,,gereedskap
smart,intelligent,slim,intelligente,False,,slim
purpose,intention,doel,voorneme,False,,doel
accidentally,intentionally,per ongeluk,opsetlik,False,,per ongeluk
exciting,interesting,opwindend,interessant,False,,opwindend
personal,intimate,persoonlike,intiem,False,,persoonlike
instinct,intuition,instink,intuïsie,False,,instink
finance,invest,finansies,belê,False,,finansies
examine,investigate,ondersoek,ondersoek,True,opstel,opstel
analyst,investigator,ontleder,ondersoekbeampte,False,,ontleder
banker,investor,bankman,belegger,False,,bankman
irony,ironic,ironie,ironies,False,,ironie
unreasonable,irresponsible,onredelik,onverantwoordelik,False,,onredelik
shirt,jacket,hemp,baadjie,False,,hemp
diamond,jewel,diamant,juweel,False,,diamant
trick,joke,truuk,n grap,False,,truuk
reporter,journalist,verslaggewer,joernalis,False,,verslaggewer
pleasure,joy,plesier,vreugde,False,,plesier
court,judge,hof,regter,False,,hof
milk,juice,melk,sap,False,,melk
romeo,juliet,romeo,juliet,False,,romeo
june,july,junie,julie,False,,junie
climb,jump,klim,spring,False,,klim
senior,junior,senior,jonger,False,,senior
revenge,justice,wraak,geregtigheid,False,,wraak
hold,keep,hou,hou,True,teëkom,teëkom
poison,kill,gif,doodmaak,False,,gif
queen,king,koningin,koning,False,,koningin
royal,kingdom,koninklike,koninkryk,False,,koninklike
shoulder,knee,skouer,knie,False,,skouer
recognize,knew,herken,het geweet,False,,herken
sword,knife,swaard,mes,False,,swaard
now,know,nou,weet,False,,nou
experience,knowledge,ondervinding,kennis,False,,ondervinding
lord,lady,here,vrou,False,,here
river,lake,rivier,meer,False,,rivier
tenant,landlord,huurder,verhuurder,False,,huurder
first,last,eerste,laaste,False,,eerste
smile,laugh,glimlag,lag,False,,glimlag
member,leader,lid,leier,False,,lid
seminar,lecture,seminaar,lesing,False,,seminaar
right,left,regs,links,False,,regs
illegal,legal,onwettig,wetlike,False,,onwettig
myth,legend,mite,legende,False,,mite
size,length,grootte,lengte,False,,grootte
allow,let,toegelaat,laat,False,,toegelaat
telegram,letter,telegram,die brief,False,,telegram
lie,liar,leuen,leuenaar,False,,leuen
conservative,liberal,konserwatief,liberale,False,,konserwatief
suck,lick,suig,lek,False,,suig
sergeant,lieutenant,sersant,luitenant,False,,sersant
darkness,light,duisternis,ligte,False,,duisternis
probability,likely,waarskynlikheid,waarskynlik,False,,waarskynlikheid
taxi,limousine,taxi,limousine,False,,taxi
ming,ling,ming,ling,False,,ming
dragon,lion,draak,leeu,False,,draak
art,literature,kuns,literatuur,False,,kuns
kidney,liver,nier,lewer,False,,nier
frog,lizard,padda,akkedis,False,,padda
credit,loan,krediet,lening,False,,krediet
tuna,lobster,tonyn,kreef,False,,tonyn
regional,local,streeks,plaaslike,False,,streeks
place,location,plek,ligging,False,,plek
key,lock,sleutel,slot,False,,sleutel
alone,lonely,alleen,eensaam,False,,alleen
short,long,kort,lank,False,,kort
hate,love,haat,die liefde,False,,haat
nice,lovely,lekker,pragtig,False,,lekker
mistress,lover,meesteres,geliefde,False,,meesteres
snack,lunch,versnapering,middagete,False,,versnapering
robot,machine,robot,masjien,False,,robot
playboy,magazine,die playboy,tydskrif,False,,die playboy
nanny,maid,kindermeisie,diensmeisie,False,,kindermeisie
preserve,maintain,bewaar,in stand hou,False,,bewaar
service,maintenance,diens,instandhouding,False,,diens
control,manipulate,beheer,manipuleer,False,,beheer
compass,map,kompas,kaart,False,,kompas
advertising,marketing,advertensies,bemarking,False,,advertensies
divorce,marriage,egskeiding,huwelik,False,,egskeiding
single,married,enkelvoud,getroud,False,,enkelvoud
yoga,massage,joga,massering,False,,joga
tournament,match,toernooi,ooreenstem,False,,toernooi
physics,mathematics,fisika,wiskunde,False,,fisika
minimum,maximum,die minimum,maksimum,False,,die minimum
ketchup,mayonnaise,ketchup,mayonnaise,False,,ketchup
sheriff,mayor,die sheriff,burgemeester,False,,die sheriff
food,meal,kos,maaltyd,False,,kos
pork,meat,varkvleis,vleis,False,,varkvleis
technical,mechanical,tegniese,meganiese,False,,tegniese
trophy,medal,trofee,medalje,False,,trofee
artifact,medallion,artefak,medalje,False,,artefak
see,meet,sien,ontmoet,False,,sien
conference,meeting,konferensie,vergadering,False,,konferensie
commercial,merchant,kommersiële,handelaar,False,,kommersiële
forgiveness,mercy,vergifnis,genade,False,,vergifnis
warning,message,waarskuwing,boodskap,False,,waarskuwing
iron,metal,yster,metaal,False,,yster
kilometer,meter,kilometer,meter,False,,kilometer
camera,microphone,kamera,mikrofoon,False,,kamera
telescope,microscope,teleskoop,mikroskoop,False,,teleskoop
civil,military,siviele,militêre,False,,siviele
ambassador,minister,ambassadeur,minister,False,,ambassadeur
embassy,ministry,ambassade,bediening,False,,ambassade
plus,minus,plus,minus,False,,plus
second,minute,tweede,minuut,False,,tweede
reflection,mirror,weerspieëling,spieël,False,,weerspieëling
poverty,misery,armoede,ellende,False,,armoede
unfortunate,misfortune,ongelukkig,ongelukkigheid,False,,ongelukkig
rocket,missile,vuurpyl,missiel,False,,vuurpyl
task,mission,taak,sending,False,,taak
error,mistake,fout,fout,True,verkeerde spel,verkeerde spel
combination,mixture,kombinasie,mengsel,False,,kombinasie
humble,modest,nederig,beskeie,False,,nederig
temple,monastery,tempel,klooster,False,,tempel
cash,money,kontant,geld,False,,kontant
screen,monitor,skerm,monitor,False,,skerm
tomorrow,morning,môre,oggend,False,,môre
aspirin,morphine,aspirine,morfien,False,,aspirine
hotel,motel,die hotel,motel,False,,die hotel
hill,mountain,heuwel,berg,False,,heuwel
porn,movie,porn,fliek,False,,porn
