"language","value","translation"
"af","afhandel","complete"
"af","afhang","depend"
"af","afhanklik","dependent"
"af","afhanklikheid","dependence"
"af","afkoeling","cooling"
"af","afkom","conclude"
"af","afkorting","abbreviation"
"af","aflaai","unload"
"af","afleiding","distraction"
"af","aflewer","deliver"
"af","aflewering","delivery"
"af","afloop","run-off"
"af","afloopwater","runoff"
"af","aflê","take"
"af","afmeting","dimension"
"af","afname","decrease"
"af","afneem","decrease"
"af","afriforum","afriforum"
"af","afrikaans","african"
"af","afrikaansmedium","afrikaans-medium"
"af","afrikaansmediumskool","afrikaans medium school"
"af","afrikaanssprekende","afrikaans speaking"
"af","afrikaner","afrikaner"
"af","afronding","rounding"
"af","afsetting","deposition"
"af","afskaffing","abolition"
"af","afskeiding","secretion"
"af","afskeidspreek","farewell"
"af","afskrif","copy"
"af","afsluiting","closure"
"af","afsondering","solitude"
"af","afsonderlik","separate"
"af","afstaan","charge"
"af","afstam","descended"
"af","afstammeling","descendant"
"af","afstigting","dirty"
"af","aftakeling","dismantling"
"af","aftrek","subtract"
"af","afvaardiging","delegation"
"af","afval","waste"
"af","afvoer","output"
"af","afwagting","expectation"
"af","afwerking","finish"
"af","afwesigheid","absence"
"af","afwisseling","alternation"
"af","afwyk","deviate"
"af","afwyking","deviation"
"af","afwys","decline"
"af","agentskap","agency"
"af","agnes","agnes"
"af","agtergelaat","left behind"
"af","agterlaat","leave"
"af","agterpoot","hind leg"
"af","agterste","back"
"af","agteruitgang","decline"
"af","agtervoegsels","suffix"
"af","agtervolg","pursue"
"af","agting","respect"
"af","agv","agr"
"af","ahmadinejad","ahmadinejad"
"af","ahmed","ahmed"
"af","airbus","airbus"
"af","aire","aire"
"af","airlines","airlines"
"af","airways","airways"
"af","aix","aix"
"af","ajax","ajax"
"af","akademies","academic"
"af","akkadies","akkadian"
"af","akker","acorn"
"af","akkommodasie","accommodation"
"af","akkoord","chord"
"af","akkuraat","accurate"
"af","akkuraatheid","accuracy"
"af","akoestiek","acoustic"
"af","akoesties","acoustic"
"af","akroniem","acronym"
"af","aksie","action"
"af","aktiveer","activate"
"af","aktivis","activist"
"af","aktiwiteit","activity"
"af","aktrise","actress"
"af","aktuarius","actuarius"
"af","akwarium","aquarium"
"af","alarm","alarm"
"af","albanie","albanie"
"af","alberto","alberto"
"af","albertus","albertus"
"af","album","album"
"af","aldus","thus"
"af","aleksandrowitsj","aleksandrowich"
"af","alemannies","alemannies"
"af","alex","alex"
"af","alexis","alexis"
"af","alfabeties","alphabetical"
"af","alfred","alfred"
"af","algebraïes","algebraically"
"af","algeheel","overall"
"af","algemeen","general"
"af","algol","algol"
"af","algoritmes","algorithms"
"af","alhier","hereh"
"af","aliwal","aliwal"
"af","alix","alix"
"af","alkalies","alkaline"
"af","alkohol","alcohol"
"af","all","all"
"af","alledaags","common"
"af","alleen","alone"
"af","alleenheerser","alone"
"af","alleenlik","only"
"af","allegories","allegorical"
"af","allergies","allergic"
"af","alliansies","alliances"
"af","allow","allow"
"af","allowed","allowed"
"af","along","along"
"af","alpes","alpes"
"af","alreeds","already"
"af","als","as"
"af","alternatief","alternative"
"af","alternatiewelik","alternatively"
"af","altesaam","altogether"
"af","althusser","althusser"
"af","alto","alto"
"af","altyd","always"
"af","aluminium","aluminum"
"af","always","always"
"af","amadeus","amadeus"
"af","amandels","almond"
"af","amazing","amazing"
"af","ambassade","embassy"
"af","amber","amber"
"af","ambisie","ambition"
"af","amerika","america"
"af","amerikaans","american"
"af","amerikaner","american"
"af","amfiteater","amphitheater"
"af","amg","amg"
"af","ammoniak","ammonia"
"af","amoer","amur"
"af","among","among"
"af","ampsdraer","office bearer"
"af","ampstaal","official language"
"af","ampswoning","office"
"af","amptelik","official"
"af","amptenaar","official"
"af","amsterdam","amsterdam"
"af","anaal","anal"
"af","analise","analysis"
"af","analiseer","analyze"
"af","analities","analytical"
"af","analoë","analog"
"af","anargie","anarchy"
"af","anatomies","anatomical"
"af","anaërobies","anaerobic"
"af","and","and"
"af","ander","other"
"af","andrea","andrea"
"af","andrew","andrew"
"af","andries","andries"
"af","anekdotes","anecdotes"
"af","angels","angels"
"af","anglikaans","anglican"
"af","angs","anxiety"
"af","animeer","animate"
"af","anker","anchor"
"af","annekseer","annex"
"af","annie","annie"
"af","anoniem","anonymous"
"af","anorganies","inorganic"
"af","another","another"
"af","answer","answer"
"af","antennes","antennas"
"af","anthonie","anthonie"
"af","antonie","antonie"
"af","antrim","anthrim"
"af","antropoloë","anthropologists"
"af","antwoord","answer"
"af","anything","anthing"
"af","apart","apart"
"af","apartheid","apartheid"
"af","apartheidsregering","apartheid government"
"af","apostels","apostles"
"af","apostolies","apostolic"
"af","apparaat","apparatus"
"af","appels","apples"
"af","applied","applied"
"af","apteek","pharmacy"
"af","apteker","pharmacist"
"af","arabies","arabic"
"af","arbei","labor"
"af","arbeiders","workers"
"af","arbeidsmark","labor market"
"af","arbeidsveld","labor field"
"af","archer","archer"
"af","archimedes","archimedes"
"af","area","area"
"af","ares","ares"
"af","argeologies","archaeologically"
"af","argeoloë","archaeologists"
"af","argetipes","archetypes"
"af","argeïkum","archaic"
"af","argitek","architect"
"af","argitektonies","architectural"
"af","args","args"
"af","argumenteer","argue"
"af","argus","archus"
"af","ariarathes","ariaraathes"
"af","aries","aries"
"af","ark","ark"
"af","arm","arm"
"af","armblankes","poor white"
"af","armes","poor"
"af","armoede","poverty"
"af","armstrong","armstrong"
"af","arnhem","arnhem"
"af","arnold","arnold"
"af","arnoldus","arnoldus"
"af","aromaties","aromatic"
"af","arresteer","arrest"
"af","arriveer","arrive"
"af","arrow","arrow"
"af","artes","artes"
"af","artikel","article"
"af","artikels","articles"
"af","asb","please"
"af","asbes","asbestos"
"af","asem","breath"
"af","asemhaal","breathe"
"af","asemhaling","breathing"
"af","asiaties","asian"
"af","asies","asian"
"af","asimmetries","asymmetrical"
"af","ask","ask"
"af","aspek","aspect"
"af","aspirasie","aspiration"
"af","asseblief","please"
"af","assimileer","assimilate"
"af","assiries","assyrian"
"af","associated","associated"
"af","assosiasie","association"
"af","assosieer","associate"
"af","assurbanipal","asserbanipal"
"af","asterix","asterix"
"af","asteroïdes","asteroids"
"af","atatürk","atatürk"
"af","ateljeealbum","studio album"
"af","atkv","atkv"
"af","atleet","athlete"
"af","atletiek","athletics"
"af","atoem","atom"
"af","atol","atol"
"af","atoomgetal","atomic number"
"af","attack","attack"
"af","aucklandpark","auckland park"
"af","audi","audi"
"af","augsburg","augsburg"
"af","augustinus","augustine"
"af","augustus","august"
"af","aurelius","aurelius"
"af","aus","aus"
"af","auschwitz","auschwitz"
"af","australies","australian"
"af","australopithecus","australopithecus"
"af","auto","auto"
"af","aux","aux"
"af","avenger","avenger"
"af","avondmaal","evening meal"
"af","award","award"
"af","awb","awb"
"af","azerbeidjanners","azerbaijanners"
"af","baal","bale"
"af","baan","lane"
"af","baanbreker","pioneer"
"af","baanbrekerswerk","pioneering"
"af","baard","beard"
"af","baat","benefit"
"af","babas","babies"
"af","babelsberg","babelsberg"
"af","babilonies","babylonian"
"af","baccalaureus","baccalaureus"
"af","back","back"
"af","bad","bath"
"af","bagdad","baghdad"
"af","bahamas","bahamas"
"af","bak","bowl"
"af","baken","beacon"
"af","baker","baker"
"af","bakkies","bowls"
"af","bakmaat","bakmaat"
"af","bakterie","bacteria"
"af","bakwerk","bark"
"af","bal","ball"
"af","balanseer","balance"
"af","ballades","ballads"
"af","balties","balties"
"af","bam","bam"
"af","bamberger","bamberger"
"af","bandwydte","bandwidth"
"af","bang","afraid"
"af","bangkok","bangkok"
"af","bangladesj","bangladesh"
"af","bank","bank"
"af","banknote","banknotes"
"af","banneling","exile"
"af","banner","banner"
"af","bantoetaal","bantu"
"af","barack","barack"
"af","barb","barb"
"af","barbaar","barbarian"
"af","barber","barber"
"af","barium","barium"
"af","barnard","barnard"
"af","barnato","barnato"
"af","barnes","barnes"
"af","barok","baroque"
"af","barrow","barrow"
"af","bars","bar"
"af","bas","bark"
"af","basaal","basal"
"af","based","based"
"af","baseer","base"
"af","basie","bation"
"af","basies","basic"
"af","basiliek","basil"
"af","basilius","basil"
"af","basis","base"
"af","basketbal","basketball"
"af","baskies","gasies"
"af","baskitaarspeler","baskitarian player"
"af","basoeto","basotho"
"af","basters","hybrid"
"af","bate","asset"
"af","bauhaus","bauhaus"
"af","bayer","bayer"
"af","beaconsfield","beaconsfield"
"af","beampte","official"
"af","bean","bean"
"af","beantwoord","answer"
"af","bear","beader"
"af","bearbei","work"
"af","bearbeiding","bearing"
"af","beat","beat"
"af","beatles","beatles"
"af","beatrix","beatrix"
"af","beaufort","beaufort"
"af","beaumont","beaumont"
"af","beautiful","beautiful"
"af","beboet","fine"
"af","beboste","wooded"
"af","beck","beg"
"af","becker","beker"
"af","beckett","beckett"
"af","bed","bed"
"af","bedags","daily"
"af","bedank","thank"
"af","bedanking","resignation"
"af","bedding","bed"
"af","bedek","cover"
"af","bedekking","cover"
"af","bedelaars","beggars"
"af","bedelary","begging"
"af","bedeling","dispensation"
"af","bederf","spoil"
"af","bedien","serve"
"af","bediende","maid"
"af","bediener","server"
"af","bediening","serving"
"af","bedieningstyd","operating time"
"af","beding","bargain"
"af","bedink","devise"
"af","bedoel","mean"
"af","bedoeling","intention"
"af","bedrag","amount"
"af","bedreig","defraud"
"af","bedreiging","threat"
"af","bedrieg","deceive"
"af","bedrog","fraud"
"af","bedryf","industry"
"af","bedryfstelsel","operating"
"af","bedryfstelsels","operating systems"
"af","bedrywig","busy"
"af","bedrywigheid","activity"
"af","beduidend","significant"
"af","bedwang","check"
"af","bee","bee"
"af","beek","brook"
"af","beeld","image"
"af","beeldhouer","sculptor"
"af","beeldhouwerk","sculpture"
"af","beelding","imaging"
"af","beeldjies","figurines"
"af","beeldmateriaal","footage"
"af","beeldsaai","image"
"af","beeldsend","imagery"
"af","beeldskoon","beautiful"
"af","beeldspraak","imagery"
"af","been","leg"
"af","beer","bear"
"af","beers","beers"
"af","bees","cattle"
"af","beesboerdery","cattle farming"
"af","beesvleis","beef"
"af","beet","beet"
"af","beethoven","beethoven"
"af","befondsing","funding"
"af","before","before"
"af","begaafde","gifted"
"af","begaafdheid","giftedness"
"af","begaan","commit"
"af","begeer","desire"
"af","begeertes","desires"
"af","begelei","accompany"
"af","begeleiding","accompaniment"
"af","begemann","begemann"
"af","begenadig","pardon"
"af","begin","start"
"af","beginner","beginner"
"af","beginning","beginning"
"af","beginpunt","start"
"af","beginsel","principle"
"af","beginsels","principals"
"af","begraafplaas","cemetery"
"af","begrafnis","funeral"
"af","begrawe","bury"
"af","begrip","comprehension"
"af","begroet","greet"
"af","begroting","budget"
"af","begryp","understand"
"af","behaal","achieved"
"af","behandel","treat"
"af","behandeling","treatment"
"af","behartig","manage"
"af","behavior","behavior"
"af","beheer","control"
"af","beheerde","controlled"
"af","beheerliggaam","governing body"
"af","beheerraad","control board"
"af","beheers","control"
"af","behels","involve"
"af","behind","look"
"af","behoefte","need"
"af","behoeftig","needy"
"af","behoeftiges","needy"
"af","behoorlik","properly"
"af","behou","retain"
"af","behoud","retention"
"af","behuising","housing"
"af","behulp","use"
"af","behulpsaam","helpful"
"af","bei","bei"
"af","beiers","borners"
"af","beijer","beijer"
"af","beijing","beijing"
"af","being","being"
"af","bejaard","elder"
"af","bejaarde","elderly"
"af","bejeën","look"
"af","bek","beak"
"af","bekamp","combat"
"af","bekeer","convert"
"af","beken","confess"
"af","bekend","familiar"
"af","bekende","well known"
"af","bekendgemaak","made known"
"af","bekendgestaan","prominent"
"af","bekendheid","familiarity"
"af","bekendstaan","introduce"
"af","bekendste","most well-known"
"af","bekendstel","introduce"
"af","bekendstelling","introduction"
"af","beker","cup"
"af","bekering","conversion"
"af","bekken","pelvis"
"af","bekker","bekker"
"af","beklee","occupy"
"af","beklemtoon","emphasizes"
"af","beklink","conclude"
"af","bekom","acquire"
"af","bekommernis","worry"
"af","bekoorlik","charming"
"af","bekoring","fascination"
"af","bekostig","afford"
"af","bekostigbaar","affordable"
"af","bekragtig","ratify"
"af","bekroon","crown"
"af","bekwaam","capable"
"af","bekwaamheid","aptitude"
"af","bekyk","view"
"af","bel","call"
"af","bela","bela"
"af","belaai","fraug"
"af","belang","significance"
"af","belanghebbende","interested"
"af","belangrik","important"
"af","belangrikheid","importance"
"af","belangrikste","most important"
"af","belangstel","interested"
"af","belangstellende","interested"
"af","belangstelling","interest"
"af","belas","burden"
"af","belasting","taxation"
"af","beleef","polite"
"af","beleg","siege"
"af","belegger","investor"
"af","belegging","investment"
"af","beleid","policy"
"af","belewenis","experience"
"af","belgies","belgian"
"af","belgrado","belgrade"
"af","belgravia","belgravia"
"af","belig","light"
"af","beligting","lighting"
"af","belisarius","belisarius"
"af","bell","bell"
"af","bella","bella"
"af","belofte","promise"
"af","beloning","reward"
"af","beloof","promise"
"af","beloofde","promised"
"af","below","promising"
"af","belydenisskrif","confession"
"af","belê","invest"
"af","bemaak","bequeath"
"af","bemagtig","empower"
"af","bemagtiging","empowerment"
"af","beman","mann"
"af","bemanning","crew"
"af","bemanningslede","crew"
"af","bemark","market"
"af","bemarking","marketing"
"af","bemeester","mastered"
"af","bemesting","fertilizer"
"af","bemiddel","mediate"
"af","bemiddeling","mediation"
"af","bemind","lecture"
"af","bemoedig","encourage"
"af","bemoei","interferiate"
"af","bemoeilik","complicate"
"af","ben","ben"
"af","benadeel","impair"
"af","benader","approximate"
"af","benaderde","approximate"
"af","benadering","approach"
"af","benadruk","emphasize"
"af","benaming","name"
"af","bend","bend"
"af","benede","beneath"
"af","benedeloop","down"
"af","benedictus","benedict"
"af","benelux","benelux"
"af","benetton","benetton"
"af","bengaals","bengali"
"af","benguela","benguela"
"af","benin","benin"
"af","benito","benito"
"af","benjamin","benjamin"
"af","bennett","bennett"
"af","benodig","need"
"af","benoem","name"
"af","benoemde","nominee"
"af","benoeming","nomination"
"af","benoni","benoni"
"af","benseen","benzene"
"af","benson","benson"
"af","bentham","bentham"
"af","bentoniet","bentonite"
"af","benut","utilize"
"af","benutting","utilization"
"af","benz","benz"
"af","beoefen","practice"
"af","beoefening","practice"
"af","beoog","plan"
"af","beoordeel","judge"
"af","beoordelaar","judge"
"af","beoordelaars","judges"
"af","beoordeling","assessment"
"af","beowulf","beowulf"
"af","bepaal","set"
"af","bepaald","particular"
"af","bepaling","rule"
"af","beperk","restrict"
"af","beperking","restriction"
"af","beplan","plan"
"af","beplanning","planning"
"af","beproef","test"
"af","beproewing","affliction"
"af","beraad","counsel"
"af","beraadslaag","confer"
"af","beraam","estimate"
"af","beraming","assessment"
"af","berber","berber"
"af","berea","prepare"
"af","berede","asserted"
"af","berei","prepare"
"af","bereid","prepared"
"af","bereiding","preparation"
"af","bereik","reach"
"af","bereiking","reach"
"af","bereken","calculate"
"af","berekening","calculation"
"af","berg","mountain"
"af","bergagtig","mountainous"
"af","bergen","bergen"
"af","berger","berger"
"af","berggebiede","mountain areas"
"af","berghelling","mountain slelling"
"af","berging","storage"
"af","bergklim","mountaineering"
"af","bergklimmer","mountaineer"
"af","bergman","bergman"
"af","bergmassief","mount"
"af","bergpas","mount"
"af","bergpiek","mountain peak"
"af","bergreeks","mountain range"
"af","bergrivier","bergrivier"
"af","bergspits","mountainspeak"
"af","berig","report"
"af","beriggewing","report"
"af","berillium","beryllium"
"af","bering","bear"
"af","berlin","berlin"
"af","berliner","berliner"
"af","berlyn","berlin"
"af","bermuda","bermuda"
"af","bern","bern"
"af","bernard","bernard"
"af","bernardo","bernardo"
"af","bernardus","bernardus"
"af","bernhard","bernhard"
"af","bernoulli","bernoulli"
"af","bernstein","bernstein"
"af","beroemd","famous"
"af","beroemde","famous"
"af","beroemdheid","celebrity"
"af","beroep","profession"
"af","beroering","turmoil"
"af","berokken","make"
"af","beroof","rob"
"af","berry","berry"
"af","berta","berta"
"af","bertel","bertel"
"af","bertha","bertha"
"af","bertrand","berry"
"af","bertus","bertus"
"af","berug","notorious"
"af","berus","rest"
"af","berusting","peace"
"af","bes","best"
"af","beseer","hurt"
"af","beseerde","injured"
"af","besef","realize"
"af","besering","injury"
"af","beset","occupy"
"af","besetting","occupation"
"af","besiel","inspiration"
"af","besienswaardigheid","attitude"
"af","besig","busy"
"af","besighede","businesses"
"af","besigheid","affair"
"af","besigtig","view"
"af","besin","reflect"
"af","besing","sing"
"af","besinning","reflection"
"af","besitting","possession"
"af","beskaafde","civilized"
"af","beskadig","damage"
"af","beskadiging","damage"
"af","beskawing","civilization"
"af","beskerm","protect"
"af","beskermde","protected"
"af","beskermer","protector"
"af","beskermheer","patron"
"af","beskerming","protection"
"af","beskik","possess"
"af","beskikbaar","available"
"af","beskikbaarheid","availability"
"af","beskikking","disposal"
"af","beskilder","paint"
"af","beskore","protect"
"af","beskou","regard"
"af","beskouing","view"
"af","beskryf","describe"
"af","beskrywing","description"
"af","beskuldig","accuse"
"af","beskuldigde","accused"
"af","beskuldiging","accusation"
"af","beskut","sheltered"
"af","beskutting","screen"
"af","beslaan","covers"
"af","beslag","batter"
"af","besleg","settle"
"af","beslis","definitely"
"af","beslissing","decision"
"af","besluit","decision"
"af","besluitneming","decision-making"
"af","besmet","infect"
"af","besmetting","infection"
"af","besoedel","pollute"
"af","besoedeling","pollution"
"af","besoek","visit"
"af","besoeker","visitor"
"af","besonder","particular"
"af","besonderheid","detail"
"af","besorg","concerned"
"af","besorgdheid","concern"
"af","bespeel","play"
"af","bespiegel","speculated"
"af","bespoedig","speed up"
"af","bespreek","discuss"
"af","bespreking","discussion"
"af","besprekingsblad","discussion page"
"af","besproei","irrigate"
"af","besproeiing","irrigation"
"af","besproeiingskema","irrigation scheme"
"af","bessie","berry"
"af","best","best"
"af","bestaan","exist"
"af","bestaansboerdery","subsistence"
"af","bestaansjaar","anniversary"
"af","bestand","file"
"af","bestanddeel","ingredient"
"af","beste","best"
"af","besteding","spending"
"af","bestee","spend"
"af","bestek","scope"
"af","bestel","order"
"af","bestelling","order"
"af","bestem","destined"
"af","bestemming","destination"
"af","bestempel","stamp"
"af","bestendig","steady"
"af","bester","besner"
"af","bestook","broke"
"af","bestorm","storm"
"af","bestraling","radiation"
"af","bestry","combat"
"af","bestryding","fight"
"af","bestudeer","study"
"af","bestudering","studying"
"af","bestuif","pollinate"
"af","bestuiwing","pollination"
"af","bestuur","management"
"af","bestuurder","manager"
"af","bestuurslid","management"
"af","bestyg","ascend"
"af","beswaar","objection"
"af","beswyk","faint"
"af","bet","bet"
"af","beta","beta"
"af","betaal","pay"
"af","betaalmiddel","valuation"
"af","betaling","payment"
"af","beteken","mean"
"af","betekenis","meaning"
"af","betekenisvol","significant"
"af","bethal","bethal"
"af","bethesda","bethesda"
"af","bethlehem","bethlehem"
"af","bethulie","bethulie"
"af","betoger","demonstrator"
"af","betoging","demonstration"
"af","beton","concrete"
"af","betoog","riot"
"af","betoon","show"
"af","betrap","caught"
"af","betree","enter"
"af","betref","concern"
"af","betrek","involve"
"af","betrekking","connection"
"af","betreklik","relatively"
"af","betrokkenheid","involvement"
"af","betroubaar","reliable"
"af","betroubaarheid","reliability"
"af","betsjoeanaland","betzeanaland"
"af","better","better"
"af","betuig","express"
"af","between","take"
"af","betwis","dispute"
"af","betwyfel","doubt"
"af","betyds","on time"
"af","beukes","beukes"
"af","beurs","stock exchange"
"af","bevalling","childbirth"
"af","bevat","accommodate"
"af","beveel","order"
"af","beveg","fight"
"af","beveilig","secure"
"af","bevel","order"
"af","bevelvoerder","commander"
"af","beverly","beverly"
"af","bevestig","confirm"
"af","bevestiging","confirmation"
"af","bevestigingsrede","confirmation speech"
"af","bevind","find"
"af","bevinding","finding"
"af","bevoegdheid","competence"
"af","bevolk","populate"
"af","bevolking","population"
"af","bevolkingsdigtheid","population density"
"af","bevolkingsgroei","population growth"
"af","bevolkingsgroep","population group"
"af","bevoordeel","favor"
"af","bevoorreg","privileged"
"af","bevorder","promote"
"af","bevordering","promotion"
"af","bevraagteken","query"
"af","bevredig","satisfy"
"af","bevrediging","satisfaction"
"af","bevriend","befriend"
"af","bevrore","frozen"
"af","bevrug","fertilize"
"af","bevrugting","fertilization"
"af","bevry","free"
"af","bevryding","liberation"
"af","bewaak","guard"
"af","bewaar","preserve"
"af","bewaarder","keeper"
"af","bewaarheid","reality"
"af","bewapen","armed"
"af","bewapening","armament"
"af","bewaring","conservation"
"af","beweeg","move"
"af","beweegbaar","movable"
"af","beweeglik","mobile"
"af","beweeglikheid","mobility"
"af","beweer","allegiance"
"af","beweerde","alleged"
"af","beweging","movement"
"af","bewering","allegation"
"af","bewerk","cultivate"
"af","bewerking","operation"
"af","bewerkstellig","effect"
"af","bewillig","allocate"
"af","bewind","regime"
"af","bewindhebber","reign"
"af","bewonder","admire"
"af","bewonderaars","admirers"
"af","bewondering","admiration"
"af","bewoner","resident"
"af","bewoning","inhabitant"
"af","bewoon","inhabit"
"af","bewoonbaar","habitable"
"af","bewoording","wording"
"af","bewus","conscious"
"af","bewussyn","consciousness"
"af","bewustelik","consciously"
"af","bewustheid","awareness"
"af","bewys","proof"
"af","beyer","beyer"
"af","beywer","strive"
"af","bezuidenhoud","bezuidhoud"
"af","bezuidenhout","bezuidenhout"
"af","bezuidenhoutsvallei","bezuidenhoutvallei"
"af","beëindig","end"
"af","beëindiging","termination"
"af","beïndruk","impress"
"af","beïnvloed","influence"
"af","biarritz","biarritz"
"af","biblioteek","library"
"af","bied","offer"
"af","bien","bien"
"af","bier","beer"
"af","big","big"
"af","bij","at"
"af","billboard","billboard"
"af","billik","reasonable"
"af","bind","bond"
"af","binding","bond"
"af","binnedring","penetrates"
"af","binnegedring","penetrate"
"af","binnegeval","invade"
"af","binnekom","come in"
"af","binnekort","soon"
"af","binnelands","inland"
"af","binnenshuis","indoor"
"af","binnestad","inside"
"af","binneval","invade"
"af","biografie","biography"
"af","biologies","biological"
"af","bioloog","biologist"
"af","bioloë","biologists"
"af","bioskoop","bio scope"
"af","bird","bird"
"af","birmaans","burmese"
"af","birmingham","birmingham"
"af","bisantium","bisantium"
"af","bishop","bishop"
"af","biskop","bishop"
"af","bismarck","bismarck"
"af","bitterheid","bitterness"
"af","blaartjies","leaves"
"af","blaas","bladder"
"af","black","black"
"af","blad","page"
"af","blank","white"
"af","blankes","whites"
"af","bleek","pale"
"af","blignaut","blignaut"
"af","blik","can"
"af","blind","blind"
