uk_cue,uk_target,type,cue_type,target_type,uk_cosine,still_over_threshold
кориця,ваніль,related,word,word,0.586159021908424,FALSE
душ,ванна кімната,related,word,word,0,FALSE
навантаження,вантаж,related,word,word,0.525413461250102,FALSE
джип,вантажівка,related,word,word,0.487256886335785,FALSE
шерлок,ватсон,related,word,word,0.434646368498481,FALSE
самогубство,вбивство,related,word,word,0.567117677949045,FALSE
убивця,вбивця,related,word,word,0.837067965390118,FALSE
наємник,вбивця,related,word,word,0,FALSE
внизу,вгору,related,word,word,0.312660686188669,FALSE
відмінний,великий,related,word,word,0.430280127180003,FALSE
палець,великий палець,related,word,word,0,FALSE
великий,величезний,related,word,word,0.584421467651024,FALSE
марс,венера,related,word,word,0.214431771606676,FALSE
клапан,вентиляція,related,word,word,0.530116509853188,FALSE
швидка допомога,вертоліт,related,word,word,0,FALSE
нижній,верхній,related,word,word,0.697627848031602,FALSE
заручення,весілля,related,word,word,0.476904857016547,FALSE
ніч,вечір,related,word,word,0.334698635701102,FALSE
завантажувати,взуття,related,word,word,0.209290679825071,FALSE
обирати,вибирати,related,word,word,0.752389077366011,FALSE
кампанія,вибори,related,word,word,0.289303228833882,FALSE
кандидат,виборець,related,word,word,0.337980492165663,FALSE
землетрус,вибух,related,word,word,0.419821584979353,FALSE
лопатись,вибухнути,related,word,word,0,FALSE
бомба,вибуховий,related,word,word,0.418448130649717,FALSE
дослідження,вивчення,related,word,word,0.563741340772942,FALSE
викрадати,вигнати,related,word,word,0.509018871602349,FALSE
завиток,виграти,related,word,word,0.168548534834445,FALSE
усунути,видалити,related,word,word,0.458475171771184,FALSE
жити,вижити,related,word,word,0.540764227260979,FALSE
концепція,визначення,related,word,word,0.261363394135107,FALSE
студент,викладач,related,word,word,0.507207462558751,FALSE
перешкода,виклик,related,word,word,0.243142728176334,FALSE
висячий,виконання,related,word,word,0.102876341186726,FALSE
застосовувати,використання,related,word,word,0.298893569886391,FALSE
викрадач,викуп,related,word,word,0.405789205619985,FALSE
ложка,вилка,related,word,word,0.313767733611254,FALSE
хапати,виловити,related,word,word,0.479718694135245,FALSE
чемпіон,винищувач,related,word,word,0.23714768715776,FALSE
невинний,винним,related,word,word,0.42292632085444,FALSE
прощати,виправдання,related,word,word,0.297770879281478,FALSE
забруднення,випромінювання,related,word,word,0.469933919823324,FALSE
диплом,випускник,related,word,word,0.35987151577615,FALSE
створювати,виробляти,related,word,word,0.349700198311699,FALSE
завод,виробництво,related,word,word,0.352902698594056,FALSE
описувати,висловлювати,related,word,word,0.510343641365207,FALSE
низький,високий,related,word,word,0.614889435386929,FALSE
величність,високість,related,word,word,0.597868817010333,FALSE
вага,висота,related,word,word,0.431951645610577,FALSE
галерея,виставка,related,word,word,0.527137268200182,FALSE
відходи,витрачати,related,word,word,0.21594414094261,FALSE
двері,вихід,related,word,word,0.230025612180182,FALSE
понеділок,вівторок,related,word,word,0.626776698703865,FALSE
прибуття,від'їзд,related,word,word,0,FALSE
дна,відбиток пальця,related,word,word,0,FALSE
вірність,відданість,related,word,word,0.670296685290429,FALSE
двійник,відеоролик,related,word,word,0.374028112081513,FALSE
залишати,відмовлятися,related,word,word,0.509472007894921,FALSE
реагувати,відповідати,related,word,word,0.396695295838519,FALSE
присутність,відсутність,related,word,word,0.709801016810935,FALSE
враження,відчуття,related,word,word,0.47262950072767,FALSE
прокляття,відьма,related,word,word,0.387477705042217,FALSE
цивільний,військовий,related,word,word,0.463399650479155,FALSE
снід,віл,related,word,word,0.276415522018317,FALSE
вільно,вільний,related,word,word,0.555883149236701,FALSE
надія,віра,related,word,word,0.516302806408032,FALSE
довіра,вірити,related,word,word,0.295180376766577,FALSE
лояльний,вірний,related,word,word,0.466902895530537,FALSE
білок,вітамін,related,word,word,0.388754967221121,FALSE
якор,вітрило,related,word,word,0,FALSE
точка,вказувати,related,word,word,0.130600045577471,FALSE
юрисдикція,влада,related,word,word,0.399961875652679,FALSE
майно,власник,related,word,word,0.192915883034734,FALSE
ведмідь,вовк,related,word,word,0.491514427062957,FALSE
пасажирський,водій,related,word,word,0.290055161947826,FALSE
вугілля,водневий,related,word,word,0.239753494605043,FALSE
солдат,воїн,related,word,word,0.27332823316204,FALSE
портал,ворота,related,word,word,0.233218419895964,FALSE
практика,вправа,related,word,word,0.435128613686256,FALSE
лестити,вражати,related,word,word,0.347822932039106,FALSE
сенсаційний,вражаючий,related,word,word,0.407895613058583,FALSE
назовні,всередині,related,word,word,0.466736793642587,FALSE
бігти,втеча,related,word,word,0.274996600819753,FALSE
біженець,втікач,related,word,word,0.413403951446452,FALSE
проспект,вулиця,related,word,word,0.550985246808276,FALSE
око,вухо,related,word,word,0.415776262362003,FALSE
геніальний,вчений,related,word,word,0.38253279140824,FALSE
сьогодні,вчора,related,word,word,0.3856430317015,FALSE
затока,гавань,related,word,word,0.433949930002207,FALSE
стаття,газета,related,word,word,0.367614808524544,FALSE
всесвіт,галактика,related,word,word,0.354231580640058,FALSE
ілюзія,галюкування,related,word,word,0,FALSE
кишеня,гаманець,related,word,word,0.240881603763804,FALSE
бутерброд,гамбургер,related,word,word,0.542409476406313,FALSE
семінар,гараж,related,word,word,0.223869976852759,FALSE
баланс,гармонія,related,word,word,0.296395774622541,FALSE
привабливий,гарний,related,word,word,0.553098673065344,FALSE
лесбійський,гей,related,word,word,0.445052539315404,FALSE
кокаїн,героїн,related,word,word,0.453412796307392,FALSE
заслуговувати,гідний,related,word,word,0.370441504570221,FALSE
гордість,гідність,related,word,word,0.619983807805123,FALSE
піаніно,гітара,related,word,word,0.473691053713742,FALSE
національний,глобальний,related,word,word,0.513204313021881,FALSE
сліпий,глухий,related,word,word,0.414988486956236,FALSE
оголений,голий,related,word,word,0.472163860400066,FALSE
втомлений,голодний,related,word,word,0.475868882627897,FALSE
більшість,голосувати,related,word,word,0.320442114241544,FALSE
марафон,гонка,related,word,word,0.320722047806023,FALSE
пагорб,гора,related,word,word,0.386866805914171,FALSE
мавпа,горила,related,word,word,0.325593532902972,FALSE
віскі,горілка,related,word,word,0.43268924143833,FALSE
грати,гра,related,word,word,0.327677389802221,FALSE
красти,грабувати,related,word,word,0.485266851455175,FALSE
тренер,гравець,related,word,word,0.400901219806265,FALSE
кілограм,гран,related,word,word,0.313082036468096,FALSE
барон,графиня,related,word,word,0.435750104110897,FALSE
римський,грецький,related,word,word,0.57103738311369,FALSE
блискавка,грім,related,word,word,0.496997693109989,FALSE
готівка,гроші,related,word,word,0.360382181650061,FALSE
листопад,грудень,related,word,word,0.694229800415228,FALSE
шлунок,груди,related,word,word,0.407955851276323,FALSE
банда,група,related,word,word,0.34744826181198,FALSE
оркестр,група,related,word,word,0.206328580703569,FALSE
пропозиція,давати,related,word,word,0.178434166942558,FALSE
близько,далеко,related,word,word,0.270038813380983,FALSE
комплімент,дар,related,word,word,0.337311061957561,FALSE
вікно,двері,related,word,word,0.502011456778288,FALSE
танк,двигун,related,word,word,0.294527969111488,FALSE
свобода,демократія,related,word,word,0.510931180901031,FALSE
протест,демонстрація,related,word,word,0.304558825672512,FALSE
стрес,депресія,related,word,word,0.474348619756793,FALSE
кущ,дерева,related,word,word,0.372428008794455,FALSE
федеральний,держава,related,word,word,0.257616718575241,FALSE
деінде,десь,related,word,word,0.26200486385372,FALSE
століття,десятиліття,related,word,word,0.510504932263987,FALSE
агент,детектив,related,word,word,0.376584174456379,FALSE
мужність,детермінація,related,word,word,0.212902191377179,FALSE
дорогий,дешевий,related,word,word,0.586197601127693,FALSE
ромео,джульєтта,related,word,word,0.449733796742614,FALSE
відбиток,дзеркало,related,word,word,0.374590637637481,FALSE
подивитися,дивитися,related,word,word,0.834485449781838,FALSE
незвичайний,дивний,related,word,word,0.561113790932587,FALSE
вражаючий,дивовижний,related,word,word,0.549336429987475,FALSE
порох,динаміт,related,word,word,0.380883001260929,FALSE
виробник,директор,related,word,word,0.300517969333942,FALSE
маля,дитина,related,word,word,0.371364099062539,FALSE
молодь,дитинство,related,word,word,0.216995702792893,FALSE
ангел,диявол,related,word,word,0.466466656448591,FALSE
хлопчики,дівчата,related,word,word,0.438011467081923,FALSE
активний,діяльність,related,word,word,0.317754766619916,FALSE
вершина,дно,related,word,word,0.118387849243964,FALSE
здравствуйте,до побачення,related,word,word,0,FALSE
волонтер,добровільно,related,word,word,0.306035817809503,FALSE
короткий,довго,related,word,word,0.308875516485921,FALSE
розмір,довжина,related,word,word,0.44426038828274,FALSE
повага,довіра,related,word,word,0.4985784011724,FALSE
більше,додатковий,related,word,word,0.239414193599948,FALSE
дозволяти,дозволяє,related,word,word,0.725123438742002,FALSE
докази,доказ,related,word,word,0.724038015490933,FALSE
хірург,доктор,related,word,word,0.47811946980651,FALSE
управляти,документ,related,word,word,0.144461283182082,FALSE
фунт,долар,related,word,word,0.45396312398066,FALSE
пустеля,долина,related,word,word,0.407745107963742,FALSE
фатум,доля,related,word,word,0.256902728374005,FALSE
довідка,допомагати,related,word,word,0.239136952159494,FALSE
підтримка,допомога,related,word,word,0.405447009274553,FALSE
маршрут,доріжка,related,word,word,0.245813765013247,FALSE
ідеальний,досконалий,related,word,word,0.496932726828988,FALSE
аналітик,дослідник,related,word,word,0.457576151897182,FALSE
досить,достатньо,related,word,word,0.464141385568903,FALSE
управляти,досягати успіху,related,word,word,0,FALSE
прибуток,дохід,related,word,word,0.552109674421176,FALSE
пінг,дрібний,related,word,word,0.269328378775784,FALSE
кабель,дріт,related,word,word,0.451293312638418,FALSE
колега,друг,related,word,word,0.502601056859815,FALSE
відносини,дружба,related,word,word,0.468498572923804,FALSE
чоловік,дружина,related,word,word,0.353162168513617,FALSE
ввічливий,дружній,related,word,word,0.428197249078488,FALSE
надзвичайно,дуже,related,word,word,0.540739555528852,FALSE
розглядати,думати,related,word,word,0.434335022718538,FALSE
божевілля,дурість,related,word,word,0.389104825037565,FALSE
наївний,дурний,related,word,word,0.614798316729151,FALSE
душа,дух,related,word,word,0.36705109153241,FALSE
упертий,егоїстичний,related,word,word,0.496965032320706,FALSE
модний,елегантний,related,word,word,0.504007289014088,FALSE
струм,електрика,related,word,word,0.374484737266215,FALSE
магнітний,електричний,related,word,word,0.551221466658756,FALSE
фактор,елемент,related,word,word,0.412036328896695,FALSE
психічний,емоційний,related,word,word,0.600782727988542,FALSE
потужність,енергія,related,word,word,0.421059480750791,FALSE
чума,епідемія,related,word,word,0.559042919463195,FALSE
серія,епізод,related,word,word,0.232879058112869,FALSE
вплив,ефект,related,word,word,0.282768729782259,FALSE
корисний,ефективний,related,word,word,0.470410840954754,FALSE
жалкий,жалюгідний,related,word,word,0.513439815042046,FALSE
трюк,жарт,related,word,word,0.39565605724683,FALSE
страшний,жахливий,related,word,word,0.609982212055225,FALSE
художник,живопис,related,word,word,0.470791996637101,FALSE
вдова,жінка,related,word,word,0.357754960266067,FALSE
чоловічий,жіночий,related,word,word,0.675804578633907,FALSE
вересень,жовтень,related,word,word,0.741949713483928,FALSE
червоний,жовтий,related,word,word,0.603204271472618,FALSE
міцний,жорсткий,related,word,word,0.488171909545599,FALSE
брутальний,жорстокий,related,word,word,0.495590600613675,FALSE
зло,жорстокість,related,word,word,0.307406779232326,FALSE
проковтнути,жувати,related,word,word,0.541291968528223,FALSE
плейбой,журнал,related,word,word,0.266404784300529,FALSE
репортер,журналіст,related,word,word,0.49486551778766,FALSE
дотепний,забавний,related,word,word,0.56532313806841,FALSE
заборонений,забороняти,related,word,word,0.555625521036315,FALSE
природно,загалом,related,word,word,0.181127905770497,FALSE
назва,заголовок,related,word,word,0.123716906346372,FALSE
відновлювати,загоюватися,related,word,word,0,FALSE
нормально,зазвичай,related,word,word,0.205826640804436,FALSE
кінець,закінчити,related,word,word,0.105549165209644,FALSE
незаконний,законний,related,word,word,0.789165802410205,FALSE
відкриття,закриття,related,word,word,0.6314677648105,FALSE
перебування,залишати,related,word,word,0.261704576730768,FALSE
уважність,залучати,related,word,word,0.259021932353156,FALSE
замінити,замінник,related,word,word,0.380896534224881,FALSE
палац,замку,related,word,word,0.425035685470285,FALSE
ключ,замок,related,word,word,0.299559899631088,FALSE
розтопити,заморожувати,related,word,word,0.515976503630834,FALSE
забути,запам'ятати,related,word,word,0,FALSE
смак,запах,related,word,word,0.549675827245585,FALSE
рекорд,записування,related,word,word,0.240810116365463,FALSE
попит,запит,related,word,word,0.357432890770949,FALSE
запитання,запитувати,related,word,word,0.430797068547205,FALSE
незнання,зарозумілість,related,word,word,0.383036752683425,FALSE
пенсія,зарплата,related,word,word,0.483668157733674,FALSE
дозвіл,затвердження,related,word,word,0.233973757158828,FALSE
грип,захворювання,related,word,word,0.482910652304576,FALSE
боронити,захищати,related,word,word,0.448623610242628,FALSE
південний,західний,related,word,word,0.522584141908347,FALSE
замкнений,зачинено,related,word,word,0.290406599301901,FALSE
коментар,заява,related,word,word,0.230023233387069,FALSE
колекціонувати,збирати,related,word,word,0.53016154686323,FALSE
пістолет,зброю,related,word,word,0.478222734440522,FALSE
арсенал,зброя,related,word,word,0.272061039745967,FALSE
гордий,збуджений,related,word,word,0.176605177303273,FALSE
стандартний,звичайний,related,word,word,0.481745812468754,FALSE
відставка,звільнення,related,word,word,0.333453515549716,FALSE
шум,звук,related,word,word,0.432545688155867,FALSE
потенціал,здатність,related,word,word,0.39977489998605,FALSE
фронт,ззаду,related,word,word,0.161042963177626,FALSE
літній,зима,related,word,word,0.274736444667197,FALSE
визнавати,зізнатися,related,word,word,0.282963886346901,FALSE
знаменитість,зірка,related,word,word,0.402805883035722,FALSE
постріл,зйомка,related,word,word,0.220620971484406,FALSE
ревнивий,злий,related,word,word,0.557245480501602,FALSE
жертва,зловмисник,related,word,word,0.276535476274274,FALSE
гріх,злочинність,related,word,word,0.287112465158088,FALSE
містити,зміст,related,word,word,0.295783278245217,FALSE
черв'як,змія,related,word,word,0,FALSE
визнавати,знав,related,word,word,0.36054252365016,FALSE
форма,знак,related,word,word,0.18661445687474,FALSE
популярний,знаменитий,related,word,word,0.438358608706363,FALSE
зараз,знання,related,word,word,0.213668348053761,FALSE
досвід,знання,related,word,word,0.387530958296494,FALSE
пошук,знаходження,related,word,word,0.387201888574417,FALSE
смерть,зникнення,related,word,word,0.32275613206294,FALSE
внутрішній,зовнішній,related,word,word,0.668685912788976,FALSE
площа,зона,related,word,word,0.316347751248947,FALSE
капсула,зонд,related,word,word,0.468615095366,FALSE
шпигун,зрадник,related,word,word,0.398918316585607,FALSE
нарешті,зрештою,related,word,word,0.479312594372577,FALSE
усвідомлювати,зрозуміти,related,word,word,0.520517023156246,FALSE
цвях,зубний,related,word,word,0.246050980304902,FALSE
конференція,зустріч,related,word,word,0.423360803896131,FALSE
дивитися,зустрічатися,related,word,word,0.44935680111623,FALSE
лялька,іграшка,related,word,word,0.518674509742566,FALSE
дурень,ідіот,related,word,word,0.516362200030242,FALSE
продукти,їжа,related,word,word,0.334284634827807,FALSE
водити,їздити,related,word,word,0.618369429471085,FALSE
імперський,імператор,related,word,word,0.475216042679494,FALSE
династія,імперія,related,word,word,0.445105968511463,FALSE
доза,ін'єкція,related,word,word,0,FALSE
банкір,інвестор,related,word,word,0.466784932253229,FALSE
фінансування,інвестувати,related,word,word,0.357894764870557,FALSE
людина,індивідуальний,related,word,word,0.253705631575413,FALSE
курятина,індичка,related,word,word,0.533448073898524,FALSE
обстеження,інспекція,related,word,word,0.248109986622093,FALSE
знаряддя,інструмент,related,word,word,0.302507687369133,FALSE
особистий,інтимний,related,word,word,0.337982461399073,FALSE
інстинкт,інтуїція,related,word,word,0.418945554418986,FALSE
вірус,інфекція,related,word,word,0.427879553757567,FALSE
джерело,інформатор,related,word,word,0.265842120951505,FALSE
дані,інформація,related,word,word,0.303207696634499,FALSE
аналогічний,інший,related,word,word,0.364011057512609,FALSE
іронія,іронічний,related,word,word,0.554086413176368,FALSE
годувати,їсти,related,word,word,0.532221659550679,FALSE
вірогідність,ймовірно,related,word,word,0.345572965028792,FALSE
вводити,йти,related,word,word,0.342241776594841,FALSE
чашка,кава,related,word,word,0.250301624615531,FALSE
рок,камінь,related,word,word,0.203054927211256,FALSE
шолом,капелюх,related,word,word,0.457748036351022,FALSE
анархія,капіталізм,related,word,word,0.514589130988033,FALSE
командувач,капітан,related,word,word,0.371060645742637,FALSE
церква,каплиця,related,word,word,0.436513038731977,FALSE
єпископ,кардинал,related,word,word,0.420474045319778,FALSE
компас,карта,related,word,word,0.271846297168206,FALSE
мафія,картель,related,word,word,0.366475946666736,FALSE
мучити,катування,related,word,word,0.40269059466915,FALSE
таблиця,кафедра,related,word,word,0.257418374540309,FALSE
гусак,качка,related,word,word,0.486733384050837,FALSE
половина,квартал,related,word,word,0.113373511707636,FALSE
будинок,квартира,related,word,word,0.266193782218332,FALSE
рослина,квітка,related,word,word,0.525314233464339,FALSE
пікнік,кемпінг,related,word,word,0.515913024239479,FALSE
підлога,килимок,related,word,word,0.348254271644303,FALSE
повітря,кисень,related,word,word,0.440973487718156,FALSE
осел,кінь,related,word,word,0.369475840020324,FALSE
собака,кішка,related,word,word,0.520662043117013,FALSE
типовий,класичний,related,word,word,0.490246291438529,FALSE
хворий,клієнт,related,word,word,0.21936567593871,FALSE
лікарня,клініка,related,word,word,0.629178006821501,FALSE
присягати,клятва,related,word,word,0.48370251635,FALSE
біблія,книга,related,word,word,0.368004231627699,FALSE
принцеса,князь,related,word,word,0.369061328547354,FALSE
родео,ковбойський,related,word,word,0.267253694412613,FALSE
падіння,ковток,related,word,word,0.19167223844502,FALSE
ніколи,коли-небудь,related,word,word,0,FALSE
плече,коліна,related,word,word,0.417513436795185,FALSE
ліга,команда,related,word,word,0.39098775121837,FALSE
павук,комаха,related,word,word,0.496112791051161,FALSE
драма,комедія,related,word,word,0.629869430815726,FALSE
інспектор,комісар,related,word,word,0.576140175219162,FALSE
комісія,комітет,related,word,word,0.474755791658173,FALSE
програмне забезпечення,комп'ютер,related,word,word,0,FALSE
расист,комуніст,related,word,word,0.440004774819091,FALSE
закон,конституція,related,word,word,0.46655350634926,FALSE
консультація,консультувати,related,word,word,0.602289311413224,FALSE
приватний,конфіденційність,related,word,word,0.220696699146287,FALSE
зосереджувати,концентрат,related,word,word,0.189690465414256,FALSE
турист,концерт,related,word,word,0.173065606090039,FALSE
ром,коньяк,related,word,word,0.340791171288391,FALSE
оригінальний,копіювати,related,word,word,0.349565485511438,FALSE
королівський,королівство,related,word,word,0.442636068861488,FALSE
королева,короля,related,word,word,0.596230654966804,FALSE
компанія,корпорація,related,word,word,0.634129891955549,FALSE
господиня,коханець,related,word,word,0.390269950583281,FALSE
алмаз,коштовність,related,word,word,0.308372416124767,FALSE
пов'язувати,краватка,related,word,word,0,FALSE
чарівність,краса,related,word,word,0.469127250580396,FALSE
борг,кредит,related,word,word,0.401154332672141,FALSE
ситуація,криза,related,word,word,0.481456931693236,FALSE
злодій,кримінальний,related,word,word,0.44954943076257,FALSE
окуляри,кришка,related,word,word,0.44732168135113,FALSE
лисиця,кролик,related,word,word,0.478306566583329,FALSE
відносний,кузен,related,word,word,0.187925159333493,FALSE
калібр,куля,related,word,word,0.343034806843818,FALSE
сорочка,куртка,related,word,word,0.563497892934922,FALSE
дракон,лев,related,word,word,0.462930760241154,FALSE
міф,легенда,related,word,word,0.313130781687498,FALSE
неможливий,легкий,related,word,word,0.365032261037317,FALSE
темрява,легкий,related,word,word,0.223123581460192,FALSE
лорд,леді,related,word,word,0.306423506398347,FALSE
сержант,лейтенант,related,word,word,0.60268258243821,FALSE
семінар,лекція,related,word,word,0.419959803024337,FALSE
смоктати,лизати,related,word,word,0.618504431782013,FALSE
червень,липень,related,word,word,0.734865307063114,FALSE
кашель,лихоманка,related,word,word,0.419750711754814,FALSE
консервативний,ліберальний,related,word,word,0.586511284853311,FALSE
правий,ліворуч,related,word,word,0.375346055582854,FALSE
член,лідер,related,word,word,0.357537693320738,FALSE
диван,ліжка,related,word,word,0.251640676387938,FALSE
алкоголь,ліки,related,word,word,0.390510553881287,FALSE
терапія,лікування,related,word,word,0.434196026460268,FALSE
таксі,лімузин,related,word,word,0.390913882897986,FALSE
мін,лін,related,word,word,0.24992368765133,FALSE
джунглі,ліс,related,word,word,0.423375668705959,FALSE
земля,літати,related,word,word,0.14018514972316,FALSE
мистецтво,література,related,word,word,0.457080477941481,FALSE
тунець,лобстер,related,word,word,0.362410484840793,FALSE
ненависть,любов,related,word,word,0.547249256255261,FALSE
населення,люди,related,word,word,0.184631930765919,FALSE
людина,людський,related,word,word,0.313429518696899,FALSE
гнів,лють,related,word,word,0.368114015991851,FALSE
налякати,лякати,related,word,word,0.861722699486219,FALSE
нервовий,м'яз,related,word,word,0,FALSE
свинина,м'ясо,related,word,word,0,FALSE
може бути,мабуть,related,word,word,0,FALSE
крамниця,магазин,related,word,word,0.427368467093064,FALSE
кетчуп,майонез,related,word,word,0.699509028236883,FALSE
мінімальний,максимальний,related,word,word,0.68688921674145,FALSE
мало,малий,related,word,word,0.291835610103,FALSE
фарбувати,малювати,related,word,word,0.467972923194105,FALSE
тато,мама,related,word,word,0.48369450700725,FALSE
контроль,маніпулювати,related,word,word,0.336079478202364,FALSE
реклама,маркетинг,related,word,word,0.444109202347205,FALSE
йога,масаж,related,word,word,0.305132288643801,FALSE
вугілля,масло,related,word,word,0.41677785219015,FALSE
мед,масло,related,word,word,0.423089534528078,FALSE
фізика,математика,related,word,word,0.723339593472836,FALSE
піратський,матрос,related,word,word,0.289220438202376,FALSE
турнір,матч,related,word,word,0.527092981667626,FALSE
робот,машина,related,word,word,0.279095367136373,FALSE
транспортний засіб,машина,related,word,word,0,FALSE
трофей,медаль,related,word,word,0.325331497779282,FALSE
артефакт,медальйон,related,word,word,0.377646683311905,FALSE
шериф,мера,related,word,word,0.296572230250295,FALSE
живий,мертвий,related,word,word,0.521981601412542,FALSE
залізо,металевий,related,word,word,0.39284887923268,FALSE
кілометр,метр,related,word,word,0.624863337965404,FALSE
технічний,механічний,related,word,word,0.653641869002636,FALSE
солодкий,милий,related,word,word,0.468243420279524,FALSE
прощення,милосердя,related,word,word,0.361404880577079,FALSE
майбутнє,минуле,related,word,word,0.527984599370414,FALSE
чистий,мити,related,word,word,0.29650350511919,FALSE
телескоп,мікроскоп,related,word,word,0.504579061661581,FALSE
камеру,мікрофон,related,word,word,0.376923071457895,FALSE
мільйон,мільярд,related,word,word,0.595320415954873,FALSE
посольство,міністерство,related,word,word,0.480023286304695,FALSE
посла,міністр,related,word,word,0.311402250046133,FALSE
плюс,мінус,related,word,word,0.441623845939867,FALSE
завдання,місія,related,word,word,0.254177208857059,FALSE
капітал,місто,related,word,word,0.196450864691244,FALSE
регіональний,місцевий,related,word,word,0.380539990583585,FALSE
коробка,мішок,related,word,word,0.394717346620872,FALSE
мовчазний,мовчання,related,word,word,0.455989268603206,FALSE
шанс,можливість,related,word,word,0.342545890471547,FALSE
сухий,мокрий,related,word,word,0.47035933994305,FALSE
старий,молодий,related,word,word,0.387470250391607,FALSE
старший,молодший,related,word,word,0.647513244835038,FALSE
палиця,молоток,related,word,word,0.428609109551664,FALSE
сиріт,монастир,related,word,word,0.238358835614584,FALSE
храм,монастир,related,word,word,0.421233017240672,FALSE
екран,монітор,related,word,word,0.354733948058321,FALSE
оргазм,монтаж,related,word,word,0.231246556437092,FALSE
аспірин,морфін,related,word,word,0.504160795466034,FALSE
готель,мотель,related,word,word,0.733038565135347,FALSE
страшний,моторошний,related,word,word,0.617448272204601,FALSE
ланцюг,мотузка,related,word,word,0.378003438655877,FALSE
кошмар,мрія,related,word,word,0.314296456922577,FALSE
бібліотека,музей,related,word,word,0.373325936066222,FALSE
джаз,музика,related,word,word,0.351682641834462,FALSE
