word_id,word_german,word_english,pos,semantic_category,valence_M,valence_SE,valence_SD,valence_N,arousal_M,arousal_SE,arousal_SD,arousal_N,potency_M,potency_SE,potency_SD,potency_N,authority_M,authority_SE,authority_SD,authority_N,community_M,community_SE,community_SD,community_N,Cluster,freq_LEIPZIG,freq_SUBTLEX,freq_CELEX,orth_N_CELEX,orth_N_SUM_CELEX,FHN_CELEX,freq_DLEX_abs,freq_DLEX_norm,orth_N_DLEX,orth_N_SUM_DLEX,FHN_DLEX,freq_Zipf,syllables,letters
11,Affäre,affair,noun,abstract,3.907,0.292,1.913,43,7.488,0.171,1.121,43,5.744,0.303,1.989,43,4.870,0.229,1.100,23,4.261,0.423,2.027,23,6,25.958,16.420,13.500,0,0.000,0,2.838,0.750,3,0.477,0,3.828,3,6
12,aggressiv,aggressive,adjective,characterization,2.750,0.192,1.214,40,7.875,0.165,1.042,40,7.179,0.259,1.620,39,7.174,0.272,1.302,23,3.565,0.338,1.619,23,2,9.000,6.540,36.667,0,0.000,0,2.386,0.298,1,0.301,0,3.378,3,9
13,Akademiker,academic,noun,identity,6.243,0.217,1.321,37,4.892,0.253,1.542,37,5.703,0.232,1.412,37,6.357,0.440,1.646,14,3.429,0.510,1.910,14,5,5.521,0.830,5.167,0,0.000,0,2.471,0.384,1,0.000,0,3.463,5,10
14,Aktivist,activist,noun,identity,4.966,0.283,1.523,29,6.862,0.280,1.505,29,6.379,0.316,1.699,29,4.944,0.431,1.830,18,5.444,0.452,1.917,18,4,0.917,0.120,24.000,0,0.000,0,1.863,-0.224,2,0.301,0,2.859,3,8
15,allein,alone,adjective,characterization,3.367,0.305,1.671,30,5.300,0.350,1.915,30,4.667,0.471,2.578,30,4.870,0.246,1.180,23,2.565,0.371,1.779,23,8,233.417,305.520,303.000,0,0.000,0,4.498,2.411,7,3.499,0,5.488,2,6
16,alleinerziehend,to be a single parent,adjective,characterization,4.161,0.174,0.969,31,5.774,0.231,1.283,31,4.867,0.351,1.925,30,5.400,0.214,0.828,15,3.467,0.350,1.356,15,8,0.083,0.160,0.000,0,0.000,0,0.000,-2.088,0,0.000,0,1.291,5,15
17,Alleinsein,loneliness,noun,abstract,4.044,0.303,2.033,45,4.778,0.310,2.077,45,5.000,0.329,2.205,45,5.235,0.338,1.393,17,3.000,0.624,2.574,17,7,0.417,0.710,1.333,0,0.000,0,2.318,0.231,1,0.000,0,3.310,3,10
18,alleinstehend,single,adjective,characterization,4.688,0.252,1.424,32,4.906,0.251,1.422,32,4.281,0.302,1.708,32,5.333,0.243,1.029,18,3.444,0.422,1.790,18,7,0.167,0.240,3.333,0,0.000,0,1.342,-0.745,1,0.000,0,2.352,4,13
19,Altar,altar,noun,setting,4.615,0.240,1.498,39,4.718,0.226,1.413,39,5.897,0.246,1.535,39,5.682,0.311,1.460,22,6.773,0.315,1.478,22,7,4.396,7.560,8.000,2,52.500,1,3.090,1.003,17,3.806,1,4.081,2,5
20,Altenpfleger,geriatric nurse (male),noun,identity,5.718,0.214,1.337,39,4.077,0.170,1.061,39,4.872,0.221,1.380,39,4.571,1.020,2.699,7,6.571,0.972,2.573,7,7,0.583,0.000,0.000,0,0.000,0,0.477,-1.610,0,0.000,0,1.592,4,12
21,amerikanisch,American,adjective,characterization,4.737,0.269,1.655,38,5.583,0.205,1.228,36,5.684,0.256,1.579,38,4.833,0.694,2.406,12,4.333,0.678,2.348,12,7,1.729,2.720,454.333,0,0.000,0,2.217,0.130,2,1.568,0,3.210,5,12
22,Amt,department,noun,setting,4.200,0.211,1.157,30,5.333,0.289,1.583,30,5.567,0.302,1.654,30,7.043,0.317,1.522,23,6.391,0.319,1.530,23,1,134.146,12.910,116.833,7,1089.833,2,3.832,1.744,38,4.659,1,4.822,1,3
23,Anarchist,anarchist,noun,identity,4.386,0.270,1.794,44,6.455,0.224,1.486,44,5.750,0.250,1.658,44,3.174,0.443,2.125,23,4.000,0.518,2.486,23,4,0.479,0.470,0.500,0,0.000,0,2.143,0.056,1,0.778,0,3.136,3,9
24,Anführer,leader,noun,identity,3.857,0.307,1.627,28,6.607,0.214,1.133,28,7.071,0.241,1.274,28,8.000,0.357,1.183,11,5.182,0.672,2.228,11,2,8.521,32.480,4.333,1,16.500,1,2.550,0.463,4,0.778,0,3.542,3,8
25,angeben,to boast,verb,behavior,3.378,0.206,1.255,37,6.162,0.176,1.068,37,4.297,0.312,1.898,37,6.174,0.249,1.193,23,3.000,0.251,1.206,23,8,4.708,4.610,33.500,4,112.833,1,3.022,0.934,13,3.333,1,4.012,3,7
26,Angeber,braggart,noun,identity,3.297,0.222,1.351,37,6.595,0.227,1.384,37,4.622,0.327,1.991,37,6.292,0.292,1.429,24,2.833,0.328,1.606,24,6,0.417,4.450,0.833,1,33.500,1,1.940,-0.148,6,1.519,0,2.935,3,7
27,angepasst,adjusted,adjective,characterization,4.828,0.268,1.441,29,3.621,0.260,1.399,29,3.655,0.239,1.289,29,5.727,0.343,1.609,22,6.318,0.413,1.937,22,7,5.458,10.390,0.000,0,0.000,0,1.531,-0.556,3,1.079,0,2.534,3,9
28,Angestellter,employer,noun,identity,4.968,0.199,1.110,31,4.633,0.227,1.245,30,4.333,0.216,1.184,30,5.071,0.385,1.439,14,5.286,0.450,1.684,14,7,4.250,5.470,0.000,0,0.000,0,2.574,0.487,5,3.398,1,3.565,4,12
29,ängstlich,cautious,adjective,characterization,3.444,0.223,1.340,36,6.500,0.263,1.577,36,4.111,0.375,2.252,36,5.478,0.280,1.344,23,3.826,0.306,1.466,23,8,3.646,7.720,13.167,0,0.000,0,3.184,1.097,2,1.763,0,4.175,2,9
30,angstvoll,scared,adjective,characterization,2.769,0.189,1.180,39,7.205,0.202,1.260,39,4.590,0.393,2.457,39,5.545,0.420,1.969,22,4.182,0.382,1.790,22,6,0.375,0.040,2.167,0,0.000,0,2.558,0.470,1,1.663,0,3.549,2,9
31,Animateur,holiday rep,noun,identity,4.545,0.326,1.872,33,5.727,0.247,1.420,33,4.250,0.229,1.295,32,4.733,0.358,1.387,15,5.667,0.645,2.498,15,7,0.500,0.120,0.000,0,0.000,0,0.845,-1.242,0,0.000,0,1.893,4,9
32,anleiten,to direct,verb,behavior,5.933,0.314,1.721,30,4.517,0.266,1.430,29,5.500,0.215,1.139,28,5.846,0.390,1.405,13,4.769,0.411,1.481,13,7,0.208,0.350,3.667,4,21.833,2,1.839,-0.249,9,2.875,1,2.835,3,8
33,anmeckern*,to slang sb.,verb,behavior,3.000,0.196,1.240,40,6.925,0.145,0.917,40,5.436,0.282,1.759,39,6.600,0.311,1.555,25,4.040,0.268,1.338,25,6,0.000,0.160,0.000,1,0.000,0,0.301,-1.786,1,0.000,0,1.467,3,9
34,anonym,anonymous,adjective,characterization,4.722,0.194,1.162,36,4.294,0.255,1.488,34,4.143,0.260,1.537,35,3.750,0.342,1.675,24,4.042,0.498,2.440,24,7,5.854,3.270,10.000,0,0.000,0,2.453,0.366,1,1.708,0,3.445,3,6
35,anordnen,to impose,verb,behavior,4.861,0.271,1.624,36,4.972,0.289,1.732,36,5.861,0.279,1.676,36,7.318,0.332,1.555,22,5.682,0.290,1.359,22,1,1.563,1.260,19.500,1,0.167,0,2.615,0.527,4,2.124,0,3.606,3,8
36,anpassen,to adapt,verb,behavior,4.432,0.270,1.642,37,4.833,0.224,1.342,36,4.333,0.211,1.265,36,4.500,0.441,2.249,26,6.923,0.359,1.831,26,7,6.313,5.790,27.000,3,7.000,0,2.787,0.700,8,2.587,0,3.778,3,8
37,anpumpen,to bum,verb,behavior,3.375,0.219,1.238,32,6.313,0.217,1.230,32,3.700,0.326,1.784,30,4.773,0.173,0.813,22,4.591,0.364,1.709,22,8,0.063,0.160,0.833,0,0.000,0,1.041,-1.046,2,0.778,0,2.069,3,8
38,Anschiss,dressing-down,noun,abstract,2.375,0.205,1.295,40,7.250,0.192,1.214,40,6.050,0.340,2.148,40,7.125,0.284,1.393,24,4.292,0.298,1.459,24,2,0.021,0.240,0.000,0,0.000,0,0.000,0.000,0,0.000,0,0.990,2,8
39,Ansehen,reputation,noun,abstract,6.381,0.327,1.499,21,4.190,0.255,1.167,21,6.500,0.235,1.051,20,6.609,0.151,0.722,23,4.739,0.446,2.137,23,5,16.563,0.000,0.000,2,65.500,2,3.314,1.226,8,3.412,1,4.304,3,7
40,Anstand,decency,noun,abstract,6.306,0.284,1.704,36,4.194,0.251,1.508,36,5.750,0.294,1.763,36,5.043,0.330,1.581,23,5.522,0.392,1.880,23,5,3.000,5.550,3.667,1,46.667,1,2.780,0.692,5,3.500,1,3.770,2,7
41,anständig,decent,adjective,characterization,6.762,0.226,1.462,42,3.293,0.245,1.569,41,5.317,0.255,1.635,41,4.708,0.304,1.488,24,5.417,0.425,2.083,24,3,2.292,11.810,12.167,3,1.500,0,2.925,0.838,8,2.127,0,3.916,3,9
42,anvertrauen,to confide,verb,behavior,6.724,0.192,1.032,29,3.862,0.257,1.382,29,6.138,0.292,1.575,29,3.267,0.330,1.280,15,5.267,0.759,2.939,15,3,1.667,5.430,16.667,0,0.000,0,2.568,0.481,5,0.954,0,3.559,4,11
43,anweisen,to order,verb,behavior,4.500,0.298,1.575,28,5.750,0.210,1.110,28,6.214,0.288,1.524,28,7.240,0.353,1.763,25,4.560,0.370,1.850,25,1,0.625,0.630,14.167,2,6.667,0,2.083,-0.005,6,2.297,1,3.076,3,8
44,Arbeit,work,noun,abstract,5.174,0.325,1.557,23,5.500,0.300,1.406,22,6.043,0.194,0.928,23,5.304,0.369,1.769,23,5.957,0.374,1.796,23,4,300.979,381.080,532.000,0,0.000,0,4.579,2.492,7,2.068,0,5.569,2,6
45,arbeitslos,unemployed,adjective,characterization,2.588,0.224,1.305,34,6.647,0.253,1.475,34,4.029,0.369,2.153,34,5.500,0.307,0.972,10,4.100,0.504,1.595,10,8,15.813,6.930,7.333,0,0.000,0,2.558,0.470,1,1.114,0,3.549,3,10
46,Arbeitsloser,unemployee,noun,identity,3.297,0.197,1.199,37,5.514,0.286,1.742,37,3.811,0.297,1.808,37,5.692,0.444,1.601,13,4.615,0.525,1.895,13,8,2.375,0.000,0.000,0,0.000,0,1.756,-0.332,3,2.968,1,2.754,4,12
47,Architekt,architect,noun,identity,5.806,0.268,1.493,31,5.000,0.254,1.390,30,5.241,0.214,1.154,29,5.105,0.285,1.243,19,4.105,0.425,1.853,19,7,18.938,2.560,28.500,0,0.000,0,2.922,0.834,5,1.041,0,3.912,3,9
48,Armee,army,noun,identity,2.946,0.298,1.810,37,6.946,0.268,1.632,37,7.459,0.262,1.592,37,7.737,0.523,2.281,19,7.053,0.480,2.094,19,2,68.729,67.520,67.500,0,0.000,0,3.917,1.829,14,3.680,0,4.907,2,5
49,Armut,poverty,noun,abstract,2.355,0.284,1.582,31,7.065,0.236,1.315,31,5.161,0.498,2.770,31,5.217,0.350,1.678,23,5.783,0.295,1.413,23,6,22.354,5.910,13.667,1,3.500,0,3.198,1.111,4,2.932,0,4.189,2,5
50,arrogant,arrogant,adjective,characterization,2.811,0.235,1.431,37,6.730,0.176,1.071,37,5.784,0.322,1.960,37,6.870,0.229,1.100,23,2.826,0.257,1.230,23,6,3.104,6.220,2.167,1,1.833,0,2.045,-0.042,2,0.699,0,3.039,3,8
51,Arroganz,arrogance,noun,abstract,2.818,0.280,1.610,33,6.909,0.232,1.331,33,5.656,0.383,2.164,32,6.800,0.208,1.041,25,2.640,0.190,0.952,25,6,5.146,2.870,1.833,1,2.167,1,2.307,0.220,2,0.699,0,3.300,3,8
52,asozial,antisocial,adjective,characterization,2.406,0.200,1.132,32,7.063,0.215,1.216,32,5.031,0.422,2.389,32,5.913,0.338,1.621,23,3.609,0.532,2.554,23,6,0.333,0.510,0.500,0,0.000,0,1.477,-0.610,2,1.000,0,2.481,4,7
53,assimiliert,assimilated,adjective,characterization,4.296,0.291,1.514,27,5.222,0.274,1.423,27,5.370,0.355,1.843,27,6.227,0.451,2.114,22,5.955,0.403,1.889,22,1,0.208,0.160,0.000,0,0.000,0,2.053,-0.034,1,0.301,0,3.047,4,11
54,Asyl,asylum,noun,abstract,4.406,0.383,2.168,32,5.094,0.352,1.990,32,4.258,0.371,2.065,31,5.130,0.446,2.138,23,6.304,0.374,1.795,23,7,10.104,3.540,3.333,0,0.000,0,2.549,0.461,7,1.477,0,3.540,2,4
55,Asylrecht,asylum law,noun,abstract,4.564,0.257,1.603,39,5.744,0.237,1.482,39,5.718,0.220,1.376,39,5.435,0.547,2.626,23,6.696,0.410,1.964,23,4,2.917,0.510,1.667,0,0.000,0,2.017,-0.070,0,0.000,0,3.011,3,9
56,Atheist,atheist,noun,identity,5.610,0.197,1.262,41,4.683,0.217,1.386,41,5.683,0.243,1.556,41,4.571,0.488,1.828,14,3.357,0.387,1.447,14,7,0.458,0.280,0.667,0,0.000,0,1.954,-0.133,3,0.602,0,2.949,3,7
57,aufhetzen,to agitate,verb,behavior,2.472,0.231,1.383,36,7.750,0.230,1.381,36,6.611,0.317,1.902,36,7.316,0.351,1.529,19,5.789,0.544,2.371,19,2,0.083,0.750,1.500,2,9.667,1,1.519,-0.569,3,2.431,1,2.522,3,9
58,aufmüpfig,impertinent,adjective,characterization,4.595,0.231,1.499,42,6.214,0.147,0.951,42,5.619,0.246,1.592,42,5.292,0.388,1.899,24,3.125,0.271,1.329,24,7,0.604,0.120,0.167,0,0.000,0,1.176,-0.911,2,0.602,0,2.194,3,9
59,aufopfern,to sacrifice,verb,behavior,4.313,0.322,1.822,32,6.344,0.260,1.473,32,5.813,0.374,2.117,32,4.625,0.416,2.039,24,5.708,0.523,2.562,24,4,0.063,0.430,1.333,0,0.000,0,1.544,-0.543,2,1.041,0,2.546,3,9
60,aufrichtig,honest,adjective,characterization,7.971,0.171,1.014,35,3.486,0.257,1.522,35,6.686,0.322,1.906,35,3.882,0.436,1.799,17,4.294,0.513,2.114,17,3,1.375,9.720,11.667,0,0.000,0,2.948,0.860,2,1.462,0,3.939,3,10
61,Aufseher,warden,noun,identity,3.200,0.209,1.324,40,6.025,0.249,1.577,40,6.525,0.232,1.467,40,7.684,0.412,1.797,19,4.737,0.634,2.766,19,2,1.979,5.200,1.167,1,12.667,1,2.695,0.607,3,2.993,1,3.686,3,8
62,Aufstand,rebllion,noun,abstract,4.371,0.272,1.610,35,7.471,0.208,1.212,34,7.400,0.193,1.143,35,5.435,0.411,1.973,23,7.261,0.328,1.573,23,1,9.708,8.230,14.500,1,6.500,0,3.046,0.959,2,2.777,0,4.037,2,8
63,ausbeuten,to exploit,verb,behavior,2.053,0.173,1.064,38,7.216,0.194,1.182,37,6.342,0.334,2.057,38,7.636,0.203,0.953,22,3.500,0.365,1.711,22,2,0.521,1.220,3.333,4,4.500,0,1.944,-0.143,6,2.090,0,2.940,3,9
64,Ausbilder,instructor,noun,identity,5.067,0.184,1.232,45,5.044,0.185,1.242,45,6.156,0.193,1.296,45,6.462,0.433,1.561,13,5.154,0.492,1.772,13,1,3.229,2.520,3.833,1,26.333,1,2.215,0.127,2,1.114,0,3.208,3,9
65,Ausflug,trip,noun,setting,6.861,0.208,1.246,36,4.806,0.316,1.895,36,5.194,0.163,0.980,36,4.083,0.358,1.240,12,7.583,0.313,1.084,12,3,11.229,12.990,9.833,1,0.667,0,2.763,0.676,3,2.520,0,3.754,2,7
66,ausgrenzen,to exclude,verb,behavior,2.514,0.206,1.222,35,7.088,0.176,1.026,34,6.371,0.315,1.864,35,7.250,0.392,1.357,12,5.250,0.760,2.633,12,2,0.417,0.160,0.000,0,0.000,0,1.079,-1.008,1,0.301,0,2.104,3,10
67,Aushilfskraft,temp,noun,identity,4.742,0.113,0.631,31,5.033,0.140,0.765,30,3.700,0.204,1.119,30,5.350,0.293,1.309,20,4.250,0.390,1.743,20,7,0.146,0.240,0.333,0,0.000,0,0.301,-1.786,0,0.000,0,1.467,3,13
68,auslachen,to laugh at,verb,behavior,2.471,0.261,1.522,34,7.118,0.234,1.365,34,5.853,0.410,2.389,34,6.455,0.269,1.262,22,4.818,0.440,2.062,22,6,0.083,2.760,2.333,2,26.667,1,2.107,0.020,3,3.005,1,3.101,3,9
69,ausländisch,foreign,adjective,characterization,5.500,0.279,1.478,28,5.464,0.209,1.105,28,4.893,0.238,1.257,28,5.412,0.364,1.502,17,5.235,0.504,2.078,17,7,0.146,0.200,101.500,0,0.000,0,1.531,-0.556,2,0.301,0,2.534,3,11
70,auszeichnen,to award,verb,behavior,6.256,0.208,1.364,43,5.780,0.267,1.710,41,6.209,0.175,1.146,43,4.833,0.477,1.169,6,4.167,0.749,1.835,6,5,2.479,0.430,25.000,1,4.833,0,2.507,0.419,3,2.641,1,3.498,3,11
71,autark,autarkic,adjective,characterization,6.156,0.250,1.417,32,5.097,0.272,1.513,31,6.563,0.210,1.190,32,4.364,0.345,1.620,22,3.318,0.448,2.102,22,5,0.438,0.080,1.000,0,0.000,0,1.778,-0.309,1,0.000,0,2.775,2,6
72,authentisch,authentic,adjective,characterization,6.917,0.216,1.296,36,4.028,0.260,1.558,36,6.361,0.215,1.291,36,4.500,0.408,1.633,16,3.313,0.373,1.493,16,5,3.646,2.910,4.000,0,0.000,0,2.217,0.130,2,1.041,0,3.210,3,11
73,autonom,autonomous,adjective,characterization,6.056,0.276,1.655,36,4.886,0.286,1.694,35,6.389,0.277,1.661,36,5.043,0.481,2.306,23,3.217,0.474,2.275,23,5,1.729,0.080,4.833,0,0.000,0,2.422,0.334,2,1.255,0,3.413,3,7
74,Autonomie,autonomy,noun,abstract,6.425,0.243,1.534,40,4.350,0.315,1.994,40,6.850,0.184,1.167,40,3.308,0.347,1.251,13,4.769,0.699,2.522,13,3,9.583,0.160,3.167,0,0.000,0,3.100,1.013,3,1.079,0,4.091,4,9
75,Autor,author,noun,identity,6.457,0.218,1.291,35,4.657,0.262,1.552,35,5.857,0.201,1.192,35,5.500,0.373,1.179,10,2.200,0.512,1.619,10,5,68.375,16.850,60.167,1,0.167,0,3.426,1.339,17,3.320,0,4.416,2,5
76,autoritär,authoritarian,adjective,characterization,3.241,0.256,1.380,29,6.414,0.353,1.900,29,7.069,0.285,1.534,29,7.611,0.506,2.146,18,4.167,0.473,2.007,18,2,1.667,0.120,6.833,1,32.000,1,2.107,0.020,2,0.954,0,3.101,4,9
77,Autorität,authority,noun,identity,4.136,0.251,1.665,44,6.068,0.217,1.437,44,7.523,0.174,1.151,44,7.643,0.387,1.447,14,4.214,0.515,1.929,14,1,11.792,8.190,32.000,1,6.833,0,3.509,1.422,2,0.954,0,4.500,4,9
78,Azubi,apprentice,noun,identity,5.171,0.166,0.985,35,5.171,0.176,1.043,35,4.029,0.199,1.175,35,5.300,0.539,1.703,10,5.900,0.547,1.729,10,7,0.875,0.160,0.000,0,0.000,0,0.477,-1.610,1,0.477,0,1.592,3,5
79,Babysitter,babysitter,noun,identity,5.541,0.253,1.538,37,4.595,0.337,2.047,37,4.622,0.224,1.361,37,5.125,0.256,1.025,16,3.875,0.221,0.885,16,7,0.771,9.330,0.000,0,0.000,0,1.114,-0.974,0,0.000,0,2.136,4,10
80,Bande,gang,noun,identity,4.639,0.317,1.900,36,5.778,0.326,1.958,36,6.333,0.232,1.394,36,4.526,0.393,1.712,19,6.842,0.392,1.708,19,4,10.771,17.440,5.667,4,5.500,0,3.304,1.217,37,4.044,1,4.295,2,5
81,Bankangestellter,bank employee,noun,identity,4.583,0.274,1.645,36,4.472,0.244,1.464,36,5.029,0.258,1.524,35,6.056,0.262,1.110,18,3.944,0.347,1.474,18,7,0.333,0.430,0.000,0,0.000,0,0.954,-1.133,1,1.544,1,1.990,5,16
82,bankrott,bankrupt,adjective,characterization,2.333,0.196,1.221,39,7.051,0.211,1.317,39,5.103,0.412,2.573,39,5.360,0.181,0.907,25,3.760,0.260,1.300,25,6,1.375,3.350,1.500,0,0.000,0,1.914,-0.174,1,2.356,1,2.909,2,8
83,Bar,bar,noun,setting,6.200,0.246,1.349,30,5.700,0.319,1.745,30,4.833,0.186,1.020,30,3.813,0.379,1.515,16,5.750,0.552,2.206,16,4,15.729,57.210,0.000,10,664.667,10,3.059,0.971,79,5.655,6,4.049,1,3
84,Barkeeper,bartender,noun,identity,5.821,0.272,1.442,28,5.429,0.306,1.620,28,5.036,0.265,1.401,28,4.700,0.335,1.059,10,4.200,0.533,1.687,10,7,1.083,4.690,0.167,0,0.000,0,1.663,-0.425,0,0.000,0,2.662,3,9
85,Bauer,farmer,noun,identity,5.676,0.182,1.107,37,4.378,0.252,1.534,37,5.243,0.237,1.442,37,4.533,0.435,1.685,15,5.733,0.452,1.751,15,7,22.229,74.880,153.167,8,362.167,0,3.527,1.440,39,4.133,1,4.518,2,5
86,beaufsichtigen,to watch,verb,behavior,4.550,0.189,1.197,40,5.125,0.224,1.418,40,5.600,0.242,1.533,40,7.100,0.355,1.586,20,4.650,0.412,1.843,20,1,0.646,1.220,1.000,0,0.000,0,2.049,-0.038,1,0.301,0,3.043,5,14
87,bedrohen,to threaten,verb,behavior,2.367,0.169,0.928,30,7.267,0.267,1.461,30,6.933,0.307,1.680,30,7.667,0.223,1.090,24,4.000,0.356,1.745,24,2,3.896,5.080,46.333,0,0.000,0,2.736,0.648,3,0.602,0,3.727,3,8
88,bedürftig,indigent,adjective,characterization,3.424,0.222,1.275,33,6.000,0.138,0.791,33,3.939,0.331,1.903,33,5.286,0.412,1.541,14,5.286,0.624,2.335,14,8,0.771,0.550,1.667,0,0.000,0,2.310,0.222,1,0.000,0,3.302,3,9
89,Befehl,order,noun,abstract,3.000,0.238,1.369,33,6.970,0.171,0.984,33,6.727,0.235,1.353,33,8.231,0.343,1.235,13,4.615,0.821,2.959,13,2,8.500,75.200,33.333,0,0.000,0,3.753,1.665,5,1.204,0,4.743,2,6
90,befehlen,to order,verb,behavior,3.085,0.187,1.282,47,6.574,0.184,1.264,47,6.766,0.205,1.402,47,8.120,0.353,1.764,25,5.080,0.490,2.448,25,2,0.771,0.000,23.667,3,3.500,0,2.662,0.574,6,3.194,2,3.653,3,8
91,Befehlshaber,commander,noun,identity,2.794,0.266,1.553,34,6.813,0.203,1.148,32,7.063,0.327,1.848,32,7.905,0.419,1.921,21,3.238,0.441,2.022,21,2,2.292,2.400,4.167,0,0.000,0,2.983,0.895,1,0.000,0,3.973,4,12
92,befolgen,to obey,verb,behavior,3.741,0.285,1.483,27,6.037,0.352,1.829,27,5.074,0.403,2.093,27,7.174,0.264,1.267,23,5.522,0.266,1.275,23,1,1.688,10.000,9.000,0,0.000,0,2.688,0.600,3,1.505,0,3.679,3,8
93,befördern,to transport,verb,behavior,6.107,0.195,1.031,28,5.593,0.228,1.185,27,5.750,0.250,1.323,28,6.708,0.285,1.398,24,4.417,0.345,1.692,24,5,6.083,4.090,21.000,0,0.000,0,2.751,0.664,4,3.080,1,3.742,3,9
94,Befreiung,liberation,noun,abstract,7.750,0.220,1.317,36,5.500,0.462,2.772,36,7.528,0.237,1.424,36,3.087,0.266,1.276,23,5.783,0.382,1.833,23,3,17.833,4.690,41.667,0,0.000,0,3.477,1.390,3,0.477,0,4.468,3,9
95,begabt,talented,adjective,characterization,6.854,0.190,1.216,41,4.950,0.282,1.782,40,6.341,0.260,1.667,41,5.125,0.407,1.628,16,2.625,0.352,1.408,16,5,1.542,4.170,8.167,0,0.000,0,2.683,0.596,3,2.736,1,3.674,2,6
96,Begleiter,companion,noun,identity,6.519,0.263,1.369,27,3.308,0.276,1.408,26,5.654,0.277,1.413,26,3.933,0.408,1.580,15,6.467,0.376,1.457,15,3,8.167,4.840,10.167,1,39.500,1,3.054,0.967,3,1.869,0,4.045,3,9
97,begrüßen,to greet,verb,behavior,7.031,0.213,1.204,32,4.375,0.257,1.454,32,5.344,0.153,0.865,32,4.933,0.345,1.335,15,6.067,0.473,1.831,15,3,0.063,15.710,103.000,1,0.500,0,3.280,1.193,4,1.653,0,4.271,3,8
98,behindern,to hinder,verb,behavior,3.343,0.228,1.349,35,6.257,0.214,1.268,35,5.086,0.305,1.805,35,6.700,0.423,1.337,10,3.200,0.533,1.687,10,6,6.188,2.870,13.000,0,0.000,0,2.633,0.546,2,2.954,1,3.625,3,9
99,behindert,disabled,adjective,characterization,3.628,0.185,1.215,43,5.349,0.182,1.193,43,4.233,0.295,1.938,43,5.789,0.355,1.548,19,4.053,0.527,2.297,19,8,11.125,8.310,0.000,1,13.000,1,2.936,0.849,4,3.087,0,3.927,3,9
