item,word_english,definition_phrase,aoa_M,RT_M,RT_SD,item_Z,,,,,,,
18,air,atmosphere,4.285714286,3553.142414,2227.612986,-0.127987246,,,,,,,
18,air,to broadcast,5.333333333,2964.193704,2302.218582,0.498162821,,,,,,,
19,alarm,a clock,3.821428571,3705.47,2809.04268,-0.64886845,,,,,,,
19,alarm,to startle,4.37037037,2956.196296,1380.898033,-0.172468578,,,,,,,
19,alarm,alert,3.615384615,3715.733462,2387.692312,-0.634123649,,,,,,,
20,album,record,4.862068966,3368.215862,2324.218916,0.111622514,,,,,,,
20,album,photo,4.035714286,2894.673571,1288.533145,-0.565333409,,,,,,,
21,alert,notify,4.642857143,3590.651786,2670.944195,-0.051166625,,,,,,,
21,alert,make aware,4.24137931,3614.851034,2755.50984,-0.283390794,,,,,,,
22,alley,bowling,3.785714286,3021.097857,2767.337539,-0.65715188,,,,,,,
22,alley,road,4.827586207,2904.518966,1992.885275,0.081392575,,,,,,,
23,allowance,weekly payment,4.103448276,4476.9,7886.973988,-0.428897496,,,,,,,
23,allowance,an amount of resources set aside,4.965517241,4268.117586,2869.763072,0.178939257,,,,,,,
24,altar,religious,4.642857143,3185.947857,1592.489028,-0.076537352,,,,,,,
24,alter,to change,5.034482759,3155.915517,3320.000013,0.13959635,,,,,,,
25,angle,geometry,5.392857143,4862.113929,9006.806821,0.497904069,,,,,,,
25,angle,perspective,5.642857143,2987.611071,1300.346386,0.622452507,,,,,,,
26,annual,yearly,5.035714286,2579.693571,1225.868799,0.132181112,,,,,,,
26,annual,yearbook,5.551724138,3769.007241,2292.005851,0.565560235,,,,,,,
27,ant,insect,2.714285714,2463.7375,1877.126269,-1.397829596,,,,,,,
28,appeal,like,4.965517241,3096.943103,2352.67563,0.174706369,,,,,,,
28,appeal,re-trial,5.862068966,2826.076207,1343.374917,0.921560258,,,,,,,
29,application,job,5.517241379,3913.218276,2731.426641,0.619528732,,,,,,,
29,application,type of software,5.62962963,3455.007037,2042.671696,0.687847502,,,,,,,
30,appointment,meeting,4.551724138,2941.965517,1785.410339,-0.038367547,,,,,,,
30,appointment,selection to polical office,5.862068966,3604.411034,1366.943177,0.909719222,,,,,,,
31,approach,method,5.428571429,3993.431786,2589.227499,0.46087575,,,,,,,
31,approach,to come closer,4.714285714,2916.430357,1966.21847,-0.081198142,,,,,,,
33,arch,a curving physical structure,4.172413793,3476.273103,2949.423914,-0.302316193,,,,,,,
33,arch,to form a curve,4.793103448,4676.84931,4590.331103,0.13941215,,,,,,,
32,argument,disagreement,4.310344828,3725.363103,2182.851658,-0.229772152,,,,,,,
32,argument,part of speech,4.75862069,3506.441034,2230.686781,0.10643121,,,,,,,
34,arm,limb,2.692307692,3324.301154,3003.808333,-1.298204605,,,,,,,
34,arm,a gun,5.517241379,2706.227931,1456.931475,0.569629537,,,,,,,
34,arm,the act of protecting with a gun,5.62962963,4116.801481,2475.506097,0.590177434,,,,,,,
35,arms,limbs,2.962962963,5316.688148,12674.64737,-1.201390417,,,,,,,
35,arms,guns,5.413793103,3156.318966,1687.584164,0.484054765,,,,,,,
36,article,news story,4.444444444,3074.978889,2282.467082,-0.125082361,,,,,,,
36,article,an item,4.928571429,5304.833929,6313.861177,0.177857654,,,,,,,
37,ash,burned material,4.555555556,3893.163214,2674.704651,-0.207510857,,,,,,,
37,ash,the act of getting rid of cigarette debre,6,4544.96069,2028.66949,1.065603519,,,,,,,
38,associate,colleague,5.793103448,3848.637586,2815.072377,0.896018343,,,,,,,
38,associate,to relate two or more things,4.931034483,4057.351034,2857.240529,0.213802131,,,,,,,
39,assume,to presume,5.407407407,4116.597407,2685.640095,0.495329042,,,,,,,
39,assume,to take on a position,5.535714286,4009.885,2522.229213,0.609694517,,,,,,,
40,ate,to have eaten,2.965517241,2749.453448,1399.960166,-1.118096378,,,,,,,
27,aunt,mother's sister,3.379310345,3254.547931,2290.116737,-0.953214199,,,,,,,
41,author,a writer,3.678571429,3203.937143,2646.706891,-0.712400749,,,,,,,
41,author,to write,3.75862069,2950.213103,1694.301069,-0.624066998,,,,,,,
42,baby,very young child,2.285714286,3224.9175,2444.808438,-1.659797724,,,,,,,
42,baby,to treat like a young child,3.655172414,3169.126207,1963.766711,-0.623898865,,,,,,,
43,bait,material used to lure fish or an animal,3.703703704,3704.676667,2270.723523,-0.55070137,,,,,,,
43,bait,to lure,4.928571429,3280.395,3468.093219,0.120970476,,,,,,,
44,balance,the act of creating equal parts or weights,4.344827586,4285.91069,2132.196076,-0.232798179,,,,,,,
44,balance,a tool for weight measurement,4.965517241,4548.893793,2656.672862,0.17760835,,,,,,,
45,ball,a round object used in games,2.035714286,4071.956429,3051.560829,-1.949018894,,,,,,,
45,ball,a formal dance,4.655172414,3433.256552,2122.361638,0.003023398,,,,,,,
46,band,a musical group,3.689655172,2843.811379,2301.098229,-0.639230565,,,,,,,
46,band,to join together,5.074074074,2672.487778,1671.955376,0.215309046,,,,,,,
47,bank,monetary institution,4.785714286,3463.642857,2451.206436,0.086604472,,,,,,,
47,bank,basketball shot that hits backboard,4.517241379,3702.784828,3361.540943,-0.138750386,,,,,,,
47,bank,to count on or rely upon,6.172413793,4123.167931,1862.160702,1.152141246,,,,,,,
46,banned,to be forbidden,5.275862069,4363.833793,3176.718588,0.40985611,,,,,,,
48,bar,a club or tavern,5.321428571,3754.641786,2559.375943,0.367843638,,,,,,,
48,bar,to ban from someplace,3.827586207,3474.292069,2961.257774,-0.480651734,,,,,,,
48,bar,pole,6.035714286,3673.491071,2014.568436,1.009647865,,,,,,,
49,bare,to have no clothes,3.827586207,3756.072759,2656.109968,-0.499927731,,,,,,,
49,bare,unfurnished,4.714285714,3330.094286,1885.318081,0.071589943,,,,,,,
50,bargain,a good deal,4.827586207,2765.802414,1717.883615,0.172119715,,,,,,,
50,bargain,the act of trying to get a good deal,5.206896552,3585.483793,2282.973897,0.352276008,,,,,,,
51,bark,the sound a dog makes,2.535714286,2740.451429,1142.995013,-1.555461353,,,,,,,
51,bark,the outer covering of a tree,3.535714286,4025.883929,3068.403441,-0.756448325,,,,,,,
52,base,where baseball runners are safe,3.482758621,3495.878966,2434.97394,-0.836727504,,,,,,,
52,base,bottom,4.107142857,2785.361786,2274.898471,-0.369359766,,,,,,,
52,base,opposite of acid,6.392857143,3692.9975,2326.182075,1.166323709,,,,,,,
52,bass,a fish,3.689655172,2170.963103,1042.911197,-0.725537305,,,,,,,
52,bass,low sound,5.310344828,2880.11,1318.657171,0.427926389,,,,,,,
53,bat,tool used to hit a ball,3.346153846,3887.98,2567.594967,-1.050315479,,,,,,,
53,bat,flying mammal,3.75,3571.227143,2864.863299,-0.719548523,,,,,,,
53,bat,the act of hitting,3.892857143,7565.169286,26096.71554,-0.544652643,,,,,,,
54,battery,energy cell,5.142857143,3254.543929,1605.644931,0.343609252,,,,,,,
54,battery,assault,6.142857143,2571.1025,1143.045582,0.942791113,,,,,,,
54,battery,similar items used together,6.192307692,4492.181154,2074.452296,0.987128463,,,,,,,
54,battery,a collection of artillery pieces,5.75,3161.583214,1330.042719,0.689559612,,,,,,,
45,bawl,cry,4.464285714,2966.766071,2051.66904,-0.194826923,,,,,,,
55,bay,body of water,4.620689655,3234.298621,2179.645911,-0.097305634,,,,,,,
55,bay,type of window,5.607142857,3019,1612.155901,0.781826265,,,,,,,
55,bay,reddish brown,6.413793103,3389.96,1347.738225,1.311346144,,,,,,,
55,bay,a main division,5.724137931,5165.757241,7761.367473,0.78598383,,,,,,,
55,bay,the position of being held back,5.857142857,4367.967143,2659.381356,0.792597317,,,,,,,
55,bay,an herb,6.172413793,2907.775862,1519.159083,1.035051429,,,,,,,
56,be,exist,4,3139.926207,1947.549972,-0.420652039,,,,,,,
57,beach,ocean shore,3.107142857,2940.078214,2022.80725,-1.1146814,,,,,,,
57,beach,to strand on the shore,4.75862069,5029.755862,2870.583936,0.164215158,,,,,,,
58,beam,light,4.481481481,2940.996667,1315.195641,-0.175655262,,,,,,,
58,beam,building support structure,5,4327.887586,2953.826665,0.251035908,,,,,,,
58,beam,to smile with joy,5.037037037,3836.074444,4098.804316,0.322667181,,,,,,,
49,bear,animal,2.551724138,2947.76069,2419.327886,-1.536408709,,,,,,,
49,bear,to put up with,5.214285714,3172.806071,2135.490782,0.264517023,,,,,,,
49,bear,to give birth,5.592592593,3454.445926,2069.651814,0.593763382,,,,,,,
49,bear,to carry or hold,4.965517241,3485.392069,2171.242913,0.250505097,,,,,,,
59,beat,hit,3.892857143,3112.591071,1168.579426,-0.57894461,,,,,,,
59,beat,to win against,3.740740741,3475.902222,1948.176976,-0.670201671,,,,,,,
59,beat,to mix or stir,4.586206897,3507.807931,1495.010872,-0.148543284,,,,,,,
60,bed,place to sleep,2.551724138,2649.566207,1303.689807,-1.478071855,,,,,,,
60,bed,like a flower bed,4.222222222,3362.363704,1078.949506,-0.347884215,,,,,,,
56,bee,pollen gathering insect,3.111111111,3404.346296,2562.135902,-1.068313637,,,,,,,
61,beef,cow meat,3.793103448,3403.503793,2564.631075,-0.597962478,,,,,,,
61,beef,to add strength...to beef up,5.517241379,3282.873793,1813.336916,0.593178269,,,,,,,
61,beef,complaint...what's your beef?,5.620689655,3568.468621,2308.394738,0.671314391,,,,,,,
59,beet,red vegetable,4.517241379,3155.253793,3056.9415,-0.065736992,,,,,,,
63,behind,in back of,4.857142857,4209.126786,2458.374527,0.182377956,,,,,,,
63,behind,the backside,4.285714286,4670.093571,6990.879911,-0.313228779,,,,,,,
62,being,the state of having existence,3.428571429,3052.6175,1531.432758,-0.959360498,,,,,,,
62,being,a living thing,3.034482759,3556.044138,1854.226024,-1.080881315,,,,,,,
64,belt,used to hold up pants,3.275862069,3199.762414,1886.033416,-0.945316291,,,,,,,
64,belt,car part,5,2793.573103,1164.005946,0.303504177,,,,,,,
64,belt,to sing loudly,5.448275862,2749.088966,1112.809971,0.567378468,,,,,,,
64,belt,to hit with a belt,4.724137931,3668.364138,2033.406585,-0.04398982,,,,,,,
64,belt,an agricultural area...the corn belt,5.965517241,4281.940345,3937.993893,0.880480953,,,,,,,
65,bench,a chair,3.185185185,2526.852593,1317.793286,-0.985847401,,,,,,,
65,bench,like to bench press,5.518518519,3744.2125,1708.751734,0.545098251,,,,,,,
65,bench,to take a player out of a game,4.740740741,3386.317037,2834.607166,0.107744309,,,,,,,
66,better,improvement,3.448275862,2818.486897,1552.256066,-0.854663154,,,,,,,
66,bettor,someone who bets,5.785714286,4220.496897,1673.624713,0.804675452,,,,,,,
67,bias,prejudice,6.071428571,2973.512414,3269.47291,0.996794201,,,,,,,
67,bias,cut on an angle,6.178571429,3406.622143,1863.476383,1.198040751,,,,,,,
68,bill,a note of money,4.482758621,3365.03931,1824.4292,-0.211880167,,,,,,,
68,bill,the charge for a service,4.827586207,3363.04069,1650.754662,0.148156167,,,,,,,
68,bill,the mouthpart of an animal...a duck bill,3.666666667,3858.984286,1572.106092,-0.684450285,,,,,,,
68,bill,a cap's visor,4.827586207,3618.204828,1877.097208,0.046308334,,,,,,,
68,bill,item of legislation,5.862068966,2643.165172,1112.820895,0.799990285,,,,,,,
69,bit,a tool part...a drill bit,5.357142857,3787.933214,3389.053125,0.421533742,,,,,,,
69,bit,the part of a bridle a horse will bite,5.448275862,3786.943103,2123.86702,0.657540341,,,,,,,
69,bit,past test of bite,3.413793103,7342.337241,5137.894335,-0.879147094,,,,,,,
69,bit,a unit of computer information,5.925925926,3325.742593,1123.225878,0.843226906,,,,,,,
69,bit,a small portion,4,3594.707931,1997.850607,-0.551874043,,,,,,,
70,bitter,sour taste,4.071428571,3584.657931,5517.582009,-0.53017793,,,,,,,
70,bitter,describes a mean or spiteful person,4.892857143,5572.954483,5231.550404,0.313854265,,,,,,,
71,blade,of grass,3.964285714,3032.3,2721.233676,-0.489519972,,,,,,,
71,blade,knife,4.172413793,3466.825862,2769.837614,-0.336519176,,,,,,,
72,blast,explosion,4.357142857,2656.246429,1651.26614,-0.292064358,,,,,,,
72,blast,a great time,4.428571429,2963.395517,1807.745174,-0.330254165,,,,,,,
73,blew,past tense of blow,3.862068966,4038.208966,1988.379659,-0.522790154,,,,,,,
74,block,a cube object,3.076923077,3356.441481,1591.439365,-0.96445328,,,,,,,
74,block,a city square,4.068965517,4641.356207,4813.282505,-0.326845206,,,,,,,
74,block,to prevent,4.103448276,3669.001379,2225.695249,-0.41954132,,,,,,,
74,block,a voting group,6.172413793,3875.906552,4071.938939,1.106909451,,,,,,,
75,blow,the movement of air,3.37037037,3091.091852,1222.039021,-0.866561081,,,,,,,
75,blow,a heavy hit,4.689655172,3054.238621,2144.374652,-0.010733952,,,,,,,
73,blue,the color,2,3026.666296,2632.378668,-1.802875681,,,,,,,
73,blue,to be sad,3.892857143,2429.768571,1031.1133,-0.457169622,,,,,,,
74,bluff,to mislead or lie,5.25,4168.886071,5117.440102,0.483533726,,,,,,,
74,bluff,similar to a cliff,5.407407407,3246.283704,1647.974317,0.474380301,,,,,,,
75,blunt,a dull edge,5,3738.758148,3275.110741,0.260254834,,,,,,,
75,blunt,painfully honest,5.592592593,3966.062963,4904.626451,0.699872601,,,,,,,
76,board,a flat piece of material,3.724137931,3633.061034,2084.369181,-0.591546813,,,,,,,
76,board,a governing body,5.807692308,3199.601154,1978.454013,0.836700431,,,,,,,
76,board,an examination...college boards,6.275862069,3618.927931,1761.174534,1.1332582,,,,,,,
76,board,provide food and lodging,5.642857143,3881.629286,1867.037677,0.646725548,,,,,,,
77,boarder,someone who rents a room,6.107142857,3668.046786,1816.934843,0.934766247,,,,,,,
78,body,the main part of an animal or plant,3.448275862,4996.616897,6263.120017,-0.821274587,,,,,,,
78,body,a mass of matter...a body of water,4.678571429,5008.7825,2915.969884,-0.036510988,,,,,,,
78,body,richness of flavor...as in coffee,6.32,4120.4768,2577.152192,1.165649188,,,,,,,
78,body,volume...her hair had a lot of body,6.25,4040.341071,1663.950308,1.060096683,,,,,,,
78,body,main part of an essay,5.384615385,3665.504074,2307.649302,0.40459123,,,,,,,
79,bold,quite brave,4.896551724,2922.645862,1337.413817,0.09692519,,,,,,,
80,bolder,more bold,4.814814815,3748.903333,3241.094226,0.128356843,,,,,,,
81,bolt,to run away quickly,4.423076923,3003.974074,1850.232737,-0.236317486,,,,,,,
81,bolt,lighting bolt,5.035714286,3242.557143,1578.90338,0.322917864,,,,,,,
81,bolt,nuts and bolts,3.413793103,3002.934483,2209.929529,-0.815857067,,,,,,,
82,bomb,an explosive device,4.444444444,2710.755185,2031.725348,-0.246395947,,,,,,,
82,bomb,to perform very poorly...to bomb a test,5.666666667,3921.887037,2060.23448,0.717894261,,,,,,,
83,bond,to join together,4.931034483,2458.517586,1149.54404,0.259722511,,,,,,,
83,bond,a deep friendship,4.928571429,2734.432143,1162.352945,0.204038327,,,,,,,
83,bond,jail bond,6.111111111,2743.069259,1554.361256,0.93114604,,,,,,,
83,bond,stocks and bonds,6.142857143,3193.529286,2519.483089,0.996668613,,,,,,,
84,book,to place in jail...book the criminal,5.896551724,3475.472069,1982.200426,0.800248088,,,,,,,
84,book,the type you read,2.689655172,3319.112069,2674.655912,-1.37695983,,,,,,,
84,book,to run very fast,5.586206897,3558.351034,1968.774091,0.746885874,,,,,,,
84,book,the act of taking bets,6.24137931,3278.586552,1387.885734,1.127321416,,,,,,,
85,boos,expressions of dislike,4.206896552,4043.583793,2020.308224,-0.346928526,,,,,,,
86,boot,a type of shoe,3,3398.72931,2043.003789,-1.271041576,,,,,,,
86,boot,to kick out,5.214285714,3870.463929,3977.830208,0.412663504,,,,,,,
86,boot,placed on a car,6.071428571,3759.3875,2327.308681,0.985111138,,,,,,,
85,booze,alcohol,6.071428571,2429.801379,1474.062945,0.974513446,,,,,,,
77,border,"the edge, at the boundary",4.357142857,4986.330714,3470.820848,-0.205436741,,,,,,,
76,bored,to be uninterested,3.666666667,3559.0925,3248.667164,-0.696386121,,,,,,,
87,boss,employer,4.428571429,3652.555714,3559.816045,-0.234032577,,,,,,,
87,boss,crime boss,5.642857143,2760.3575,1183.181693,0.660469977,,,,,,,
87,boss,to give orders,4.222222222,3171.584444,1964.128824,-0.378124655,,,,,,,
88,bouillon,soup,6.034482759,2788.743448,1313.392764,0.962684647,,,,,,,
80,boulder,large rock,3.857142857,3139.558214,1612.460679,-0.589405199,,,,,,,
89,bound,to tie together,4.448275862,3489.937586,3044.600568,-0.097218925,,,,,,,
89,bound,to leap,5.206896552,3020.668966,1713.192673,0.271193457,,,,,,,
89,bound,likely to happen...its bound to happen,5.206896552,3840.542069,2132.757559,0.268651495,,,,,,,
90,bow,arrow,3.814814815,3005.062143,2506.365219,-0.705421994,,,,,,,
90,bow,tie,3.678571429,3964.885357,2493.200672,-0.743297589,,,,,,,
90,bow,to take a bow after a performance,3.714285714,4137.253929,1809.552994,-0.643511331,,,,,,,
91,bowl,a dish,3.035714286,3285.091071,2176.340305,-1.116705179,,,,,,,
91,bowl,to strike down pins in a bowling alley,3.931034483,4499.955172,3200.692221,-0.480324945,,,,,,,
79,bowled,past of bowl,5.068965517,4989.063448,2533.331688,0.152108158,,,,,,,
92,box,a cube-like container,3.071428571,3982.156786,3976.007063,-1.014885946,,,,,,,
92,box,to hit in boxing,4.892857143,5311.153214,5113.960975,0.113914607,,,,,,,
93,boxer,a person who boxes,4.25,2659.508571,1405.797396,-0.304804854,,,,,,,
93,boxer,a type of dog,4.827586207,2663.617931,918.8103269,0.118998673,,,,,,,
94,braces,supports walking,4.862068966,3289.170345,1445.435119,0.077766374,,,,,,,
94,braces,on teeth,4.321428571,3143.684643,1828.08537,-0.20377537,,,,,,,
95,brakes,used to stop movement,3.785714286,3653.713214,2618.129945,-0.652522136,,,,,,,
96,branch,tree limb,2.928571429,4281.683214,3227.880211,-1.1746044,,,,,,,
96,branch,division of company or government,5.517241379,3099.378621,1891.221402,0.676867695,,,,,,,
97,brand,product of a particular company,4.592592593,3861.060714,2548.663223,-0.211836326,,,,,,,
97,brand,burn mark put on livestock,5.214285714,4286.7825,1782.805737,0.49182925,,,,,,,
97,bread,loaf of bread,3.24137931,3194.457931,1956.996127,-1.048898988,,,,,,,
97,bread,name for money,5.928571429,4912.1525,9679.646377,0.861132487,,,,,,,
98,break,to separate into pieces,3.814814815,4004.004074,2309.422112,-0.691345488,,,,,,,
98,break,a rest time from work,4.24137931,4141.842069,2484.291959,-0.318340236,,,,,,,
95,breaks,into pieces,3.068965517,3391.844138,2003.422846,-1.085448262,,,,,,,
95,breaks,to make inoperable,4.793103448,5724.822414,4689.338412,0.022913788,,,,,,,
96,breed,type of dog,4.793103448,2547.027241,1229.321256,0.059234409,,,,,,,
96,breed,to reproduce,5.344827586,3268.073793,3912.423308,0.490261814,,,,,,,
97,brick,construction material,3.379310345,3315.094138,1936.332267,-0.793740973,,,,,,,
97,brick,a missed basketball shot,5.785714286,3347.2325,1489.549917,0.791977682,,,,,,,
98,bridge,a structure connecting two bodies of land,3.379310345,3750.961379,2710.354338,-0.932721908,,,,,,,
98,bridge,a type of card game,5.464285714,4292.687143,4501.767614,0.565596444,,,,,,,
99,brief,summary,5.137931034,3755.947931,2871.101602,0.272106732,,,,,,,
99,brief,short,4.517241379,2652.187586,1209.584747,-0.245008377,,,,,,,
99,brief,underwear,4.423076923,4651.37037,5664.754092,-0.078019011,,,,,,,
100,bright,lots of light,2.931034483,3118.150345,1597.935783,-1.115017767,,,,,,,
100,bright,smart,4.428571429,2701.473214,1347.286795,-0.179343635,,,,,,,
101,brilliant,very intelligent,4.153846154,4116.166154,5220.503429,-0.253664812,,,,,,,
101,brilliant,sparkling light,5.517241379,4195.115172,2878.539853,0.552620186,,,,,,,
102,broad,wide,4.275862069,3023.647586,1167.424002,-0.177450139,,,,,,,
102,broad,derogatory term for woman,6.103448276,3589.913448,1496.26761,1.046301771,,,,,,,
103,broke,past tense of break,3.793103448,4080.128276,2144.920247,-0.633182968,,,,,,,
103,broke,to be out of money,4.740740741,3349.141852,2117.994972,0.041845133,,,,,,,
104,brush,a device with bristles,3.448275862,3122.631379,1213.228557,-0.761364259,,,,,,,
104,brush,to sweep away,3.862068966,4417.575862,4112.623912,-0.496615842,,,,,,,
104,brush,the act of using a brush...to brush the teeth,2.75,4342.445,2458.959041,-1.411327605,,,,,,,
105,buck,male deer,4.407407407,2712.933571,1248.219537,-0.258461678,,,,,,,
105,buck,a dollar,3.793103448,2882.931034,2079.859246,-0.583259196,,,,,,,
106,bud,flower,3.964285714,4368.423448,7677.108703,-0.44462493,,,,,,,
106,bud,friend,4.24137931,2697.008966,1245.386108,-0.386786736,,,,,,,
106,bud,marijuana,6.655172414,2264.298966,1122.006918,1.477551532,,,,,,,
107,bug,an insect,2.464285714,2167.252857,900.1709107,-1.550127934,,,,,,,
107,bug,to bother,3.535714286,3148.335714,2597.28658,-0.657976755,,,,,,,
108,build,to make,3.107142857,3847.173214,3584.318076,-1.159160034,,,,,,,
108,build,bodytype...he has a strong build,5.464285714,3310.831429,1324.735634,0.496779742,,,,,,,
109,bulb,lightbulb,3.407407407,2303.159286,1111.864482,-0.917069692,,,,,,,
109,bulb,flower bulb,4.448275862,3350.411724,3250.470481,-0.204947013,,,,,,,
88,bullion,gold or silver,6.206896552,2685.872759,1263.111512,1.137123027,,,,,,,
110,bully,to be mean to someone,3.862068966,2883.566897,1553.115424,-0.652733914,,,,,,,
110,bully,a mean person,3.413793103,2691.479655,1163.556313,-0.800019516,,,,,,,
111,bum,hobo,5.035714286,2289.086786,874.4396979,0.393425221,,,,,,,
111,bum,rear end,4.178571429,3073.168929,1294.250001,-0.30064308,,,,,,,
111,bum,to ask for something...can I bum a quarter?,5.964285714,3698.361071,1564.004952,0.916069339,,,,,,,
112,bumble,a type of bee,3.206896552,3184.595172,1488.720801,-1.064386443,,,,,,,
112,bumble,to stumble around,5.740740741,2942.120741,1872.141203,0.692829299,,,,,,,
113,bump,speed bump,4.344827586,3081.473103,2412.197615,-0.283215439,,,,,,,
113,bump,to run into,3.607142857,5254.916786,9031.879517,-0.645052985,,,,,,,
113,bun,piece of bread,3.482758621,3151.501724,1888.658301,-0.799314324,,,,,,,
113,bun,hair bun,4.517241379,3315.034138,1755.7244,-0.112182768,,,,,,,
114,bunch,a group of something,3.892857143,2488.258929,1523.243981,-0.632437304,,,,,,,
114,bunch,to push or bunch something together,4.551724138,5501.934828,4467.986826,-0.080867879,,,,,,,
115,bureau,an organization...the FBI,5.857142857,2805.972143,1549.896543,0.830789654,,,,,,,
115,bureau,a dresser or chest,6.068965517,2592.419655,1214.181873,0.941845026,,,,,,,
116,burn,to be scorched by fire,3.821428571,3735.789286,1730.359494,-0.690621145,,,,,,,
116,burn,to cause embarassment...she will burn him,5.75862069,4360.761379,2394.828754,0.894778939,,,,,,,
117,bus,a vehicle for mass transportation,3.107142857,3747.681429,2355.7068,-1.178669369,,,,,,,
117,bus,to clear dishes off of a table,5.75,3260.255714,1714.73572,0.736345999,,,,,,,
118,business,a corporation,4.571428571,3002.621786,1994.692212,-0.102578152,,,,,,,
118,business,one's affairs...mind your own business,4.517241379,3395.908621,2029.399224,-0.111118618,,,,,,,
119,but,on the other hand,3.535714286,3995.853929,2341.846855,-0.823434931,,,,,,,
119,butt,cigarette,5.517241379,2524.778276,1438.175185,0.611422683,,,,,,,
119,butt,rear end,2.928571429,3092.086071,1709.039384,-1.324194723,,,,,,,
119,butt,end of a rifle,5.827586207,2923.338966,1846.383643,0.727842678,,,,,,,
120,butterfly,a flying insect,2.413793103,2327.21,789.0256713,-1.612417155,,,,,,,
120,butterfly,to cut in half,6.37037037,3876.78,1550.486104,1.148339896,,,,,,,
121,buy,to purchase,3.642857143,3554.833929,2489.630119,-0.791572329,,,,,,,
122,buzz,to feel drunk or high,6.517241379,2486.396207,1057.130241,1.301515178,,,,,,,
122,buzz,a great deal of publicity or fanfare,2.586206897,3608.938621,2120.10535,-1.526933675,,,,,,,
122,buzz,the sound a bee makes,5.586206897,3118.55,1282.767857,0.561187053,,,,,,,
121,bye,goodbye,2.357142857,2606.002143,1432.32219,-1.510802902,,,,,,,
123,cab,taxi,3.793103448,3139.939655,2954.404181,-0.599234547,,,,,,,
123,cab,front part of a truck,5.25,4345.828214,2100.543859,0.450421922,,,,,,,
124,cabin,log home,4.111111111,3552.84963,5762.90859,-0.457623855,,,,,,,
124,cabin,inside compartment of a ship,4.821428571,3202.653214,1750.825771,0.103704468,,,,,,,
125,cabinet,storage area,3.655172414,3231.922069,1713.369345,-0.723313414,,,,,,,
