word_english,word_english_past,regularity,consistency,imagine_M,RT_M,z_score,proportion_correct,proportion_error
contradict,contradicted,regular,1,3.428571429,752.61,0.02,0.933333333,0
contravene,contravened,regular,1,2.92,899.22,0.73,0.933333333,0
contrive,contrived,regular,0.63,2.952380952,719.59,-0.17,1,0
convalesce,convalesced,regular,0.89,3.576923077,972.91,1.01,0.793103448,0
converge,converged,regular,1,4.458333333,738.66,0,0.966666667,0
convert,converted,regular,0.86,3.357142857,760.76,0.12,1,0
convict,convicted,regular,1,3.769230769,640.96,-0.49,0.931034483,0
convulse,convulsed,regular,1,5.62962963,763.48,0.08,0.966666667,0
cook,cooked,regular,1,5.580645161,651.1,-0.48,1,0
cooperate,cooperated,regular,1,4.129032258,742.66,-0.02,0.966666667,0
cope,coped,regular,1,3.387096774,643.1,-0.5,0.966666667,0
copy,copied,regular,1,4.6875,624.17,-0.59,1,0
corn,corned,regular,1,4.148148148,760.48,-0.04,0.862068966,0
correct,corrected,regular,1,4.178571429,674.45,-0.36,1,0
correspond,corresponded,regular,1,4.290322581,733.81,0.01,0.896551724,0
corrode,corroded,regular,1,4.96875,726.14,-0.05,0.965517241,0
corrupt,corrupted,regular,1,3.212121212,674.34,-0.37,1,0
cost,costed/cost,other,1,2.5625,789.02,0.29,0.693181818,0.181818182
cough,coughed,regular,1,5.387096774,630.9,-0.68,1,0
count,counted,regular,1,5.833333333,660.03,-0.5,0.966666667,0
counter,countered,regular,1,4.096774194,758.9,0.01,1,0
counterattack,counterattacked,regular,1,3.846153846,834.08,0.57,0.9,0
counterfeit,counterfeited,regular,1,4.242424242,719.54,-0.15,0.896551724,0
couple,coupled,regular,1,4.129032258,657.34,-0.47,1,0
court,courted,regular,1,4.225806452,801.53,0.26,1,0
covet,coveted,regular,1,3.1875,768.59,0.15,0.931034483,0
cower,cowered,regular,1,4.7,712.86,-0.16,1,0
crackle,crackled,regular,1,4.62962963,760.32,0.04,0.933333333,0
craft,crafted,regular,1,4.848484848,680.07,-0.3,1,0
cramp,cramped,regular,1,4.433333333,649.28,-0.52,1,0
crank,cranked,regular,1,4.709677419,725.11,-0.13,0.933333333,0
crash,crashed,regular,1,6.266666667,639.86,-0.52,0.965517241,0
crave,craved,regular,1,4.066666667,643.59,-0.45,0.965517241,0
craze,crazed,regular,1,2.484848485,707.48,-0.23,0.931034483,0
cream,creamed,regular,0.93,4.939393939,746.25,0.04,0.896551724,0
create,created,regular,1,3.545454545,676.88,-0.34,0.931034483,0
creep,crept,irregular,0.43,4.484848485,796.53,0.19,0.681818182,0.181818182
cremate,cremated,regular,1,4.884615385,777.54,0.16,0.933333333,0
cringe,cringed,regular,1,4.454545455,707.3,-0.19,1,0
cripple,crippled,regular,1,4.466666667,656.93,-0.43,0.965517241,0
criticize,criticized,regular,1,3.636363636,724.52,-0.13,0.931034483,0
crochet,crocheted,regular,0.9,5.833333333,881.75,0.71,0.733333333,0
croon,crooned,regular,1,5.230769231,789.81,0.07,0.931034483,0
cross,crossed,regular,1,4.484848485,705.5,-0.24,1,0
crow,crowed,regular,0.38,4.538461538,876.43,0.58,0.966666667,0
crown,crowned,regular,1,5.967741935,711.79,-0.2,0.965517241,0
cruise,cruised,regular,0.78,5.454545455,685,-0.3,0.931034483,0
crumple,crumpled,regular,1,6.2,655.17,-0.44,0.966666667,0
crusade,crusaded,regular,1,3.848484848,793.44,0.3,0.931034483,0
cry,cried,regular,0.83,5.35483871,827.31,0.29,0.931034483,0
cube,cubed,regular,1,4.322580645,739.48,-0.13,0.862068966,0
cuff,cuffed,regular,1,4.677419355,648.03,-0.53,1,0
cultivate,cultivated,regular,1,4.333333333,697.63,-0.29,0.931034483,0
curb,curbed,regular,1,2.730769231,639.93,-0.56,1,0
cure,cured,regular,1,3.607142857,641.11,-0.5,0.965517241,0
curry,curried,regular,1,3.862068966,756.08,-0.04,0.928571429,0
curtail,curtailed,regular,1,3,703.11,-0.26,0.965517241,0
curtsy,curtsied,regular,1,5,858.05,0.58,0.724137931,0
cushion,cushioned,regular,1,4.75,699.79,-0.42,1,0
cut,cut,irregular,0.25,5.870967742,838.03,0.39,0.818181818,0.147727273
cycle,cycled,regular,1,5.35483871,680.07,-0.35,0.966666667,0
dabble,dabbled,regular,1,3.393939394,658.83,-0.4,1,0
dam,dammed,regular,1,3.8,747.81,-0.02,0.931034483,0
damn,damned,regular,1,2.903225806,718.04,-0.07,0.966666667,0
dampen,dampened,regular,1,4.793103448,700.41,-0.26,1,0
dandle,dandled,regular,1,3.739130435,731.07,-0.15,0.931034483,0
dapple,dappled,regular,1,3.192307692,669.72,-0.34,0.966666667,0
darken,darkened,regular,1,6.066666667,639.38,-0.54,1,0
dart,darted,regular,1,4.833333333,679.5,-0.41,0.933333333,0
date,dated,regular,1,4.7,657.28,-0.52,0.966666667,0
daunt,daunted,regular,1,3.541666667,717.48,-0.15,1,0
dawn,dawned,regular,1,4.222222222,678.39,-0.34,0.965517241,0
daze,dazed,regular,1,4.3,664.68,-0.44,0.933333333,0
deaden,deadened,regular,1,3.03125,865.64,0.65,0.965517241,0
deal,dealt,irregular,0.23,4.346153846,753.21,0.07,0.831460674,0.08988764
debark,debarked,regular,1,4.041666667,714.24,-0.08,0.862068966,0
debate,debated,regular,1,5.5,661.59,-0.43,0.966666667,0
debilitate,debilitated,regular,1,4.034482759,911.17,0.88,0.931034483,0
decamp,decamped,regular,1,3.8,769.36,0.16,0.965517241,0
decapitate,decapitated,regular,1,5.903225806,824,0.41,0.862068966,0
deceive,deceived,regular,0.67,2.90625,707.04,-0.19,1,0
decentralize,decentralized,regular,1,2.846153846,811.3,0.4,0.9,0
decimate,decimated,regular,1,4.555555556,782.04,0.24,0.866666667,0
deck,decked,regular,1,5.066666667,705.54,-0.18,0.965517241,0
declare,declared,regular,0.86,4.192307692,703.18,-0.15,0.965517241,0
decode,decoded,regular,1,4.178571429,718.59,-0.13,0.966666667,0
decompose,decomposed,regular,1,4,764.21,0.08,1,0
decrease,decreased,regular,1,3.642857143,736.63,-0.11,0.827586207,0
decry,decried,regular,0.84,3.416666667,855.42,0.51,0.9,0
deduce,deduced,regular,1,2.133333333,728.15,-0.11,0.896551724,0
deem,deemed,regular,0.93,3.041666667,755.04,-0.09,0.866666667,0
deface,defaced,regular,1,4.892857143,720.58,-0.1,0.862068966,0
default,defaulted,regular,1,3.806451613,710.11,-0.21,1,0
defecate,defecated,regular,1,4.8,836.78,0.53,0.8,0
defend,defended,regular,0.58,5,710.93,-0.15,0.9,0
defile,defiled,regular,1,3.766666667,726.14,-0.07,1,0
deflate,deflated,regular,1,4.633333333,773.29,0.24,0.965517241,0
deform,deformed,regular,1,3.966666667,676.13,-0.29,0.8,0
defrost,defrosted,regular,0.75,4.551724138,767.52,0.12,1,0
defy,defied,regular,0.84,4.068965517,694.04,-0.37,0.965517241,0
degrade,degraded,regular,1,3.709677419,732.82,-0.05,0.933333333,0
dehydrate,dehydrated,regular,1,4.290322581,709.21,-0.16,0.965517241,0
delay,delayed,regular,0.9,3.807692308,653.93,-0.53,1,0
delete,deleted,regular,0.73,4.727272727,741.14,-0.02,0.966666667,0
delight,delighted,regular,0.75,3.433333333,725.93,-0.16,0.931034483,0
deliver,delivered,regular,1,5.433333333,609.97,-0.74,1,0
delve,delved,regular,0.67,2.896551724,811.48,0.23,0.966666667,0
demean,demeaned,regular,0.89,3.75,759.41,0.16,0.75862069,0
demolish,demolished,regular,1,5.214285714,706.79,-0.26,0.965517241,0
demoralize,demoralized,regular,1,2.9,736.14,-0.02,0.966666667,0
demur,demured,regular,1,3.8,752.39,0.17,0.793103448,0
denote,denoted,regular,1,2.333333333,747.18,-0.1,0.965517241,0
dent,dented,regular,1,5.6875,716.45,-0.19,0.966666667,0
deny,denied,regular,0.84,4,682.22,-0.27,0.931034483,0
depend,depended,regular,0.58,3.806451613,686.26,-0.28,0.931034483,0
deplete,depleted,regular,0.73,3.407407407,732.04,0.02,0.896551724,0
deploy,deployed,regular,1,4.172413793,742.19,-0.12,0.965517241,0
deport,deported,regular,1,4.5,620.24,-0.67,0.966666667,0
deposit,deposited,regular,1,5.03030303,716.5,-0.15,1,0
deprecate,deprecated,regular,1,2.896551724,775.81,0.36,0.724137931,0
depress,depressed,regular,0.89,3.677419355,726.23,-0.27,1,0
derange,deranged,regular,1,2.454545455,700.67,-0.23,1,0
descend,descended,regular,0.58,4.4,688.34,-0.3,1,0
desecrate,desecrated,regular,1,3.964285714,824.78,0.35,0.862068966,0
deserve,deserved,regular,1,2.653846154,669.93,-0.34,0.966666667,0
design,designed,regular,0.9,4.333333333,665.62,-0.4,1,0
desire,desired,regular,1,3.033333333,752.37,0.02,1,0
desolate,desolated,regular,1,3.933333333,779.29,0.2,0.862068966,0
despise,despised,regular,0.75,3.580645161,738.39,-0.08,0.965517241,0
destine,destined,regular,1,3.068965517,719.52,-0.08,0.785714286,0
detach,detached,regular,0.88,4.03030303,742.26,-0.08,0.965517241,0
detain,detained,regular,1,4.366666667,716.9,-0.18,1,0
deter,deterred,regular,1,3.12,748.32,0.04,0.862068966,0
determine,determined,regular,1,2.551724138,667.38,-0.37,0.966666667,0
detonate,detonated,regular,1,5.4,865.7,0.51,0.896551724,0
devastate,devastated,regular,1,3.724137931,674.74,-0.37,0.931034483,0
deviate,deviated,regular,1,3.3,762,0.01,0.827586207,0
devour,devoured,regular,1,5.2,651.59,-0.49,1,0
dial,dialed,regular,1,5.785714286,646.12,-0.53,0.896551724,0
dictate,dictated,regular,1,4.642857143,759.85,-0.02,0.9,0
diet,dieted,regular,1,3.833333333,699.11,-0.17,0.965517241,0
differentiate,differentiated,regular,1,3.461538462,809.88,0.33,0.896551724,0
dig,dug,irregular,0.14,5.785714286,761.54,0.07,0.887640449,0.08988764
digest,digested,regular,1,4.161290323,643.31,-0.56,0.966666667,0
digress,digressed,regular,0.89,4,734.54,-0.05,0.896551724,0
dilute,diluted,regular,0.9,4.606060606,680.72,-0.37,0.862068966,0
diminish,diminished,regular,1,2.866666667,709.59,-0.17,0.966666667,0
dine,dined,regular,0.89,5,703.64,-0.24,1,0
direct,directed,regular,1,4.9,712.29,-0.25,0.965517241,0
disable,disabled,regular,1,4.129032258,692.7,-0.21,0.9,0
disallow,disallowed,regular,1,3.321428571,813.65,0.34,0.896551724,0
disappoint,disappointed,regular,1,3.3,700.86,-0.25,0.933333333,0
disarm,disarmed,regular,1,4.153846154,694.43,-0.28,1,0
disband,disbanded,regular,0.88,3.931034483,735.18,0,0.965517241,0
disburse,disbursed,regular,0.8,3.15625,822,0.22,0.933333333,0
discern,discerned,regular,0.8,3.071428571,695.86,-0.29,0.966666667,0
discipline,disciplined,regular,1,4.677419355,735.18,-0.05,0.965517241,0
disclose,disclosed,regular,1,3.535714286,756.03,0,1,0
discomfit,discomfited,regular,1,2.04,725.5,-0.01,0.833333333,0
disconnect,disconnected,regular,1,4.03030303,651.52,-0.46,1,0
discount,discounted,regular,1,3.03030303,719.25,-0.21,0.933333333,0
discover,discovered,regular,1,4.032258065,622.83,-0.62,1,0
discriminate,discriminated,regular,1,4.192307692,718.93,-0.16,0.965517241,0
disdain,disdained,regular,1,2.448275862,793.38,0.18,0.896551724,0
disembowel,disemboweled,regular,1,5.821428571,827.89,0.34,0.966666667,0
disengage,disengaged,regular,1,3.387096774,818.19,0.31,0.931034483,0
disfigure,disfigured,regular,1,4.433333333,743.93,-0.16,0.9,0
disgrace,disgraced,regular,1,2.375,692.52,-0.24,0.966666667,0
disgust,disgusted,regular,0.71,3.566666667,698.21,-0.21,1,0
dishearten,disheartened,regular,1,3.4,725.47,-0.17,1,0
disillusion,disillusioned,regular,1,2.379310345,812.58,0.48,0.866666667,0
disinfect,disinfected,regular,1,5.666666667,707.85,-0.14,0.931034483,0
disintegrate,disintegrated,regular,1,4.966666667,800.15,0.37,0.9,0
dislike,disliked,regular,0.83,2.53125,701.89,-0.29,0.965517241,0
dislodge,dislodged,regular,1,4.9,725.38,-0.12,0.896551724,0
dismay,dismayed,regular,0.9,3,680.12,-0.26,0.896551724,0
dismiss,dismissed,regular,1,3.363636364,643.07,-0.47,0.931034483,0
disobey,disobeyed,regular,0.9,4.225806452,702.83,-0.24,1,0
disorganize,disorganized,regular,1,3.766666667,680.42,-0.27,0.896551724,0
disorient,disoriented,regular,1,2.59375,695.54,-0.23,1,0
disparage,disparaged,regular,1,3.148148148,784.22,0.2,0.931034483,0
dispel,dispelled,regular,0.69,2.606060606,792.61,0.1,0.965517241,0
disperse,dispersed,regular,0.8,3.818181818,761.93,0.08,1,0
displace,displaced,regular,1,4.423076923,703.78,-0.34,0.931034483,0
displease,displeased,regular,0.9,3.193548387,742,0.04,0.75862069,0
dispose,disposed,regular,1,4.121212121,686.19,-0.25,0.931034483,0
disprove,disproved,regular,1,3.428571429,753.72,0.06,0.862068966,0
disqualify,disqualified,regular,1,3.633333333,729.56,-0.21,0.9,0
disregard,disregarded,regular,1,2.965517241,762.36,0.07,0.933333333,0
dissatisfy,dissatisfied,regular,1,2.375,787,0.2,0.965517241,0
dissemble,dissembled,regular,1,4.35483871,735.85,-0.2,0.965517241,0
dissent,dissented,regular,0.83,3.344827586,802.82,0.29,0.933333333,0
dissociate,dissociated,regular,1,2.333333333,817.17,0.38,0.862068966,0
dissuade,dissuaded,regular,1,2.814814815,750.19,0.05,0.931034483,0
distend,distended,regular,0.58,3.607142857,765.82,0.09,0.933333333,0
distinguish,distinguished,regular,1,2.933333333,711.86,-0.23,1,0
distract,distracted,regular,0.11,3.806451613,641.18,-0.61,1,0
distribute,distributed,regular,1,5.333333333,709.33,-0.19,0.931034483,0
disturb,disturbed,regular,1,4.064516129,636.97,-0.56,1,0
dive,dived/dove,other,0.5,5.903225806,759.55,0.03,0.888888889,0.051282051
diversify,diversified,regular,1,3.466666667,702.64,-0.29,0.965517241,0
divide,divided,regular,0.62,4.766666667,714.36,-0.15,0.965517241,0
divorce,divorced,regular,1,4.545454545,678.61,-0.33,0.966666667,0
dizzy,dizzied,regular,1,5.178571429,785.1,0.11,0.793103448,0
do,did,irregular,0.04,4.064516129,858.02,0.54,0.674157303,0
doctor,doctored,regular,1,4.148148148,708.86,-0.2,1,0
dodge,dodged,regular,1,5.866666667,626.03,-0.68,1,0
dog,dogged,regular,1,4.5625,764.96,0.03,0.966666667,0
dominate,dominated,regular,1,4.424242424,630.31,-0.58,1,0
don,donned,regular,1,4.392857143,767.3,0.12,0.931034483,0
doodle,doodled,regular,1,5,754.86,0.01,0.793103448,0
dope,doped,regular,1,4.35483871,710.37,-0.18,0.931034483,0
dot,dotted,regular,1,4.387096774,725.07,-0.16,0.966666667,0
doubt,doubted,regular,1,3.060606061,686.04,-0.25,0.9,0
down,downed,regular,1,3.09375,793.73,0.22,1,0
doze,dozed,regular,1,4.838709677,690.72,-0.4,1,0
drag,dragged,regular,1,5,743.71,-0.04,0.733333333,0
dramatize,dramatized,regular,1,4.466666667,744.14,0.03,1,0
drat,dratted,regular,1,2.96,875.52,0.67,0.866666667,0
draw,drew,irregular,0.09,6,744.1,-0.01,0.784090909,0.022727273
dread,dreaded,regular,0.55,4.035714286,755.66,0.02,0.966666667,0
dredge,dredged,regular,1,4.571428571,769.88,0.24,0.862068966,0
dress,dressed,regular,0.88,5.8,709.48,-0.28,0.966666667,0
drift,drifted,regular,1,4.96969697,701.7,-0.24,1,0
drink,drank,irregular,0.29,6.060606061,834.68,0.4,0.73255814,0.023255814
drip,dripped,regular,0.85,5.966666667,714.54,-0.15,1,0
drive,drove,irregular,0.43,5.730769231,821.04,0.33,0.808988764,0.02247191
drool,drooled,regular,1,5.9375,707.36,-0.06,0.833333333,0
drop,dropped,regular,1,4.666666667,687.93,-0.37,0.966666667,0
drowse,drowsed,regular,1,4.551724138,702.93,-0.28,0.965517241,0
drum,drummed,regular,0.91,5.461538462,690.82,-0.35,0.933333333,0
dub,dubbed,regular,1,3.5,715.89,-0.15,0.933333333,0
duel,dueled,regular,1,5.857142857,737.69,0.02,0.896551724,0
dumbfound,dumbfounded,regular,1,3.0625,684.33,-0.33,0.933333333,0
dunk,dunked,regular,1,5.375,860.11,0.51,0.966666667,0
duplicate,duplicated,regular,1,5.071428571,701.41,-0.24,1,0
dwarf,dwarfed,regular,1,4.206896552,685.81,-0.31,0.896551724,0
dwell,dwelled/dwelt,other,0.21,4.133333333,720.11,-0.24,0.977011494,0
dye,dyed,regular,0.71,5.366666667,711.14,-0.2,1,0
earmark,earmarked,regular,1,4.233333333,825.5,0.42,0.931034483,0
ease,eased,regular,0.89,3.709677419,753.13,0.12,0.8,0
eat,ate,irregular,0.1,6.230769231,885.16,0.71,0.813953488,0
ebb,ebbed,regular,1,3.5,722.2,-0.17,1,0
eclipse,eclipsed,regular,1,4.806451613,738.61,0.02,0.965517241,0
eddy,eddied,regular,1,4,721.52,-0.02,0.793103448,0
edify,edified,regular,1,3.652173913,669.52,-0.42,0.966666667,0
educate,educated,regular,1,4.538461538,676.75,-0.4,0.965517241,0
effect,effected,regular,1,3.321428571,758.48,-0.04,1,0
elaborate,elaborated,regular,1,2.878787879,671.9,-0.36,1,0
elbow,elbowed,regular,1,5,654.61,-0.44,1,0
electrify,electrified,regular,1,5.096774194,656.48,-0.54,1,0
elevate,elevated,regular,1,5.151515152,675.28,-0.37,1,0
eliminate,eliminated,regular,1,3.964285714,664.04,-0.45,0.965517241,0
elope,eloped,regular,1,4.62962963,732.21,-0.19,0.965517241,0
elude,eluded,regular,1,3.310344828,645.81,-0.41,0.896551724,0
emancipate,emancipated,regular,1,2.896551724,792.14,0.25,0.965517241,0
embark,embarked,regular,1,4.060606061,630.78,-0.51,0.931034483,0
embed,embedded,regular,0.58,3.242424242,756.07,-0.03,1,0
embitter,embittered,regular,1,2.333333333,794.85,0.18,0.965517241,0
embody,embodied,regular,1,3.483870968,707.41,-0.22,0.966666667,0
emboss,embossed,regular,1,4.814814815,743.18,-0.01,0.933333333,0
embroider,embroidered,regular,1,5.206896552,769,0.3,0.896551724,0
emerge,emerged,regular,1,4.566666667,653.93,-0.41,0.966666667,0
emit,emitted,regular,0.47,3.733333333,759.31,0.05,0.833333333,0
employ,employed,regular,1,3.642857143,650.96,-0.46,0.896551724,0
empty,emptied,regular,1,5.193548387,689.22,-0.39,0.964285714,0
enable,enabled,regular,1,3.580645161,610.45,-0.6,0.966666667,0
enamel,enameled,regular,1,4.137931034,734.65,-0.11,0.896551724,0
encapsulate,encapsulated,regular,1,4.8,923.21,0.72,0.928571429,0
enchant,enchanted,regular,1,4.307692308,719.87,-0.12,1,0
enclose,enclosed,regular,1,4.677419355,774.78,0.15,0.965517241,0
encompass,encompassed,regular,1,3.548387097,784.04,0.1,0.933333333,0
encourage,encouraged,regular,1,3.545454545,695.1,-0.21,0.966666667,0
encrust,encrusted,regular,0.71,4.037037037,788.79,0.23,0.965517241,0
end,ended,regular,0.55,3.242424242,772.26,-0.02,0.931034483,0
endeavor,endeavored,regular,1,2.242424242,726.48,-0.09,0.931034483,0
endow,endowed,regular,1,2.709677419,761.81,0.09,0.965517241,0
energize,energized,regular,1,4.225806452,632.54,-0.53,0.928571429,0
enfeeble,enfeebled,regular,1,4.166666667,853.36,0.65,0.827586207,0
enforce,enforced,regular,1,4.032258065,697.9,-0.2,1,0
engender,engendered,regular,1,2.148148148,780.32,0.05,0.892857143,0
engrave,engraved,regular,1,5.230769231,704.53,-0.19,1,0
engulf,engulfed,regular,1,4.0625,718.86,-0.13,0.965517241,0
enjoin,enjoined,regular,1,2.612903226,702.5,-0.24,0.866666667,0
enlarge,enlarged,regular,1,5.423076923,742.3,-0.02,1,0
enlist,enlisted,regular,1,4.233333333,697.46,-0.19,0.965517241,0
enmesh,enmeshed,regular,1,3.64,924.26,0.75,0.931034483,0
enrage,enraged,regular,1,4.137931034,758.45,0.07,1,0
enrich,enriched,regular,1,4.225806452,711.11,-0.18,0.965517241,0
ensconce,ensconced,regular,1,2.956521739,902.14,0.9,0.827586207,0
enslave,enslaved,regular,1,4.548387097,700.07,-0.09,0.933333333,0
ensue,ensued,regular,0.96,2.696969697,740.33,-0.06,0.931034483,0
entail,entailed,regular,1,3.583333333,699.54,-0.22,0.933333333,0
enter,entered,regular,1,5.03030303,635.13,-0.52,1,0
enthrall,enthralled,regular,0.93,3.678571429,814.63,0.5,0.931034483,0
entice,enticed,regular,1,3.666666667,736.44,-0.09,0.964285714,0
entrance,entranced,regular,1,4.12,674.86,-0.47,0.793103448,0
entreat,entreated,regular,1,2.310344828,730.59,-0.08,1,0
entrust,entrusted,regular,0.83,2.939393939,764.61,-0.04,0.965517241,0
enumerate,enumerated,regular,1,4,830.23,0.37,0.9,0
envelop,enveloped,regular,1,4.121212121,835.22,0.35,0.931034483,0
envision,envisioned,regular,1,4.064516129,748.85,-0.04,0.931034483,0
epitomize,epitomized,regular,1,3.454545455,772.92,0.11,0.866666667,0
equalize,equalized,regular,1,2.466666667,736.17,-0.09,1,0
equip,equipped,regular,0.83,4.071428571,747.04,0.08,1,0
eradicate,eradicated,regular,1,4.592592593,808.3,0.21,0.896551724,0
erect,erected,regular,1,4.806451613,668.04,-0.43,0.965517241,0
err,erred,regular,0.86,3.620689655,775.46,0.04,0.827586207,0
escalate,escalated,regular,1,4,710.97,-0.2,0.966666667,0
eschew,eschewed,regular,0.96,2.740740741,731.45,-0.07,0.689655172,0
espouse,espoused,regular,1,2.714285714,774.54,0.2,0.933333333,0
establish,established,regular,1,2.566666667,630.77,-0.51,1,0
estimate,estimated,regular,1,3.846153846,656.21,-0.49,1,0
etch,etched,regular,1,5.322580645,686.11,-0.36,0.965517241,0
evacuate,evacuated,regular,1,4.84375,723.55,-0.12,1,0
evaluate,evaluated,regular,1,3.090909091,673,-0.31,1,0
evict,evicted,regular,1,4.482758621,757.52,-0.13,0.931034483,0
evince,evinced,regular,1,3.444444444,879.8,0.73,0.862068966,0
evolve,evolved,regular,1,4.5,720.21,-0.13,1,0
exact,exacted,regular,1,2.033333333,772.48,0.28,0.928571429,0
exalt,exalted,regular,1,3.642857143,714.72,-0.18,0.966666667,0
exasperate,exasperated,regular,1,2.793103448,797.5,0.27,1,0
exceed,exceeded,regular,0.59,3.571428571,701,-0.27,0.965517241,0
exchange,exchanged,regular,1,4.21875,656.1,-0.52,0.966666667,0
excite,excited,regular,0.75,3.454545455,724.89,-0.11,0.965517241,0
exclude,excluded,regular,1,4.214285714,732,-0.22,0.857142857,0
excrete,excreted,regular,0.73,5.4,739.65,0.02,0.866666667,0
execute,executed,regular,1,4.090909091,639.48,-0.51,1,0
exempt,exempted,regular,1,2.625,814.3,0.14,0.964285714,0
exert,exerted,regular,0.83,3.125,734.11,-0.08,0.965517241,0
exhaust,exhausted,regular,0.75,3.7,688.04,-0.32,1,0
exhilarate,exhilarated,regular,1,4,800.68,0.36,0.933333333,0
exhume,exhumed,regular,1,5.428571429,728.78,-0.09,0.965517241,0
exist,existed,regular,1,2.878787879,684.67,-0.3,0.931034483,0
exonerate,exonerated,regular,1,2.78125,831.93,0.32,1,0
expand,expanded,regular,0.88,4.454545455,680.5,-0.36,0.965517241,0
expel,expelled,regular,0.69,4.366666667,661.41,-0.53,0.931034483,0
experience,experienced,regular,1,3.923076923,690.12,-0.44,0.9,0
expire,expired,regular,1,3.333333333,651.29,-0.42,0.933333333,0
explode,exploded,regular,1,6.666666667,609.68,-0.75,0.965517241,0
explore,explored,regular,1,4.129032258,665.58,-0.31,0.866666667,0
expose,exposed,regular,1,5.181818182,628.62,-0.59,0.966666667,0
expound,expounded,regular,1,3.148148148,741.07,-0.03,1,0
expropriate,expropriated,regular,1,2.703703704,978.38,1.04,0.833333333,0
extend,extended,regular,0.58,3.484848485,658.73,-0.39,1,0
externalize,externalized,regular,1,3.580645161,756.03,0.05,1,0
extol,extolled,regular,1,3.739130435,695.89,-0.19,0.933333333,0
extradite,extradited,regular,1,3.15,872.69,0.48,0.9,0
extricate,extricated,regular,1,4.111111111,830.14,0.37,0.965517241,0
exude,exuded,regular,1,3.538461538,814.12,0.29,0.866666667,0
eye,eyed,regular,0.83,4.53125,728.07,-0.14,1,0
face,faced,regular,1,5.225806452,758,0.03,0.965517241,0
fade,faded,regular,1,4.730769231,734.68,-0.05,0.965517241,0
faint,fainted,regular,1,5.290322581,734.4,-0.17,0.847457627,0
fall,fell,irregular,0.06,5.269230769,860.57,0.47,0.784090909,0.079545455
falsify,falsified,regular,1,3.72,720.79,-0.15,1,0
familiarize,familiarized,regular,1,3.967741935,821.38,0.46,0.896551724,0
fancy,fancied,regular,1,3.714285714,652.31,-0.49,0.966666667,0
farm,farmed,regular,1,5.625,671.97,-0.41,1,0
fart,farted,regular,1,5.875,768.71,-0.01,0.965517241,0
fashion,fashioned,regular,1,3.84375,643.47,-0.53,1,0
fasten,fastened,regular,1,5.533333333,683.39,-0.29,0.965517241,0
father,fathered,regular,1,4.75,722.5,-0.06,0.931034483,0
fatigue,fatigued,regular,1,4.161290323,711.74,-0.16,0.933333333,0
fault,faulted,regular,1,3.290322581,729.93,-0.13,0.965517241,0
fawn,fawned,regular,1,4.173913043,719.65,-0.18,0.931034483,0
feast,feasted,regular,1,6,850.04,0.49,0.933333333,0
feature,featured,regular,1,4.225806452,784.79,0.13,0.965517241,0
feed,fed,irregular,0.44,6.064516129,740.26,0.02,0.954545455,0
feel,felt,irregular,0.23,4.307692308,771.57,0.16,0.942528736,0
fence,fenced,regular,1,5.212121212,699.3,-0.24,1,0
ferment,fermented,regular,1,4.708333333,670.22,-0.37,0.931034483,0
ferry,ferried,regular,1,4.892857143,740.3,0.08,0.931034483,0
fester,festered,regular,1,3.724137931,736.52,-0.05,0.966666667,0
fetch,fetched,regular,1,4.548387097,755.04,0.05,1,0
fiddle,fiddled,regular,1,4.7,698.46,-0.25,0.933333333,0
field,fielded,regular,1,3.24137931,834.92,0.45,0.866666667,0
fight,fought,irregular,0.09,6.166666667,830.22,0.49,0.921348315,0.011235955
filch,filched,regular,1,3.24,808.56,0.36,0.965517241,0
fill,filled,regular,1,5.5625,843.16,0.35,0.928571429,0
film,filmed,regular,1,5.878787879,746.17,-0.02,1,0
finalize,finalized,regular,1,3.387096774,678.69,-0.31,1,0
find,found,irregular,0.57,4.733333333,802.85,0.23,0.897727273,0
fine,fined,regular,0.89,3.454545455,781.27,0.26,0.793103448,0
fingerprint,fingerprinted,regular,1,5.741935484,767.33,0.08,0.933333333,0
fire,fired,regular,1,5,764.07,0.1,0.965517241,0
fish,fished,regular,1,6.071428571,853.78,0.3,0.931034483,0
fix,fixed,regular,1,4.571428571,701.76,-0.25,0.966666667,0
fizz,fizzed,regular,1,4.741935484,728,-0.06,0.896551724,0
flabbergast,flabbergasted,regular,1,3.392857143,741.31,0.16,0.965517241,0
flail,flailed,regular,1,4.866666667,840.63,0.43,0.9,0
flame,flamed,regular,1,5.3,754.3,0.06,0.965517241,0
flap,flapped,regular,0.95,5,703.66,-0.27,0.966666667,0
flash,flashed,regular,1,5.666666667,709.86,-0.2,0.965517241,0
flatter,flattered,regular,1,3.5625,688.31,-0.27,1,0
flavor,flavored,regular,1,4.272727273,750.04,0.17,0.827586207,0
flay,flayed,regular,0.89,3.931034483,794.41,0.26,0.9,0
flee,fled,irregular,0.1,4.807692308,840.49,0.51,0.625,0.181818182
flex,flexed,regular,1,5.833333333,651.03,-0.46,1,0
flicker,flickered,regular,1,5.166666667,745.31,-0.07,1,0
fling,flung,irregular,0.5,5.333333333,786.03,0.19,0.747126437,0.057471264
flip,flipped,regular,0.82,5.153846154,719.17,-0.06,0.966666667,0
flit,flitted,regular,0.44,4.52173913,892.83,0.84,0.862068966,0
flock,flocked,regular,1,4.516129032,692.76,-0.28,0.966666667,0
flood,flooded,regular,1,5.909090909,742.76,-0.07,0.966666667,0
