word_english,sample_size,set_size,set_size_singles,frequency_KF,concrete_M,homograph,pos,Mean_Connectivity,Connectivity_Strength,Resonance_Probability,Resonance_Strength,Accessibility_Index,Non-Responses,Ending_Stem_Set_Size__,Ending_Stem_Strength,Beginning_Stem_Set_Size,Beginning_Stem_Strength,Ending_Fragment_Cue,Ending_Fragment_Set_size,Ending_Fragment_Strength,Beginning_Fragment_Cue,Beginning_Cue_Set_Size,Beginning_Cue_Strength
acid,147,15,37,13,,,N,0.71,1.150,0.29,1.260,13,0.00,14,0.00,,,,,,,,
acknowledge,145,22,51,12,2.86,,V,1.29,2.550,0.14,1.090,9,0.01,9,0.00,,,,,,,,
acorn,139,6,17,1,,,N,1.33,1.690,0.17,1.060,3,0.04,12,0.00,,,,,,,,
acquire,146,17,37,27,,,V,2.94,4.520,0.25,1.110,7,0.03,,,,,,,,,,
acre,126,9,21,9,5.91,,N,1.44,1.550,0.22,1.040,3,0.02,,,,,,,,,,
acrobat,154,19,46,0,6.38,,N,,,,,2,0.02,,,,,,,,,,
act,148,16,41,283,3.79,T,N,1.67,1.930,0.40,1.890,28,0.03,15,0.02,,,,,,A--,11,0.01
action,138,20,51,291,3.00,G,N,1.53,3.530,0.37,1.430,31,0.03,10,0.06,,,,,,,,
active,150,21,61,88,,,AJ,1.50,1.700,0.17,1.430,10,0.06,,,,,,,,,,
activity,150,22,53,116,,,N,3.29,4.840,0.10,1.040,9,0.03,,,,,,,,,,
actor,147,14,24,24,5.45,,N,1.45,2.350,0.55,1.680,25,0.01,5,0.03,,,---OR,11,0.01,,,
actress,152,11,39,6,,,N,1.91,1.790,0.09,1.580,3,0.01,,,,,,,,,,
ad,151,19,47,11,,,N,1.82,3.480,0.12,1.050,8,0.00,15,0.00,,,,,,,,
add,178,11,16,88,2.95,,V,1.45,3.170,0.82,2.450,28,0.02,15,0.01,,,,,,,,
addict,149,9,26,1,,,N,1.00,1.510,0.50,1.080,8,0.01,,,,,---ICT,3,0.05,,,
addiction,146,8,21,3,,,N,1.43,1.930,0.43,1.070,7,0.01,,,,,,,,,,
addition,153,8,19,142,3.42,,N,1.86,2.050,0.14,1.510,6,0.00,,,,,,,,,,
address,150,16,30,77,,,V,1.50,3.340,0.14,1.060,4,0.03,,,,,,,,,,
adjective,138,11,24,2,2.92,,N,2.45,4.070,0.46,1.410,5,0.04,,,,,,,,,,
adjourn,149,16,35,2,,,V,2.21,5.400,0.07,1.050,1,0.07,,,,,,,,,,
adjustment,148,14,61,35,,,N,0.60,1.420,0.00,1.000,1,0.01,,,,,,,,,,
admire,180,17,44,10,2.92,,V,1.80,3.420,0.47,1.340,9,0.06,11,0.00,,,,,,,,
admission,147,16,31,33,,,N,1.31,3.150,0.06,1.050,3,0.01,,,,,,,,,,
admit,145,18,51,37,,P,V,1.89,3.240,0.11,1.210,6,0.03,,,,,,,,,,
adolescent,145,8,25,18,5.32,,AJ,3.38,3.750,0.63,1.250,9,0.01,,,,,,,,,,
adorable,148,8,23,3,,,AJ,,,,,1,0.01,,,,,,,,,,
adore,154,7,24,2,,,V,2.43,3.140,0.29,1.050,4,0.01,28,0.01,,,--ORE,9,0.08,,,
adorn,182,23,60,1,3.35,,V,1.29,3.220,0.05,1.030,1,0.10,12,0.02,,,,,,,,
adult,148,12,31,25,4.88,,N,2.27,4.330,0.55,1.590,17,0.00,,,,,,,,,,
adultery,150,11,47,3,,,N,1.00,1.550,0.11,1.070,1,0.01,,,,,,,,,,
adults,146,17,39,23,,,N,1.62,2.730,0.31,1.770,4,0.00,,,,,,,,,,
advance,148,21,57,60,,T,V,1.74,3.740,0.11,1.050,3,0.00,,,,,---ANCE,7,0.05,,,
adventure,154,18,50,14,,,N,1.00,2.070,0.27,1.100,10,0.01,,,,,,,,,,
adventurous,143,23,62,5,2.46,,AJ,1.43,3.280,0.10,1.110,2,0.06,,,,,,,,,,
adverb,146,12,22,1,3.39,,N,,,,,4,0.10,,,,,,,,,,
adversary,152,12,50,5,,,N,2.18,2.980,0.27,1.060,3,0.17,,,,,,,,,,
advertisement,152,18,46,2,,,N,2.65,4.820,0.18,1.330,4,0.03,,,,,,,,,,
advice,195,20,61,51,2.08,,N,1.74,4.030,0.21,1.150,10,0.06,,,,,,,,,,
advil,150,13,21,0,,,N,3.27,4.920,0.18,1.060,3,0.04,,,,,,,,,,
advise,153,19,63,10,,,V,2.00,2.690,0.13,1.050,6,0.04,,,,,,,,,,
aerobics,150,15,38,1,,,AJ,2.08,2.420,0.31,1.220,9,0.00,,,,,,,,,,
affair,148,19,50,33,,T,N,1.78,4.310,0.17,1.170,4,0.03,,,,,,,,,,
affect,152,16,52,35,,,V,0.93,2.830,0.13,1.120,4,0.07,,,,,,,,,,
affection,150,6,19,1,3.70,,N,1.50,2.550,0.33,1.090,3,0.01,21,0.05,,,,,,,,
afraid,144,9,33,57,3.32,,AJ,1.44,2.240,0.44,1.230,19,0.01,,,,,,,,,,
africa,145,16,43,45,5.92,,N,1.07,1.470,0.29,1.360,15,0.02,,,,,,,,,,
after,154,10,23,1070,2.33,,PP,,,,,13,0.01,,,,,,,,,,
afternoon,146,20,34,106,3.71,,N,1.50,4.220,0.17,1.070,4,0.02,,,,,,,,,,
again,152,12,41,578,,,AD,2.64,3.120,0.46,1.540,19,0.08,,,,,,,,,,
against,144,16,47,626,,,PP,,,,,24,0.01,20,0.00,,,,,,,,
age,197,20,44,227,4.14,,N,,,,,21,0.02,9,0.01,,,,,,,,
agency,148,19,59,56,,,N,2.18,3.970,0.12,1.020,3,0.03,,,,,,,,,,
agenda,147,14,36,5,,,N,1.62,1.340,0.15,1.070,4,0.05,,,,,,,,,,
agent,146,24,52,44,,,N,1.48,2.990,0.24,1.280,6,0.03,,,,,,,,,,
aggravate,152,11,34,1,,,V,2.67,4.150,0.44,1.180,5,0.01,,,,,,,,,,
aggressive,152,20,75,17,,,AJ,1.47,2.500,0.21,1.370,10,0.03,,,,,,,,,,
agony,154,8,23,9,3.60,,N,0.71,2.120,0.14,1.030,2,0.04,,,,,,,,,,
agree,144,11,48,51,,,V,,,,,17,0.08,,,,,,,,,,
agreement,146,17,54,106,2.93,,N,,,,,9,0.10,,,,,,,,,,
agriculture,152,18,44,23,,,N,3.00,4.040,0.13,1.050,2,0.04,,,,,,,,,,
ahead,132,12,32,109,,,AD,1.33,3.090,0.42,1.220,11,0.02,20,0.00,,,,,,,,
ahoy,148,15,30,0,,,I,,,,,2,0.05,,,,,,,,,,
aid,148,7,18,130,3.68,,V,0.57,1.400,0.43,1.260,20,0.01,23,0.01,,,,,,A--,11,0.01
aids,152,14,33,27,,,N,0.83,1.910,0.08,1.150,7,0.00,,,,,,,,,,
aim,146,13,26,37,3.40,,V,1.08,1.890,0.31,1.090,5,0.01,6,0.03,,,-IM,7,0.02,,,
air,148,17,32,257,5.67,T,N,1.00,2.210,0.65,2.700,61,0.01,25,0.01,,,,,,,,
air force,150,15,33,0,,,N,2.33,0.000,0.42,0.000,9,0.00,,,,,,,,,,
aircraft,147,12,30,70,,,N,,,,,1,0.00,,,,,,,,,,
airplane,197,21,34,11,6.83,,N,2.62,4.870,0.29,1.930,23,0.04,38,0.01,,,,,,,,
airport,148,6,23,19,6.31,,N,1.20,1.460,0.00,1.000,12,0.01,19,0.00,,,,,,,,
aisle,77,13,25,6,5.05,,N,,,,,4,0.01,15,0.02,,,,,,,,
alarm,165,12,35,16,4.86,,N,1.00,2.990,0.33,1.160,16,0.01,7,0.16,,,,,,,,
album,150,8,19,6,,,N,,,,,4,0.00,,,,,,,,,,
alcohol,146,12,36,13,6.87,,N,2.70,3.140,0.70,1.420,44,0.03,,,,,,,,,,
ale,150,7,25,1,5.66,,N,,,,,2,0.05,28,0.02,,,--E,24,0.02,,,
alert,144,13,44,33,3.96,,AJ,0.82,2.010,0.36,1.270,12,0.03,15,0.01,,,,,,,,
algae,147,16,29,7,,,N,2.80,4.560,0.27,1.150,5,0.07,,,,,,,,,,
algebra,139,9,22,2,4.85,,N,1.44,2.950,0.44,1.150,13,0.01,,,,,,,,,,
alias,79,13,33,1,3.10,,N,,,,,0,0.15,,,,,,,,,,
alibi,79,6,21,8,2.65,,N,,,,,1,0.09,,,,,,,,,,
alike,147,7,12,20,2.83,,AJ,2.57,4.790,1.00,1.590,15,0.05,11,0.00,,,,,,,,
alive,148,14,30,57,3.35,,AJ,2.33,3.220,0.42,1.530,21,0.01,,,,,,,,,,
all,147,12,22,3001,2.63,,AJ,,,,,15,0.01,15,0.00,,,,,,,,
allegiance,148,7,42,4,,,N,1.00,1.520,0.14,1.320,1,0.03,,,,,,,,,,
allergy,145,15,33,1,4.70,,N,2.21,3.600,0.21,1.110,4,0.01,,,,,,,,,,
alley,140,18,35,8,6.11,,N,1.28,4.220,0.17,1.100,7,0.01,,,,,,,,,,
alligator,128,13,30,4,6.45,,N,1.08,1.430,0.23,1.770,4,0.05,16,0.06,,,,,,,,
allow,180,16,45,72,2.64,,V,1.73,1.720,0.33,2.010,19,0.01,,,,,,,,,,
ally,79,3,6,9,4.10,,V,,,,,2,0.71,,,,,,,,,,
almanac,148,18,43,1,,,N,,,,,0,0.03,,,,,,,,,,
almighty,152,8,28,5,,,AJ,0.86,1.550,0.14,1.050,2,0.01,,,,,,,,,,
almond,154,11,30,1,,,N,1.44,2.570,0.11,1.030,4,0.01,,,,,--MOND,2,0.03,,,
alone,149,19,46,195,3.81,,AJ,1.44,2.010,0.63,2.530,42,0.03,26,0.01,,,--ONE,9,0.02,,,
alphabet,153,11,16,2,,,N,0.50,1.330,0.25,1.210,6,0.01,,,,,,,,,,
alright,152,10,24,0,,,AD,,,,,0,0.02,,,,,,,,,,
alter,180,4,19,15,4.26,,V,0.50,0.920,0.50,1.040,3,0.22,,,,,,,,,,
alternative,152,12,40,34,,,N,,,,,5,0.09,,,,,,,,,,
alto,148,15,28,4,,,N,,,,,3,0.05,,,,,,,,,,
aluminum,146,8,28,18,5.19,,N,1.75,2.360,0.75,1.760,7,0.01,18,0.00,,,,,,,,
always,143,6,25,458,2.45,,AD,1.67,1.780,0.83,2.210,23,0.04,,,,,,,,,,
amateur,149,15,50,25,,,N,,,,,5,0.02,,,,,,,,,,
amaze,153,16,48,3,,,V,,,,,3,0.06,,,,,,,,,,
ambition,148,18,50,19,3.21,,N,1.50,2.870,0.19,1.080,6,0.10,,,,,,,,,,
ambulance,138,18,32,6,7.00,,N,1.72,4.630,0.22,1.240,4,0.01,10,0.00,,,,,,,,
america,151,13,31,194,,,N,2.00,2.240,0.33,1.360,22,0.03,,,,,,,,,,
american,145,19,60,569,,,AJ,1.12,1.750,0.29,1.610,19,0.01,,,,,,,,,,
amount,149,15,26,172,3.62,,N,1.29,3.940,0.36,1.540,32,0.05,,,,,,,,,,
amp,150,19,31,1,3.19,,N,3.22,5.780,0.11,1.080,3,0.05,12,0.01,,,,,,,,
amuse,180,14,30,3,3.17,,V,3.54,5.680,0.15,1.310,2,0.01,,,,,,,,,,
analysis,142,21,66,108,2.94,,N,2.17,3.980,0.06,1.010,3,0.06,,,,,,,,,,
analyze,144,18,58,10,2.85,,V,,,,,7,0.07,,,,,,,,,,
anarchy,143,20,55,7,,,N,1.56,2.940,0.28,1.160,9,0.10,,,,,,,,,,
anatomy,145,13,22,9,,,N,1.58,2.810,0.25,1.160,7,0.00,33,0.00,,,,,,,,
ancestor,153,18,37,7,,,N,,,,,2,0.00,,,,,,,,,,
anchor,126,10,29,15,5.91,,N,1.00,2.400,0.10,1.010,1,0.02,,,,,,,,,,
ancient,148,12,28,69,3.12,,AJ,1.50,3.740,0.33,1.090,13,0.01,,,,,,,,,,
angel,147,14,23,18,3.41,,N,1.29,1.680,0.36,2.000,13,0.07,,,,,---EL,17,0.03,ANG--,5,0.10
anger,119,14,33,48,3.75,,N,1.92,3.390,0.31,1.820,55,0.03,,,,,--GER,7,0.46,ANG--,5,0.41
angle,151,16,40,51,5.19,T,V,,,,,6,0.01,,,,,,,,ANG--,5,0.32
angry,148,9,28,45,3.75,,AJ,1.44,2.970,0.44,1.710,30,0.02,,,,,,,,ANG--,5,0.12
animal,184,28,49,68,5.65,,N,1.81,4.450,0.74,3.940,156,0.08,,,,,--IMAL,2,0.90,ANI---,2,0.76
animals,149,22,53,58,6.75,,N,1.74,5.370,0.11,1.250,13,0.01,,,,,,,,,,
anisette,148,10,42,0,,,N,1.00,0.800,0.00,1.000,1,0.62,,,,,,,,,,
ankle,143,16,31,8,7.00,,N,1.79,2.660,0.36,1.720,7,0.02,,,,,--KLE,1,0.81,AN---,9,0.10
annihilate,151,12,47,1,,,V,0.91,1.690,0.18,1.040,2,0.15,,,,,,,,,,
annihilation,79,6,20,6,2.73,,N,,,,,0,0.24,,,,,,,,,,
announce,145,19,51,18,3.13,,V,2.19,4.700,0.00,1.000,3,0.01,6,0.01,,,,,,,,
annoy,146,15,41,2,,,V,2.38,4.380,0.46,2.000,22,0.01,10,0.00,,,--N-Y,17,0.02,,,
annoying,151,24,66,6,,,AJ,,,,,16,0.05,,,,,,,,,,
annual,140,7,23,1,,W,AJ,0.60,1.160,0.00,1.000,2,0.04,,,,,,,,,,
another,146,17,42,683,,,AJ,,,,,3,0.02,,,,,,,,,,
answer,126,9,25,152,3.85,,N,1.44,2.250,0.67,3.390,55,0.01,,,,,----ER,37,0.00,,,
ant,121,14,25,6,6.00,,N,1.93,4.340,0.36,1.600,11,0.08,11,0.00,,,,,,A--,11,0.37
anteater,145,9,31,1,6.16,,N,1.38,2.530,0.25,1.080,2,0.03,,,,,,,,,,
antelope,152,10,35,7,,,N,1.78,3.140,0.33,1.060,3,0.02,,,,,,,,,,
antenna,148,13,30,13,,,N,,,,,2,0.01,,,,,,,,,,
antidote,146,10,39,2,4.30,,N,2.00,2.950,0.11,1.040,1,0.10,,,,,,,,,,
antique,150,10,29,12,4.78,,N,0.70,2.980,0.00,1.000,5,0.01,,,,,,,,,,
antler,148,9,22,3,5.98,,N,1.33,1.760,0.33,1.220,5,0.06,,,,,---LER,16,0.03,,,
antlers,152,6,22,3,,,N,,,,,2,0.01,,,,,,,,,,
anxiety,142,19,52,42,1.63,,N,2.84,3.410,0.26,1.160,12,0.06,,,,,,,,,,
anxious,148,19,34,29,2.44,,AJ,2.75,3.580,0.50,1.350,18,0.02,,,,,,,,,,
anything,152,8,19,280,,,P,,,,,7,0.01,,,,,,,,,,
apart,143,8,25,57,3.00,,AD,2.62,3.770,0.25,1.420,19,0.04,12,0.00,,,--ART,5,0.03,,,
apartment,143,18,43,81,5.77,,N,1.65,2.770,0.24,1.270,19,0.04,,,,,,,,,,
apathetic,150,16,55,1,,,AJ,,,,,1,0.09,,,,,,,,,,
apathy,144,10,37,3,3.60,,N,2.33,2.610,0.22,1.070,2,0.33,,,,,,,,,,
ape,146,10,21,3,6.40,,N,3.00,3.270,0.67,1.730,12,0.03,13,0.01,,,,,,A--,11,0.01
apex,147,16,57,4,,,N,1.38,1.770,0.08,1.010,3,0.25,,,,,,,,,,
apology,154,14,37,3,2.60,,N,1.43,1.810,0.14,1.230,2,0.01,,,,,,,,,,
apostle,79,13,24,2,3.78,,N,,,,,1,0.04,5,0.01,,,,,,,,
appeal,145,16,54,62,2.21,G,N,1.88,2.970,0.06,1.040,3,0.04,,,,,,,,,,
appear,180,15,41,118,2.67,,V,1.33,4.620,0.20,1.420,5,0.02,,,,,----AR,10,0.00,,,
appearance,150,16,40,57,3.40,,N,2.07,3.480,0.07,1.100,7,0.01,,,,,,,,,,
appendage,140,11,29,1,5.03,,N,1.10,2.730,0.10,1.020,1,0.21,,,,,,,,,,
apple,149,17,30,9,7.00,,V,1.82,3.610,0.77,2.380,47,0.01,,,,,,,,,,
appliance,146,18,35,5,6.45,,N,1.93,4.600,0.20,1.070,4,0.00,,,,,,,,,,
application,145,17,53,68,5.42,G,N,,,,,2,0.03,,,,,,,,,,
appointment,148,13,32,28,,,N,0.82,1.510,0.09,1.030,5,0.01,,,,,,,,,,
appraise,182,14,37,4,2.75,,N,1.54,1.690,0.08,1.030,1,0.37,20,0.00,,,,,,,,
approval,152,20,52,51,,,N,,,,,8,0.10,,,,,,,,,,
apron,148,14,29,7,,,N,,,,,0,0.01,,,,,,,,,,
archangel,79,11,25,3,3.41,,N,,,,,0,0.30,,,,,,,,,,
archetype,79,9,32,1,2.73,,N,,,,,0,0.35,,,,,,,,,,
architect,152,16,42,22,,,N,1.88,3.310,0.19,1.070,7,0.01,,,,,,,,,,
architecture,149,12,40,11,,,N,2.00,2.700,0.08,1.020,2,0.03,,,,,,,,,,
arctic,148,8,20,4,,,AJ,1.12,2.270,0.00,1.000,2,0.01,,,,,,,,,,
area,148,21,53,323,3.68,,N,1.47,2.970,0.32,1.250,35,0.05,,,,,,,,,,
arena,146,20,43,7,,,N,2.33,3.220,0.07,1.050,1,0.02,,,,,,,,,,
argue,148,10,37,29,3.23,,V,1.40,3.050,0.50,2.160,16,0.04,,,,,,,,,,
argument,148,11,37,63,3.80,,N,1.40,2.610,0.50,1.590,16,0.05,,,,,,,,,,
aright,152,10,24,0,,,AD,1.50,3.620,0.00,1.000,0,0.02,,,,,,,,,,
arithmetic,144,6,18,8,3.85,,N,2.00,2.850,0.17,1.050,1,0.04,,,,,,,,,,
arm,168,6,22,94,5.53,N,N,1.00,1.670,0.80,2.000,43,0.01,7,0.01,,,,,,,,
armor,140,13,29,4,5.09,,N,0.92,2.100,0.31,1.760,5,0.02,,,,,,,,,,
arms,144,11,25,121,,P,N,,,,,11,0.00,,,,,,,,,,
army,148,12,33,132,6.53,,N,1.67,1.830,0.42,2.290,59,0.03,,,,,,,,,,
aroma,143,10,17,3,4.93,,N,1.70,3.790,0.30,1.060,8,0.01,,,,,,,,,,
around,143,16,48,561,2.46,,AD,1.00,3.870,0.07,1.160,22,0.05,,,,,,,,,,
arrest,154,10,38,19,,,V,3.50,3.160,0.25,1.090,8,0.01,,,,,,,,,,
arrive,151,12,35,24,,,V,1.00,3.470,0.30,1.180,7,0.01,,,,,,,,,,
arrogant,153,22,49,2,,,AJ,3.62,4.830,0.38,1.300,12,0.05,,,,,,,,,,
arrow,132,9,23,14,7.00,,N,0.67,1.400,0.33,1.570,12,0.03,9,0.09,,,,,,,,
art,150,17,44,208,4.36,,N,1.31,2.180,0.50,2.040,52,0.02,12,0.01,,,,,,,,
artery,139,8,16,46,6.28,,N,1.25,2.650,0.13,1.330,1,0.01,33,0.00,,,,,,,,
article,148,13,24,68,5.82,P,N,1.92,4.710,0.23,1.280,8,0.02,,,,,,,,,,
artist,197,12,36,57,5.65,,N,1.82,2.730,0.73,1.400,21,0.02,,,,,,,,,,
arts,145,19,42,66,4.31,,N,1.39,2.200,0.11,1.130,2,0.04,,,,,,,,,,
ascend,149,15,35,1,,,V,2.46,4.250,0.23,1.120,3,0.09,,,,,,,,,,
ascent,145,14,26,1,3.13,,N,2.07,4.250,0.07,1.080,1,0.30,,,,,,,,,,
ash,153,12,24,11,5.33,,N,1.18,3.910,0.36,1.200,7,0.00,18,0.00,,,,,,,,
ashamed,141,13,45,16,3.21,,AJ,1.46,2.530,0.08,1.040,1,0.05,,,,,,,,,,
ashes,174,12,19,6,,,N,1.40,4.240,0.00,1.000,2,0.19,20,0.00,,,,,,,,
ashtray,127,8,13,1,6.56,,N,1.00,2.280,0.13,1.250,3,0.01,26,0.00,,,,,,,,
asia,152,19,48,44,,,N,1.88,3.210,0.29,1.390,6,0.04,,,,,,,,,,
ask,147,17,38,128,2.48,,V,1.19,3.740,0.31,1.700,25,0.04,5,0.01,,,,,,A--,11,0.01
asleep,140,15,29,27,,,AJ,2.86,6.330,0.21,1.780,8,0.01,,,,,,,,,,
asphalt,142,18,34,3,5.79,,N,2.59,4.630,0.24,1.110,4,0.07,,,,,,,,,,
aspirin,132,10,27,3,5.70,,N,2.60,2.920,0.80,1.910,11,0.00,18,0.00,,,,,,,,
ass,152,13,35,5,6.03,,N,1.00,1.780,0.23,1.730,10,0.03,16,0.02,,,,,,A--,11,0.09
assault,154,18,43,15,,,V,3.20,4.090,0.20,1.060,4,0.01,,,,,,,,,,
assignment,146,13,28,62,,,N,3.00,4.460,0.23,1.040,5,0.00,,,,,,,,,,
assist,183,3,15,26,3.38,,V,1.00,1.410,0.33,1.020,3,0.02,16,0.00,,,,,,,,
assistance,148,6,26,87,,,N,1.00,1.740,0.00,1.000,1,0.01,,,,,,,,,,
assistant,145,11,25,36,,,N,1.40,2.180,0.30,1.310,7,0.00,11,0.00,,,,,,,,
associate,139,24,48,21,,,V,,,,,4,0.00,25,0.00,,,,,,,,
assume,152,23,56,63,,,V,1.15,2.920,0.10,1.540,5,0.09,17,0.01,,,,,,,,
asteroid,149,13,30,1,,,N,2.30,2.350,0.10,1.050,2,0.03,,,,,,,,,,
astrology,145,9,29,0,3.48,,V,1.75,2.060,0.38,1.140,3,0.01,,,,,,,,,,
astronaut,154,11,26,2,,,N,1.75,1.910,0.38,1.060,3,0.00,,,,,,,,,,
astronomy,146,7,18,24,3.84,,N,2.14,2.330,0.57,1.080,8,0.00,,,,,,,,,,
asylum,79,8,27,1,4.22,,N,,,,,1,0.09,,,,,,,,,,
athlete,146,18,48,9,,,N,1.82,2.530,0.24,1.270,16,0.01,17,0.00,,,,,,,,
athletic,147,20,51,18,,,AJ,2.05,3.050,0.05,1.010,8,0.00,,,,,,,,,,
atlas,148,10,17,12,5.74,,N,1.56,2.780,0.33,1.070,4,0.02,,,,,,,,,,
atmosphere,148,14,42,79,3.76,,N,2.23,3.290,0.31,1.110,7,0.01,,,,,,,,,,
atom,152,12,23,37,4.77,,N,2.50,3.110,0.50,2.070,14,0.03,,,,,,,,,,
atomic,152,12,29,46,,,AJ,1.20,2.310,0.10,1.100,1,0.01,,,,,,,,,,
attach,150,20,59,14,,,V,1.71,3.680,0.18,1.160,9,0.05,,,,,,,,,,
attack,148,20,37,105,3.87,,V,2.70,4.890,0.20,1.300,23,0.02,,,,,,,,,,
attempt,195,8,34,95,2.92,,V,0.75,1.030,0.13,1.130,2,0.02,,,,,,,,,,
attend,180,21,43,54,3.20,,V,1.80,3.600,0.05,1.030,1,0.06,,,,,,,,,,
attendance,147,19,44,12,,,N,,,,,1,0.01,,,,,,,,,,
attention,197,29,96,179,2.50,,N,0.59,1.490,0.15,1.100,16,0.06,,,,,,,,,,
attic,151,21,44,16,,,N,1.32,2.270,0.21,1.230,6,0.01,,,,,,,,,,
attire,152,6,17,6,,,N,2.17,2.240,0.50,1.050,4,0.01,11,0.01,,,,,,,,
attitude,148,19,43,107,1.83,,N,2.00,3.760,0.29,1.240,13,0.10,,,,,,,,,,
attorney,152,12,31,65,,,N,1.67,2.680,0.08,1.100,5,0.09,,,,,,,,,,
attract,148,26,66,19,,,V,,,,,3,0.01,,,,,,,,,,
attractive,154,16,32,39,,,AJ,3.69,5.970,0.23,1.070,8,0.00,,,,,,,,,,
audience,153,19,47,115,,,N,,,,,4,0.01,,,,,,,,,,
aunt,130,3,10,22,5.79,,N,1.33,1.080,1.00,1.920,8,0.10,11,0.03,,,,,,,,
aura,142,18,63,1,2.25,,N,1.12,2.860,0.06,1.020,2,0.14,,,,,,,,,,
author,148,8,12,46,6.04,,N,2.25,3.110,0.50,1.360,7,0.03,,,,,,,,,,
authority,142,18,52,93,2.62,,N,1.11,3.730,0.39,1.150,29,0.03,,,,,,,,,,
auto,148,7,17,22,6.87,,N,1.50,3.490,0.50,1.200,13,0.00,,,,,,,,,,
automobile,148,8,30,50,7.00,,N,1.71,3.650,0.00,1.000,2,0.01,,,,,,,,,,
autumn,154,9,13,22,3.50,,N,1.89,3.220,0.33,1.180,4,0.01,,,,,,,,,,
avarice,79,4,13,2,3.16,,N,,,,,1,0.49,,,,,,,,,,
avenue,152,4,18,46,6.48,,N,1.00,2.180,0.75,1.260,4,0.02,,,,,,,,,,
average,152,19,49,130,2.35,G,N,1.72,2.100,0.61,1.670,20,0.08,,,,,,,,,,
avoid,147,17,55,58,2.68,,V,2.00,2.240,0.13,1.150,8,0.02,,,,,,,,,,
awake,144,9,15,20,4.40,,V,1.11,2.150,0.67,1.810,16,0.06,20,0.05,,,,,,,,
award,145,24,49,46,4.58,,V,,,,,16,0.01,,,,,,,,,,
aware,146,18,42,84,,,AJ,1.47,3.630,0.35,1.530,12,0.03,25,0.00,,,,,,,,
awareness,196,17,60,32,2.61,,N,1.00,2.570,0.00,1.000,2,0.05,,,,,,,,,,
away,148,17,31,456,2.53,,AD,2.44,5.680,0.38,1.290,57,0.03,,,,,,,,,,
awe,151,20,60,5,,,N,,,,,6,0.05,,,,,,,,,,
