word_german,word_english,letters_N,frequency_per_million,frequency_class,valence_M_young_female,valence_M_young_male,valence_M_old_female,valence_M_old_male,valence_M_young,valence_M_old,valence_M,arousal_M_young_female,arousal_M_young_male,arousal_M_old_female,arousal_M_old_male,arousal_M_young,arousal_M_old,arousal_M,control_M_young_female,control_M_young_male,control_M_old_female,control_M_old_male,control_M_young,control_M_old,control_M,imagine_M_young_female,imagine_M_young_male,imagine_M_old_female,imagine_M_old_male,imagine_M_young,imagine_M_old,imagine_M,selfrelevance_M_young_female,selfrelevance_M_young_male,selfrelevance_M_old_female,selfrelevance_M_old_male,selfrelevance_M_young,selfrelevance_M_old,selfrelevance_M,agerelevance_M_young_female,agerelevance_M_young_male,agerelevance_M_old_female,agerelevance_M_old_male,agerelevance_M_young,agerelevance_M_old,agerelevance_M,valence_M_self,valence_M_other,self_or_other_M,self_or_other_SD,self_or_other_class,valence_anova_p_age,valence_anova_etasquared_age,valence_anova_significant_age,valence_anova_p_sex,valence_anova_etasquared_sex,valence_anova_significant_sex,valence_anova_p_age_sex,valence_anova_etasquared_age_sex,valence_anova_significant_age_sex,arousal_anova_p_age,arousal_anova_etasquared_age,arousal_anova_significant_age,arousal_anova_p_sex,arousal_anova_etasquared_sex,arousal_anova_significant_sex,arousal_anova_p_age_sex,arousal_anova_etasquared_age_sex,arousal_anova_significant_age_sex,control_anova_p_age,control_anova_etasquared_age,control_anova_significant_age,control_anova_p_sex,control_anova_etasquared_sex,control_anova_significant_sex,control_anova_p_age_sex,control_anova_etasquared_age_sex,control_anova_significant_age_sex,imagine_anova_p_age,imagine_anova_etasquared_age,imagine_anova_significant_age,imagine_anova_p_sex,imagine_anova_etasquared_sex,imagine_anova_significant_sex,imagine_anova_p_age_sex,imagine_anova_etasquared_age_sex,imagine_anova_significant_age_sex,selfrelevance_anova_p_age,selfrelevance_anova_etasquared_age,selfrelevance_anova_significant_age,selfrelevance_anova_p_sex,selfrelevance_anova_etasquared_sex,selfrelevance_anova_significant_sex,selfrelevance_anova_p_age_sex,selfrelevance_anova_etasquared_age_sex,selfrelevance_anova_significant_age_sex,agerelevance_anova_p_age,agerelevance_anova_etasquared_age,agerelevance_anova_significant_age,agerelevance_anova_p_sex,agerelevance_anova_etasquared_sex,agerelevance_anova_significant_sex,agerelevance_anova_p_age_sex,agerelevance_anova_etasquared_age_sex,agerelevance_anova_significant_age_sex
besonnen,level-headed,8,2.232,14,5.083,5.25,6.083,6.25,5.167,6.167,5.667,2.5,2.417,1.917,3,2.458,2.458,2.458,4.917,5.25,5.25,5.583,5.083,5.417,5.25,3.25,3.25,4,3.5,3.25,3.75,3.5,4.333,4.417,5.667,5.833,4.375,5.75,5.063,3.583,3.75,3.917,3.917,3.667,3.917,3.792,5.75,5.625,2,0,2,0.001,0.213,1,0.568,0.007,0,1,0,0,1,0,0,0.208,0.036,0,0.143,0.048,0,0.457,0.013,0,0.457,0.013,0,1,0,0,0.336,0.021,0,0.629,0.005,0,0.629,0.005,0,0,0.281,1,0.708,0.003,0,0.9,0,0,0.194,0.038,0,0.663,0.004,0,0.663,0.004,0
besorgt,worried,7,19.631,10,2.75,3.25,4.333,4,3,4.167,3.583,5.583,5.25,5.083,5.167,5.417,5.125,5.271,3.818,3.083,4.083,5,3.435,4.542,4,5.25,5.417,4.333,3.727,5.333,4.043,4.702,4.833,4.25,5,4.917,4.542,4.958,4.75,3.5,3.917,3.818,4.083,3.708,3.957,3.83,3.25,4.25,1.667,0.333,2,0.001,0.216,1,0.805,0.001,0,0.22,0.034,0,0.357,0.019,0,0.692,0.004,0,0.509,0.01,0,0.01,0.146,1,0.822,0.001,0,0.046,0.089,1,0.02,0.12,1,0.685,0.004,0,0.477,0.012,0,0.281,0.026,0,0.387,0.017,0,0.516,0.01,0,0.257,0.03,0,0.114,0.057,0,0.721,0.003,0
bestimmend,decisive,10,0.86,15,2.583,3.167,3.667,3.833,2.875,3.75,3.313,5.417,5.25,5.833,5.25,5.333,5.542,5.438,6.083,6.25,5,5.333,6.167,5.167,5.667,3.417,4.667,4.667,4.75,4.042,4.708,4.375,4.167,4.083,4.333,4.083,4.125,4.208,4.167,3,3.25,3.833,3.083,3.125,3.458,3.292,4.125,2.688,1,0,1,0.023,0.112,1,0.318,0.023,0,0.578,0.007,0,0.448,0.013,0,0.175,0.041,0,0.448,0.013,0,0.009,0.147,1,0.495,0.011,0,0.82,0.001,0,0.197,0.038,0,0.197,0.038,0,0.257,0.029,0,0.871,0.001,0,0.746,0.002,0,0.871,0.001,0,0.279,0.027,0,0.415,0.015,0,0.107,0.058,0
boshaft,malicious,7,1.008,15,1.25,1.833,1.333,1.5,1.542,1.417,1.479,6.333,5.917,6,5.75,6.125,5.875,6,4.167,4.333,4.417,3.833,4.25,4.125,4.188,5,5.417,4.917,4.417,5.208,4.667,4.938,1.417,2,1.583,1.833,1.708,1.708,1.708,2.833,2.833,3.25,2.917,2.833,3.083,2.958,1.5,1.063,1,0,1,0.497,0.011,0,0.046,0.088,1,0.26,0.029,0,0.329,0.022,0,0.195,0.038,0,0.744,0.002,0,0.801,0.001,0,0.675,0.004,0,0.452,0.013,0,0.402,0.016,0,0.948,0,0,0.478,0.011,0,1,0,0,0.221,0.034,0,0.622,0.006,0,0.164,0.043,0,0.351,0.02,0,0.351,0.02,0
brutal,brutal,6,9.161,12,1,1.167,1,1.167,1.083,1.083,1.083,6.833,6.417,6.833,6.583,6.625,6.708,6.667,4,4,3.5,3,4,3.25,3.625,6.417,6.667,5.25,5.833,6.542,5.542,6.042,1,2,1,1.333,1.5,1.167,1.333,2.636,2.167,2.333,2,2.391,2.167,2.277,1.125,1,1,0,1,1,0,0,0.042,0.091,1,1,0,0,0.6,0.006,0,0.041,0.092,1,0.6,0.006,0,0.263,0.028,0,0.707,0.003,0,0.707,0.003,0,0.035,0.097,1,0.369,0.018,0,0.719,0.003,0,0.187,0.039,0,0.01,0.14,1,0.187,0.039,0,0.255,0.03,0,0.055,0.083,0,0.739,0.003,0
defensiv,defensive,8,2.013,14,2.417,2.583,2.25,3.75,2.5,3,2.75,4.333,4.083,3.583,4.091,4.208,3.826,4.021,2.333,2.833,3.167,3.167,2.583,3.167,2.875,3.417,4,4,3.333,3.708,3.667,3.688,3.083,3.5,2.5,3.917,3.292,3.208,3.25,3.5,3,3.25,3.583,3.25,3.417,3.333,2.875,3.125,1.625,0.5,2,0.113,0.056,0,0.01,0.142,1,0.036,0.096,1,0.446,0.014,0,0.791,0.002,0,0.437,0.014,0,0.159,0.045,0,0.543,0.008,0,0.543,0.008,0,0.934,0,0,0.934,0,0,0.221,0.034,0,0.843,0.001,0,0.033,0.099,1,0.237,0.032,0,0.42,0.015,0,0.686,0.004,0,0.048,0.086,1
depressiv,depressive,9,1.54,14,1.667,1.25,1.083,1.833,1.458,1.458,1.458,5.083,5.333,5,4,5.208,4.522,4.872,1.833,1.5,2.167,1.917,1.667,2.042,1.854,4.583,4.167,5,5.083,4.375,5.042,4.708,2.5,3.333,3.333,2.75,2.917,3.042,2.979,3.583,3.167,3.667,3.583,3.375,3.625,3.5,1.188,1.5,2,0,2,1,0,0,0.336,0.021,0,0.001,0.209,1,0.179,0.042,0,0.473,0.012,0,0.235,0.033,0,0.285,0.026,0,0.404,0.016,0,0.905,0,0,0.267,0.028,0,0.78,0.002,0,0.675,0.004,0,0.803,0.001,0,0.803,0.001,0,0.161,0.044,0,0.37,0.018,0,0.37,0.018,0,0.549,0.008,0
deprimiert,depressed,10,1.529,14,1.917,2.167,1.75,2.333,2.042,2.042,2.042,4.583,4.917,4.833,4.167,4.75,4.5,4.625,1.833,1.917,2.333,1.833,1.875,2.083,1.979,4.583,5.5,4.583,5.083,5.042,4.833,4.938,2.417,3.167,2,2,2.792,2,2.396,3.417,3,3.333,3.75,3.208,3.542,3.375,1.938,2.063,2,0,2,1,0,0,0.172,0.042,0,0.581,0.007,0,0.563,0.008,0,0.7,0.003,0,0.25,0.03,0,0.422,0.015,0,0.422,0.015,0,0.263,0.028,0,0.661,0.004,0,0.141,0.049,0,0.661,0.004,0,0.057,0.08,0,0.359,0.019,0,0.359,0.019,0,0.231,0.032,0,1,0,0,0.136,0.05,0
direkt,direct,6,100.106,8,5,4.75,4.667,4.583,4.875,4.625,4.75,3.833,4.667,4,4.417,4.25,4.208,4.229,4.75,5.083,5.333,4.25,4.917,4.792,4.854,2.5,3.083,4.333,3.7,2.792,4.045,3.391,4.75,4.167,5.417,5.417,4.458,5.417,4.938,2.083,2.75,2.333,2.091,2.417,2.217,2.319,4.938,5.125,1,0,1,0.501,0.01,0,0.654,0.005,0,0.822,0.001,0,0.919,0,0,0.131,0.051,0,0.611,0.006,0,0.698,0.003,0,0.248,0.03,0,0.032,0.1,1,0.026,0.113,1,0.963,0,0,0.257,0.03,0,0.01,0.14,1,0.42,0.015,0,0.42,0.015,0,0.476,0.012,0,0.459,0.013,0,0.117,0.056,0
diskret,discreet,7,3.877,13,4.917,4.5,6,5.75,4.708,5.875,5.292,3.833,3.333,2.833,3.083,3.583,2.958,3.271,4.75,5.333,5.25,5.083,5.042,5.167,5.104,2.417,2.083,3.667,3.417,2.25,3.542,2.896,5.25,4.417,6,5.667,4.833,5.833,5.333,3.417,3.667,3.833,3.667,3.542,3.75,3.646,5.5,6,1.292,0.354,1,0,0.246,1,0.285,0.026,0,0.788,0.002,0,0.095,0.062,0,0.735,0.003,0,0.312,0.023,0,0.729,0.003,0,0.565,0.008,0,0.302,0.024,0,0.015,0.127,1,0.57,0.007,0,0.935,0,0,0.005,0.167,1,0.09,0.064,0,0.462,0.012,0,0.237,0.032,0,0.811,0.001,0,0.237,0.032,0
dominant,dominant,8,0.94,15,2.25,2.417,2.917,3.333,2.333,3.125,2.729,6.083,5.5,5.583,5.917,5.792,5.75,5.771,5.75,6.333,5.667,5.917,6.042,5.792,5.917,5.5,5.75,5.083,5,5.625,5.042,5.333,3.667,3.583,3.917,3.583,3.625,3.75,3.688,2.833,3.167,3,3.083,3,3.042,3.021,3.813,2.375,1,0,1,0.026,0.107,1,0.402,0.016,0,0.719,0.003,0,0.908,0,0,0.729,0.003,0,0.207,0.036,0,0.57,0.007,0,0.345,0.02,0,0.704,0.003,0,0.216,0.035,0,0.859,0.001,0,0.722,0.003,0,0.805,0.001,0,0.681,0.004,0,0.805,0.001,0,0.871,0.001,0,0.418,0.015,0,0.626,0.005,0
dumm,dumb,4,11.779,11,1.75,2.083,2.167,1.5,1.917,1.833,1.875,2.833,3.75,3.583,3.167,3.292,3.375,3.333,1.75,2.167,2.167,2.083,1.958,2.125,2.042,4.083,5.25,5.25,5.167,4.667,5.208,4.938,1.167,1.5,1.333,1.25,1.333,1.292,1.313,3.083,2.75,2.75,3.167,2.917,2.958,2.938,1.188,1.313,1.792,0.354,2,0.728,0.003,0,0.487,0.011,0,0.041,0.091,1,0.874,0.001,0,0.635,0.005,0,0.209,0.036,0,0.607,0.006,0,0.607,0.006,0,0.441,0.014,0,0.363,0.019,0,0.363,0.019,0,0.294,0.025,0,0.796,0.002,0,0.44,0.014,0,0.201,0.037,0,0.792,0.002,0,0.792,0.002,0,0.022,0.114,1
egoistisch,egoistic,10,1.002,15,2.25,2.5,1.833,1.833,2.375,1.833,2.104,5.75,6.083,6.083,4.667,5.917,5.375,5.646,5.333,4.583,5.417,4.75,4.958,5.083,5.021,3.273,4.667,4,3.417,4,3.708,3.851,3.75,3.833,2,3.083,3.792,2.542,3.167,2.667,2.333,2.417,2.5,2.5,2.458,2.479,2.625,1.625,1.292,0.167,1,0.063,0.076,0,0.662,0.004,0,0.662,0.004,0,0.117,0.055,0,0.117,0.055,0,0.013,0.131,1,0.811,0.001,0,0.18,0.04,0,0.936,0,0,0.664,0.004,0,0.501,0.011,0,0.105,0.06,0,0.009,0.145,1,0.21,0.036,0,0.281,0.026,0,0.894,0,0,0.69,0.004,0,0.507,0.01,0
ehrgeizig,ambitious,9,3.261,13,5.083,4.75,4.333,4.5,4.917,4.417,4.667,5.25,5.25,5.167,5.455,5.25,5.304,5.277,6.5,5.75,5.917,5.25,6.125,5.583,5.854,3,4.083,4.167,4.25,3.565,4.208,3.894,5.667,4.5,4,4.917,5.083,4.458,4.771,1.667,1.5,1.917,2.25,1.583,2.083,1.833,5.625,4.625,1.833,0.333,2,0.244,0.031,0,0.845,0.001,0,0.558,0.008,0,0.891,0,0,0.744,0.003,0,0.744,0.003,0,0.081,0.068,0,0.024,0.111,1,0.891,0,0,0.201,0.038,0,0.262,0.029,0,0.335,0.022,0,0.151,0.046,0,0.771,0.002,0,0.019,0.119,1,0.026,0.108,1,0.703,0.003,0,0.255,0.029,0
ehrlich,honest,7,13.411,11,6.75,6.083,6.833,6.583,6.417,6.708,6.563,2.667,2.583,2.5,2.818,2.625,2.652,2.638,5.917,5.75,5.333,5.833,5.833,5.583,5.708,3.833,2.917,4.833,3.333,3.375,4.083,3.729,6.083,5.833,6.667,6.167,5.958,6.417,6.188,3.667,3.167,3.25,3.417,3.417,3.333,3.375,6.188,6.625,1.333,0.441,1,0.119,0.054,0,0.016,0.124,1,0.262,0.029,0,0.929,0,0,0.758,0.002,0,0.598,0.007,0,0.575,0.007,0,0.708,0.003,0,0.456,0.013,0,0.183,0.04,0,0.026,0.108,1,0.581,0.007,0,0.048,0.086,1,0.104,0.059,0,0.583,0.007,0,0.717,0.003,0,0.469,0.012,0,0.151,0.046,0
eigenwillig,willful,11,1.424,14,3.667,3.25,4.5,3.417,3.458,3.958,3.708,4.333,4.333,4.583,5.083,4.333,4.833,4.583,4.833,5.083,4.417,4.25,4.958,4.333,4.646,3.25,2.917,4.417,3.167,3.083,3.792,3.438,5.667,5,5.5,4.167,5.333,4.833,5.083,2.667,3.667,3.25,3.917,3.167,3.583,3.375,4.688,3.875,1.333,0.5,1,0.219,0.034,0,0.068,0.074,0,0.41,0.015,0,0.149,0.047,0,0.467,0.012,0,0.467,0.012,0,0.115,0.056,0,0.915,0,0,0.595,0.006,0,0.166,0.043,0,0.123,0.053,0,0.367,0.018,0,0.299,0.025,0,0.041,0.091,1,0.487,0.011,0,0.309,0.024,0,0.045,0.088,1,0.683,0.004,0
einfallslos,unimaginative,11,0.701,15,1.833,2,2.167,2.083,1.917,2.125,2.021,3.333,4.167,4.167,2.75,3.75,3.458,3.604,2,2.182,3.083,2.167,2.087,2.625,2.362,3.25,3.667,3.083,2.091,3.458,2.609,3.043,2.083,2.083,2,2.333,2.083,2.167,2.125,3,2.75,3.083,3.167,2.875,3.125,3,1.5,2,1.917,0,2,0.373,0.018,0,0.858,0.001,0,0.592,0.007,0,0.551,0.008,0,0.551,0.008,0,0.025,0.109,1,0.098,0.062,0,0.251,0.031,0,0.089,0.066,0,0.07,0.074,0,0.542,0.009,0,0.14,0.05,0,0.841,0.001,0,0.689,0.004,0,0.689,0.004,0,0.168,0.043,0,0.643,0.005,0,0.356,0.019,0
einfuehlsam,empathic,10,1.49,14,6.833,6.167,6.75,6.333,6.5,6.542,6.521,2,2.583,3,3.417,2.292,3.208,2.75,5.167,4.75,4.583,4.833,4.958,4.708,4.833,2.364,2.833,4,3.417,2.609,3.708,3.17,6.167,6.25,6.25,5.417,6.208,5.833,6.021,3.25,3.083,3.5,3.917,3.167,3.708,3.438,6.063,6.375,1.083,0.333,1,0.84,0.001,0,0.011,0.137,1,0.546,0.008,0,0.017,0.123,1,0.182,0.04,0,0.822,0.001,0,0.525,0.009,0,0.832,0.001,0,0.398,0.016,0,0.03,0.105,1,0.909,0,0,0.292,0.026,0,0.153,0.046,0,0.153,0.046,0,0.082,0.067,0,0.004,0.171,1,0.491,0.011,0,0.112,0.056,0
einsam,lonely,6,10.456,11,2,1.917,2.833,3,1.958,2.917,2.438,4.667,4.167,4.083,3.167,4.417,3.625,4.021,2.5,2,2.167,2.833,2.25,2.5,2.375,4.75,6.417,4.417,4.667,5.583,4.542,5.063,2.25,3,3.667,2.75,2.625,3.208,2.917,4.333,4.167,4.167,4.333,4.25,4.25,4.25,1.75,3,2,0,2,0.022,0.113,1,0.919,0,0,0.759,0.002,0,0.119,0.054,0,0.162,0.044,0,0.678,0.004,0,0.53,0.009,0,0.834,0.001,0,0.147,0.047,0,0.036,0.096,1,0.053,0.082,0,0.149,0.047,0,0.288,0.026,0,0.879,0.001,0,0.131,0.051,0,1,0,0,1,0,0,0.445,0.013,0
eitel,vain,5,3.796,13,3.333,2.917,2.417,2.417,3.125,2.417,2.771,5.167,5.583,4.75,5.167,5.375,4.958,5.167,4.5,4,4,3.5,4.25,3.75,4,5.545,6,5.333,4.667,5.783,5,5.383,3.75,4.167,3.167,2.417,3.958,2.792,3.375,2,1.75,2.167,2.333,1.875,2.25,2.063,3.25,2.938,1.917,0.333,2,0.04,0.092,1,0.538,0.009,0,0.538,0.009,0,0.32,0.023,0,0.32,0.023,0,1,0,0,0.34,0.021,0,0.34,0.021,0,1,0,0,0.129,0.053,0,0.833,0.001,0,0.268,0.028,0,0.015,0.127,1,0.72,0.003,0,0.213,0.035,0,0.114,0.056,0,0.859,0.001,0,0.375,0.018,0
emotional,emotional,9,5.606,12,6.333,4.75,5.5,5.083,5.542,5.292,5.417,4.25,4.583,5,5.667,4.417,5.333,4.875,3,2.333,3.727,4,2.667,3.87,3.255,4,4.25,5.333,4,4.125,4.667,4.396,6,4.333,4.917,3.917,5.167,4.417,4.792,3,2.417,2.25,2.417,2.708,2.333,2.521,5.25,5.375,1.75,0.441,2,0.504,0.01,0,0.01,0.141,1,0.123,0.053,0,0.03,0.103,1,0.227,0.033,0,0.685,0.004,0,0.018,0.124,1,0.687,0.004,0,0.339,0.021,0,0.352,0.02,0,0.352,0.02,0,0.176,0.041,0,0.136,0.05,0,0.01,0.142,1,0.503,0.01,0,0.123,0.053,0,0.388,0.017,0,0.123,0.053,0
empfindlich,touchy,11,6.046,12,3.083,3.167,3.333,2.667,3.125,3,3.063,4.833,5,4.417,4.667,4.917,4.542,4.729,2.667,2.25,3.25,2.583,2.458,2.917,2.688,3.833,4.417,4.417,4.167,4.125,4.292,4.208,5.667,5,4.5,3.917,5.333,4.208,4.771,3.25,3,3.917,3.25,3.125,3.583,3.354,3,3.125,1.75,0.441,2,0.698,0.003,0,0.366,0.019,0,0.247,0.03,0,0.292,0.025,0,0.556,0.008,0,0.906,0,0,0.221,0.034,0,0.15,0.047,0,0.737,0.003,0,0.76,0.002,0,0.76,0.002,0,0.446,0.013,0,0.012,0.136,1,0.151,0.046,0,0.923,0,0,0.043,0.09,1,0.043,0.09,1,0.348,0.02,0
energisch,energetic,9,8.818,12,5.167,4.417,5.083,5.333,4.792,5.208,5,5.5,5.25,5.25,5.5,5.375,5.375,5.375,5.75,5.417,5.833,5.583,5.583,5.708,5.646,4.417,4.5,5.333,4.583,4.458,4.958,4.708,4.667,4,5.667,5.083,4.333,5.375,4.854,2.167,2.167,3,2.75,2.167,2.875,2.521,5.438,5.5,1.273,0.518,1,0.291,0.025,0,0.524,0.009,0,0.206,0.036,0,1,0,0,1,0,0,0.471,0.012,0,0.743,0.002,0,0.445,0.013,0,0.913,0,0,0.278,0.027,0,0.468,0.012,0,0.365,0.019,0,0.004,0.173,1,0.076,0.07,0,0.904,0,0,0.026,0.108,1,0.685,0.004,0,0.685,0.004,0
entschlossen,determined,12,24.095,10,5.917,5.083,5.75,5.75,5.5,5.75,5.625,4.5,4.917,5.167,5.75,4.708,5.458,5.083,6.417,6.5,6.25,6.333,6.458,6.292,6.375,3.417,4.083,4.75,4.5,3.75,4.625,4.188,4.5,4.083,5.667,5.333,4.292,5.5,4.896,2.25,2.25,2.083,2.25,2.25,2.167,2.208,6.063,5.5,1.917,0.333,2,0.422,0.015,0,0.184,0.04,0,0.184,0.04,0,0.107,0.058,0,0.279,0.027,0,0.856,0.001,0,0.52,0.009,0,0.747,0.002,0,1,0,0,0.136,0.05,0,0.719,0.003,0,0.43,0.014,0,0.005,0.164,1,0.367,0.019,0,0.92,0,0,0.668,0.004,0,0.668,0.004,0,0.668,0.004,0
entspannt,relaxed,9,10.01,11,6.5,6.167,6.25,6.167,6.333,6.208,6.271,1.167,1.333,1.833,1.417,1.25,1.625,1.438,4.083,3.75,3,3.667,3.917,3.333,3.625,4.583,5.667,4,3.75,5.125,3.875,4.5,4.75,4.917,5.333,5,4.833,5.167,5,3,3.667,3.667,3.5,3.333,3.583,3.458,6.563,6,1.958,0,2,0.565,0.008,0,0.34,0.021,0,0.565,0.008,0,0.042,0.091,1,0.489,0.011,0,0.11,0.057,0,0.249,0.03,0,0.74,0.003,0,0.322,0.022,0,0.018,0.12,1,0.419,0.015,0,0.199,0.037,0,0.357,0.019,0,0.817,0.001,0,0.489,0.011,0,0.346,0.02,0,0.346,0.02,0,0.119,0.054,0
enttaeuscht,disappointed,10,27.579,10,2.5,2.25,2.667,2.5,2.375,2.583,2.479,4.75,5.25,5.083,4.818,5,4.957,4.979,2.667,2,2.917,2.833,2.333,2.875,2.604,4,4.667,4.25,4,4.333,4.125,4.229,2.75,3.25,2.333,2.333,3,2.333,2.667,3,2.833,3.545,3.583,2.917,3.565,3.234,1.875,2.563,1.958,0.167,2,0.458,0.013,0,0.458,0.013,0,0.882,0.001,0,0.896,0,0,0.756,0.002,0,0.314,0.024,0,0.071,0.072,0,0.207,0.036,0,0.325,0.022,0,0.673,0.004,0,0.673,0.004,0,0.355,0.019,0,0.101,0.06,0,0.534,0.009,0,0.534,0.009,0,0.032,0.102,1,0.827,0.001,0,0.729,0.003,0
erfahren,experienced,8,71.761,9,6.167,5.917,6.167,6.333,6.042,6.25,6.146,2.75,2.25,3.333,3.25,2.5,3.292,2.896,6.417,6.417,5.75,5.5,6.417,5.625,6.021,2.833,2.75,3.417,3.583,2.792,3.5,3.146,4.667,3.667,5.75,5.667,4.167,5.708,4.938,4.333,4.75,4.333,4.167,4.542,4.25,4.396,6,6.063,1.75,0.363,2,0.361,0.019,0,0.854,0.001,0,0.361,0.019,0,0.027,0.106,1,0.405,0.016,0,0.551,0.008,0,0.006,0.161,1,0.648,0.005,0,0.648,0.005,0,0.16,0.044,0,0.933,0,0,0.802,0.001,0,0,0.372,1,0.08,0.068,0,0.137,0.05,0,0.072,0.072,0,0.434,0.014,0,0.072,0.072,0
erfolgreich,successful,11,66.876,9,5.75,5.5,6.417,6.167,5.625,6.292,5.958,4.25,4.5,4,4.583,4.375,4.292,4.333,6.167,6.083,6.333,5.75,6.125,6.042,6.083,4.583,6.25,4.833,4.75,5.417,4.792,5.104,5.417,5.167,4.25,5,5.292,4.625,4.958,2.167,2.333,2.25,2.917,2.25,2.583,2.417,6.25,5.063,1.708,0.354,2,0.025,0.108,1,0.39,0.017,0,1,0,0,0.849,0.001,0,0.344,0.02,0,0.704,0.003,0,0.717,0.003,0,0.151,0.046,0,0.279,0.027,0,0.164,0.043,0,0.08,0.068,0,0.054,0.082,0,0.048,0.086,1,0.45,0.013,0,0.135,0.05,0,0.272,0.027,0,0.172,0.042,0,0.409,0.016,0
erfreut,delighted,7,12.147,11,6.75,6.417,6.917,6,6.583,6.478,6.532,3.667,3,3.364,3.667,3.333,3.522,3.426,4.636,4.5,4.364,4.333,4.565,4.348,4.457,5.417,6,6,5.5,5.708,5.75,5.729,5.5,5.333,5.333,4.75,5.417,5.042,5.229,3.083,2.333,2.833,2.75,2.708,2.792,2.75,6.688,6.313,1.917,0.333,2,0.488,0.011,0,0.001,0.222,1,0.11,0.058,0,0.709,0.003,0,0.709,0.003,0,0.321,0.023,0,0.619,0.006,0,0.85,0.001,0,0.904,0,0,0.914,0,0,0.914,0,0,0.166,0.043,0,0.25,0.03,0,0.25,0.03,0,0.52,0.009,0,0.649,0.005,0,0.027,0.106,1,0.074,0.071,0
ernst,serious,5,50.072,9,4.583,4.083,5.25,5.333,4.333,5.292,4.813,4.667,5.333,4.417,4.667,5,4.542,4.771,5.417,5.167,4.333,5,5.292,4.667,4.979,4.583,4.917,5.25,4,4.75,4.625,4.688,4.833,4.75,4.667,4.917,4.792,4.792,4.792,4.083,3.917,3.833,4.083,4,3.958,3.979,4.625,4.625,1.917,0.333,2,0.002,0.205,1,0.468,0.012,0,0.311,0.023,0,0.073,0.071,0,0.073,0.071,0,0.409,0.016,0,0.087,0.065,0,0.562,0.008,0,0.206,0.036,0,0.801,0.001,0,0.357,0.019,0,0.115,0.055,0,1,0,0,0.846,0.001,0,0.697,0.003,0,0.853,0.001,0,0.853,0.001,0,0.357,0.019,0
erschoepft,exhausted,9,10.781,11,3.917,3.75,2.833,2.833,3.833,2.833,3.333,3.75,2.75,3.417,2.833,3.25,3.125,3.188,2.5,2,3.273,2.75,2.25,3,2.617,4.583,5.167,5.083,5.75,4.875,5.417,5.146,4,3.25,2.667,2.75,3.625,2.708,3.167,4.25,4,4.083,3.667,4.125,3.875,4,2.625,3.25,2,0,2,0.014,0.13,1,0.832,0.001,0,0.832,0.001,0,0.814,0.001,0,0.141,0.049,0,0.695,0.004,0,0.04,0.094,1,0.163,0.045,0,0.975,0,0,0.284,0.026,0,0.217,0.034,0,0.934,0,0,0.044,0.089,1,0.455,0.013,0,0.351,0.02,0,0.299,0.025,0,0.168,0.043,0,0.728,0.003,0
erstaunt,astonished,8,10.944,11,4.75,4.583,4.5,4.083,4.667,4.292,4.479,4,4.417,4,4.75,4.208,4.375,4.292,3.25,2.667,3.25,3.5,2.958,3.375,3.167,5.083,6,4.667,5.25,5.542,4.958,5.25,3.917,3.417,4.5,3.5,3.667,4,3.833,3.25,3.167,2.5,2.583,3.208,2.542,2.875,4.813,4.75,1.917,0.333,2,0.175,0.041,0,0.29,0.025,0,0.648,0.005,0,0.68,0.004,0,0.153,0.046,0,0.68,0.004,0,0.285,0.026,0,0.667,0.004,0,0.285,0.026,0,0.223,0.033,0,0.12,0.054,0,0.726,0.003,0,0.402,0.016,0,0.063,0.076,0,0.529,0.009,0,0.009,0.143,1,1,0,0,0.736,0.003,0
feige,cowardly,5,2.852,13,1.833,1.833,2.083,1.917,1.833,2,1.917,5.167,5.5,4.667,4.083,5.333,4.375,4.854,2.417,1.667,2.917,3.167,2.042,3.042,2.542,3.667,4.417,4.417,4.5,4.042,4.458,4.25,2.917,2.333,2,2.083,2.625,2.042,2.333,2.75,2.667,2.583,3,2.708,2.792,2.75,1.75,2.125,1.458,0.464,1,0.544,0.008,0,0.761,0.002,0,0.761,0.002,0,0.025,0.109,1,0.764,0.002,0,0.274,0.027,0,0.011,0.139,1,0.508,0.01,0,0.189,0.039,0,0.474,0.012,0,0.474,0.012,0,0.566,0.008,0,0.051,0.084,0,0.394,0.017,0,0.257,0.029,0,0.728,0.003,0,0.487,0.011,0,0.299,0.025,0
feindselig,hostile,10,1.011,15,1.333,1.75,1.417,1.5,1.542,1.458,1.5,6.5,6.167,6.333,6.417,6.333,6.375,6.354,3.083,4.25,4.75,3.333,3.667,4.042,3.854,3.833,4.667,4.583,5.333,4.25,4.958,4.604,1.583,2.5,1.333,1.5,2.042,1.417,1.729,2.833,3.333,3.083,2.75,3.083,2.917,3,1.688,1.188,1.083,0.333,1,0.643,0.005,0,0.168,0.043,0,0.356,0.019,0,0.867,0.001,0,0.616,0.006,0,0.404,0.016,0,0.416,0.015,0,0.786,0.002,0,0.007,0.154,1,0.221,0.034,0,0.172,0.042,0,0.942,0,0,0.024,0.111,1,0.048,0.086,1,0.167,0.043,0,0.265,0.028,0,0.575,0.007,0,0.007,0.153,1
