en_cue,en_target,ukr_cue,ukr_target,needs_review,suggested_ukr_cue,final_ukr_cue
regiment,battalion,полк,батальйон,False,,полк
war,battle,війна,битва,False,,війна
arena,battlefield,арена,поле бою,False,,арена
hair,beard,волосся,борода,False,,волосся
pretty,beautiful,гарна,прекрасна,False,,гарна
charm,beauty,чарівність,краса,False,,чарівність
sofa,bed,диван,ліжко,False,,диван
room,bedroom,кімната,спальня,False,,кімната
drink,beer,пити,пиво,False,,пити
trust,believe,довіра,вірити,False,,довіра
million,billion,мільйон,мільярди,False,,мільйон
chemical,biological,хімічні,біологічний,False,,хімічні
chemistry,biology,хімія,біологія,False,,хімія
butterfly,bird,метелик,пташка,False,,метелик
anniversary,birthday,річниця,день народження,False,,річниця
white,black,білий,чорний,False,,білий
bribe,blackmail,хабар,шантаж,False,,хабар
brown,blue,коричневий,синій,False,,коричневий
submarine,boat,підводний човен,човен,False,,підводний човен
bible,book,біблія,книга,False,,біблія
manager,boss,менеджер,бос,False,,менеджер
washington,boston,вашингтон,бостон,False,,вашингтон
glass,bottle,скляне,пляшка,False,,скляне
top,bottom,верхній,дно,False,,верхній
girl,boy,дівчина,хлопчик,False,,дівчина
noble,brave,благородний,сміливий,False,,благородний
smash,break,розбиття,перерва,False,,розбиття
dinner,breakfast,вечеря,сніданок,False,,вечеря
groom,bride,наречений,наречена,False,,наречений
shine,bright,сяйво,яскравий,False,,сяйво
dude,bro,хлопче,брат,False,,хлопче
sister,brother,сестра,брат,False,,сестра
scratch,bruise,подряпка,синяк,False,,подряпка
construction,build,будівництво,побудувати,False,,будівництво
tower,building,вежа,будівля,False,,вежа
caliber,bullet,калібр,куля,False,,калібр
dig,bury,копати,поховати,False,,копати
train,bus,поїзд,автобус,False,,поїзд
industry,business,промисловість,бізнес,False,,промисловість
ass,butt,задишка,задниця,False,,задишка
honey,butter,мед,масло,False,,мед
seller,buyer,продавець,покупця,False,,продавець
hello,bye,привіт,до побачення,False,,привіт
dessert,cake,десерт,торт,False,,десерт
count,calculate,рахунок,розрахувати,False,,рахунок
quiet,calm,тихо,спокійно,False,,тихо
picnic,camping,пікнік,кемпінг,False,,пікнік
tumor,cancer,пухлина,рак,False,,пухлина
lamp,candle,лампа,свічка,False,,лампа
glasses,cap,окуляри,капелюх,False,,окуляри
anarchy,capitalism,анархія,капіталізм,False,,анархія
commander,captain,командир,капітан,False,,командир
vehicle,car,транспортне засіб,автомобіль,False,,транспортне засіб
bishop,cardinal,єпископ,кардинал,False,,єпископ
load,cargo,навантаження,вантаж,False,,навантаження
floor,carpet,підлога,килим,False,,підлога
mafia,cartel,мафія,картель,False,,мафія
palace,castle,палац,замок,False,,палац
dog,cat,собака,кішка,False,,собака
grab,catch,схопи,улов,False,,схопи
reason,cause,причина,причина,True,сперечатися,сперечатися
grave,cemetery,могила,кладовище,False,,могила
mile,centimeter,миля,сантиметри,False,,миля
brain,cerebral,мозок,мозковий,False,,мозок
ritual,ceremony,ритуал,церемонія,False,,ритуал
table,chair,таблиця,стілець,False,,таблиця
obstacle,challenge,перешкода,виклик,False,,перешкода
wine,champagne,вино,шампанське,False,,вино
competition,championship,конкуренція,чемпіонат,False,,конкуренція
church,chapel,церква,каплиця,False,,церква
attractive,charming,привабливий,чарівний,False,,привабливий
follow,chase,слідувати,переслідування,False,,слідувати
expensive,cheap,дорого,дешево,False,,дорого
lip,cheek,губа,щелепа,False,,губа
bread,cheese,хліб,сир,False,,хліб
cook,chef,кухар,шефкухар,False,,кухар
stomach,chest,шлунок,груди,False,,шлунок
swallow,chew,проковтнути,жувати,False,,проковтнути
baby,child,дитина,дитя,False,,дитина
youth,childhood,молодіжність,дитинство,False,,молодіжність
sugar,chocolate,цукор,шоколад,False,,цукор
catholic,christian,католицький,християнський,False,,католицький
smoke,cigar,дим,сигара,False,,дим
tobacco,cigarette,тютюн,сигарета,False,,тютюн
zoo,circus,зоопарк,цирк,False,,зоопарк
capital,city,столиця,місто,False,,столиця
culture,civilization,культура,цивілізація,False,,культура
typical,classic,типовий,класичний,False,,типовий
patient,client,пацієнт,клієнт,False,,пацієнт
hospital,clinic,лікарня,клініка,False,,лікарня
open,close,відкритий,закрити,False,,відкритий
locked,closed,закрито,закритий,False,,закрито
cabinet,closet,кабінет,шафа,False,,кабінет
opening,closure,відкриття,закриття,False,,відкриття
beach,coast,пляж,узбережжя,False,,пляж
cup,coffee,чашка,кава,False,,чашка
rum,cognac,ром,коньяк,False,,ром
hot,cold,гаряче,холодно,False,,гаряче
fall,collapse,падіння,колапс,False,,падіння
general,colonel,загальний,полковник,False,,загальний
arrive,come,прийшов,прийди,False,,прийшов
drama,comedy,драма,комедія,False,,драма
inspector,commissioner,інспектор,комісар,False,,інспектор
commission,committee,комісія,комітет,False,,комісія
navigation,communication,навігація,комунікація,False,,навігація
racist,communist,расист,комуністичний,False,,расист
society,community,суспільство,громада,False,,суспільство
patience,compassion,терпіння,співчуття,False,,терпіння
total,complete,загалом,повний,False,,загалом
absolutely,completely,абсолютно,повністю,False,,абсолютно
software,computer,програмне забезпечення,компютер,False,,програмне забезпечення
focus,concentrate,фокус,концентрат,False,,фокус
tour,concert,тур,концерт,False,,тур
admit,confess,признай,зізнатися,False,,признай
respect,confidence,повага,довіра,False,,повага
confirmation,confirm,підтвердження,підтвердити,False,,підтвердження
chaos,confusion,хаос,плутанина,False,,хаос
contact,connection,контакт,зєднання,False,,контакт
always,constantly,завжди,постійно,False,,завжди
law,constitution,закон,конституція,False,,закон
contain,content,містить,зміст,False,,містить
proceed,continue,продовжуйте,продовжуйте,True,продовжуй,відбуватися
opposite,contrary,навпроти,навпаки,False,,навпроти
orphanage,convent,дитячий будинок,монастир,False,,дитячий будинок
warm,cool,тепле,прохолодно,False,,тепле
original,copy,оригінал,копія,False,,оригінал
company,corporation,компанія,корпорація,False,,компанія
body,corpse,тіло,труп,False,,тіло
wrong,correct,неправильно,правильно,False,,неправильно
silk,cotton,шовк,бавовна,False,,шовк
baron,countess,барон,графиня,False,,барон
relative,cousin,відносна,двоюрідний брат,False,,відносна
rodeo,cowboy,родео,ковбой,False,,родео
paranoid,crazy,параноїд,божевільний,False,,параноїд
imagination,creativity,уява,творчість,False,,уява
monster,creature,монстр,тварина,False,,монстр
scary,creepy,страшно,жахливо,False,,страшно
sin,crime,гріх,злочин,False,,гріх
thief,criminal,злодій,злочинний,False,,злодій
situation,crisis,ситуація,криза,False,,ситуація
brutal,cruel,жорстокий,жорстокий,True,дика,дика
evil,cruelty,злий,жорстокість,False,,злий
tear,cut,сльоза,розрізані,False,,сльоза
sweet,cute,солодке,милий,False,,солодке
naive,cynical,наївна,цинічний,False,,наївна
uncle,dad,дядько,тато,False,,дядько
dancer,dance,танцюрист,танець,False,,танцюрист
risk,danger,ризик,небезпека,False,,ризик
risky,dangerous,ризиковано,небезпечно,False,,ризиковано
shadow,dark,тінь,темний,False,,тінь
sunset,dawn,захід сонця,світанку,False,,захід сонця
alive,dead,живий,мертвий,False,,живий
blind,deaf,сліпий,глухі,False,,сліпий
century,decade,століття,десятиліття,False,,століття
november,december,листопад,грудень,False,,листопад
cabin,deck,каюта,палуба,False,,каюта
victory,defeat,перемога,поразка,False,,перемога
protect,defend,захистити,захищати,False,,захистити
concept,definition,концепція,визначення,False,,концепція
tasty,delicious,смачно,смачний,True,,вишуканий
freedom,democracy,свобода,демократія,False,,свобода
protest,demonstration,протест,демонстрація,False,,протест
arrival,departure,прибуття,відїзд,False,,прибуття
stress,depression,стрес,депресія,False,,стрес
profile,description,профіль,опис,False,,профіль
fate,destiny,доля,доля,True,частина,частина
creation,destruction,створення,знищення,False,,створення
agent,detective,агент,детектив,False,,агент
courage,determination,мужність,визначення,False,,мужність
progress,development,прогрес,розвиток,False,,прогрес
chip,device,чип,пристрій,False,,чип
angel,devil,ангел,диявол,False,,ангел
fidelity,devotion,вірність,відданість,False,,вірність
suffer,die,страждають,померти,False,,страждають
similar,different,подібний,різні,False,,подібний
pride,dignity,гордість,гідність,False,,гордість
ping,ding,пінг,дінг,False,,пінг
direct,directly,безпосередньо,безпосередньо,True,каналізувати,каналізувати
producer,director,виробник,директор,False,,виробник
death,disappearance,смерть,зникнення,False,,смерть
surprise,disappointment,сюрприз,розчарування,False,,сюрприз
conversation,discussion,розмова,обговорення,False,,розмова
flu,disease,грип,хвороба,False,,грип
dirty,disgusting,брудний,огидно,False,,брудний
resignation,dismissal,відставка,звільнення,False,,відставка
conflict,dispute,конфлікт,суперечка,False,,конфлікт
county,district,графство,район,False,,графство
interrupt,disturb,перерву,заважати,False,,перерву
god,divine,боже,божественний,False,,боже
unit,division,одиниця,відділ,False,,одиниця
make,do,зробити,робити,False,,зробити
surgeon,doctor,хірург,лікар,False,,хірург
file,document,файл,документ,False,,файл
pound,dollar,фунт,долар,False,,фунт
charity,donation,благодійність,пожертвування,False,,благодійність
window,door,вікно,двері,False,,вікно
paint,draw,фарба,розіграш,False,,фарба
nightmare,dream,кошмар,мрія,False,,кошмар
skirt,dress,спідниця,одяг,False,,спідниця
passenger,driver,пасажир,водій,False,,пасажир
alcohol,drug,алкоголь,наркотики,False,,алкоголь
sober,drunk,трезвий,пяний,False,,трезвий
goose,duck,гусь,качка,False,,гусь
ash,dust,попел,пил,False,,попел
rusty,dusty,ржавий,пильна,False,,ржавий
responsibility,duty,відповідальність,обовязок,False,,відповідальність
gunpowder,dynamite,порох,динаміт,False,,порох
eye,ear,око,вухо,False,,око
late,early,запізно,рано,False,,запізно
west,east,захід,схід,False,,захід
impossible,easy,неможливо,легко,False,,неможливо
feed,eat,корми,їсти,False,,корми
health,education,здоровя,освіта,False,,здоровя
influence,effect,вплив,ефект,False,,вплив
useful,effective,корисне,ефективний,False,,корисне
nest,egg,гніздо,яйце,False,,гніздо
campaign,election,кампанія,вибори,False,,кампанія
magnetic,electric,магнітні,електричний,False,,магнітні
current,electricity,поточний,електрика,False,,поточний
fashionable,elegant,модна,елегантно,False,,модна
factor,element,фактор,елемент,False,,фактор
urgent,emergency,невідкладно,надзвичайний,False,,невідкладно
mental,emotional,психічний,емоційні,False,,психічний
imperial,emperor,імперська,імператор,False,,імперська
dynasty,empire,династія,імперія,False,,династія
power,energy,потужність,енергія,False,,потужність
tank,engine,резервуар,двигун,False,,резервуар
exit,entrance,вихід,вхід,False,,вихід
millionaire,entrepreneur,мільйонер,підприємець,False,,мільйонер
plague,epidemic,чума,епідемія,False,,чума
series,episode,серія,епізод,False,,серія
equipment,equip,обладнання,оснастити,False,,обладнання
orgasm,erection,оргазм,ерекція,False,,оргазм
flee,escape,втекти,втеча,False,,втекти
observation,evaluation,спостереження,оцінка,False,,спостереження
night,evening,ніч,вечір,False,,ніч
phenomenon,event,феномен,подія,False,,феномен
finally,eventually,нарешті,зрештою,False,,нарешті
never,ever,ніколи,ніколи,True,,аніскільки
underestimate,exaggerate,недооцінювати,перебільшувати,False,,недооцінювати
proud,excited,пишаюся,збуджений,False,,пишаюся
forgive,excuse,прости,виправдання,False,,прости
hanging,execution,висить,виконання,False,,висить
practice,exercise,практика,вправи,False,,практика
gallery,exhibition,галерея,виставка,False,,галерея
wait,expect,зачекайте,очікувати,False,,зачекайте
burst,explode,розрив,вибухнути,False,,розрив
earthquake,explosion,землетрус,вибух,False,,землетрус
bomb,explosive,бомба,вибухові,False,,бомба
describe,express,описати,експрес,False,,описати
internal,external,внутрішня,зовнішній,False,,внутрішня
success,failure,успіх,невдача,False,,успіх
hope,faith,надія,віра,False,,надія
loyal,faithful,вірний,вірний,True,швидко,швидко
fake,FALSE,фальшивий,фальшиве,False,,фальшивий
clan,family,клан,сімя,False,,клан
popular,famous,популярний,відомий,False,,популярний
wonderful,fantastic,чудово,фантастично,False,,чудово
reality,fantasy,реальність,фантазія,False,,реальність
near,far,поблизу,далеко,False,,поблизу
slow,fast,повільно,швидко,False,,повільно
deadly,fatal,смертельний,смертельний,True,вірулентний,вірулентний
mother,father,мати,батько,False,,мати
mail,fax,пошта,факс,False,,пошта
horror,fear,жах,страх,False,,жах
colony,federation,колонія,федерація,False,,колонія
impression,feeling,враження,відчуття,False,,враження
male,female,чоловічий,жіноча,False,,чоловічий
wall,fence,стіна,огорожа,False,,стіна
carnival,festival,карнавал,фестиваль,False,,карнавал
cough,fever,кашель,лихоманка,False,,кашель
combat,fight,бойові дії,бій,False,,бойові дії
champion,fighter,чемпіон,бойовик,False,,чемпіон
nasty,filthy,неприємно,брудний,False,,неприємно
banking,financial,банківські послуги,фінансові,False,,банківські послуги
financially,financing,фінансово,фінансування,False,,фінансово
search,find,пошук,знайти,False,,пошук
dna,fingerprint,днк,відбиток пальця,False,,днк
end,finish,кінець,закінчити,False,,кінець
shark,fish,акула,риба,False,,акула
hunting,fishing,полювання,рибальство,False,,полювання
fire,flame,вогонь,полумя,False,,вогонь
naval,fleet,військовоморський,флот,False,,військовоморський
landing,flight,висадка,польоту,False,,висадка
grain,flour,зерно,борошно,False,,зерно
plant,flower,рослина,квітка,False,,рослина
liquid,fluid,рідина,рідина,True,розплавлені,розплавлені
land,fly,земля,летіть,False,,земля
cloud,fog,хмара,туман,False,,хмара
basketball,football,баскетбол,футбол,False,,баскетбол
strength,force,сила,сила,True,спеціальність,спеціальність
jungle,forest,джунглі,ліс,False,,джунглі
eternal,forever,вічна,назавжди,False,,вічна
spoon,fork,ложка,вилка,False,,ложка
two,four,двоє,четверо,False,,двоє
third,fourth,третій,четвертий,False,,третій
conspiracy,fraud,змови,шахрайство,False,,змови
freely,free,вільно,вільно,True,,виметний
melt,freeze,розплавлення,заморозити,False,,розплавлення
english,french,англійська,французький,False,,англійська
colleague,friend,колега,друг,False,,колега
polite,friendly,ввічливий,дружній,False,,ввічливий
relationship,friendship,звязок,дружба,False,,звязок
scare,frighten,налякати,налякати,True,паніка,паніка
apple,fruit,яблуко,фрукти,False,,яблуко
gas,fuel,газ,паливо,False,,газ
refugee,fugitive,біженця,втікач,False,,біженця
empty,full,порожній,повний,False,,порожній
operational,functional,операційний,функціональний,False,,операційний
budget,funding,бюджет,фінансування,False,,бюджет
coffin,funeral,труна,похорон,False,,труна
witty,funny,дотепний,смішно,False,,дотепний
universe,galaxy,всесвіт,галактика,False,,всесвіт
play,game,грати,гра,False,,грати
workshop,garage,семінар,гараж,False,,семінар
trash,garbage,сміття,сміття,True,переможець,переможець
portal,gate,портал,ворота,False,,портал
collect,gather,збирати,зібрати,False,,збирати
lesbian,gay,лесбіянка,гей,False,,лесбіянка
naturally,generally,природно,загалом,False,,природно
compassionate,generous,співчутливий,щедрий,False,,співчутливий
soft,gentle,мякий,нежно,False,,мякий
compliment,gift,комплімент,подарунок,False,,комплімент
boys,girls,хлопчики,дівчата,False,,хлопчики
offer,give,пропозиція,дати,False,,пропозиція
national,global,національний,глобальний,False,,національний
glorious,glory,славний,слава,False,,славний
enter,go,ввійти,іди,False,,ввійти
monkey,gorilla,мавпа,горилла,False,,мавпа
administration,government,адміністрація,уряд,False,,адміністрація
diploma,graduate,диплом,випускник,False,,диплом
kilo,gram,кіло,грам,False,,кіло
grandfather,grandmother,дідусь,бабуся,False,,дідусь
hospitality,gratitude,гостинність,вдячність,False,,гостинність
excellent,great,відмінно,чудово,False,,відмінно
roman,greek,римський,грецька,False,,римський
congratulate,greet,вітаю,привітання,False,,вітаю
gang,group,банда,група,False,,банда
innocent,guilty,невинний,винний,False,,невинний
piano,guitar,фортепіано,гітара,False,,фортепіано
rifle,gun,гвинтівка,пістолет,False,,гвинтівка
illusion,hallucination,ілюзія,галюцинації,False,,ілюзія
sandwich,hamburger,бутерброд,гамбургер,False,,бутерброд
stick,hammer,палиця,молоток,False,,палиця
cloth,handkerchief,тканина,хустка,False,,тканина
occur,happen,відбуваються,сталося,False,,відбуваються
satisfied,happy,задоволений,щасливий,False,,задоволений
bay,harbor,бухта,гавань,False,,бухта
tough,hard,жорсткий,важко,False,,жорсткий
balance,harmony,баланс,гармонія,False,,баланс
helmet,hat,шлем,капелюх,False,,шлем
base,headquarters,основа,штабквартира,False,,основа
recover,heal,відновити,зцілити,False,,відновити
listen,hear,слухайте,слухайте,True,прислухатися,прислухатися
sky,heavenly,небо,небесне,False,,небо
heavy,heavily,важкий,сильно,False,,важкий
weight,height,вага,висота,False,,вага
ambulance,helicopter,швидка допомога,вертоліт,False,,швидка допомога
paradise,hell,рай,пекло,False,,рай
cocaine,heroin,кокаїн,героїн,False,,кокаїн
cover,hide,обкладинка,приховати,False,,обкладинка
low,high,низький,високий,False,,низький
majesty,highness,ваше величність,ваше високість,False,,ваше величність
road,highway,дорога,шосе,False,,дорога
aids,hiv,допоміг,віл,False,,допоміг
crack,hole,тріщина,діра,False,,тріщина
christmas,holiday,різдво,відпустка,False,,різдво
decent,honest,пристойний,чесний,False,,пристойний
loyalty,honesty,лояльність,чесність,False,,лояльність
privilege,honor,привілей,честь,False,,привілей
terrible,horrible,жахливо,жахливо,True,неописуемо,неописуемо
donkey,horse,ослик,кінь,False,,ослик
pump,hose,насос,шланг,False,,насос
kiss,hug,поцілунок,обійми,False,,поцілунок
big,huge,великий,величезний,False,,великий
man,human,чоловік,людські,False,,чоловік
thousand,hundred,тисячі,сотня,False,,тисячі
tired,hungry,втомився,голодний,False,,втомився
carbon,hydrogen,вуглець,водню,False,,вуглець
fool,idiot,дурниця,ідіот,False,,дурниця
meaning,importance,значення,важливість,False,,значення
valuable,important,цінні,важливе,False,,цінні
flatter,impress,плоскіший,вразити,False,,плоскіший
penalty,imprisonment,штраф,увязнення,False,,штраф
change,improvement,зміна,поліпшення,False,,зміна
profit,income,прибуток,дохід,False,,прибуток
point,indicate,точка,вказувати,False,,точка
person,individual,особа,індивідуальний,False,,особа
virus,infection,вірус,інфекція,False,,вірус
report,inform,звіт,інформувати,False,,звіт
source,informant,джерело,інформатор,False,,джерело
data,information,дані,інформація,False,,дані
heritage,inherit,спадщина,успадкувати,False,,спадщина
dose,injection,доза,інєкція,False,,доза
wound,injury,рана,травма,False,,рана
spider,insect,павук,комах,False,,павук
outside,inside,зовні,всередині,False,,зовні
examination,inspection,огляд,інспекція,False,,огляд
inspire,inspiration,натхнення,натхнення,True,підбадьорюйся,підбадьорюйся
tool,instrument,інструмент,інструмент,True,пекер,пекер
smart,intelligent,розумний,розумні,False,,розумний
purpose,intention,мета,наміри,False,,мета
accidentally,intentionally,випадково,навмисно,False,,випадково
exciting,interesting,захоплююче,цікаво,False,,захоплююче
personal,intimate,особистий,інтимний,False,,особистий
instinct,intuition,інстинкт,інтуїція,False,,інстинкт
finance,invest,фінанси,інвестувати,False,,фінанси
examine,investigate,оглянути,розслідувати,False,,оглянути
analyst,investigator,аналітик,дослідник,False,,аналітик
banker,investor,банкір,інвестор,False,,банкір
irony,ironic,іронія,іронія,True,сатира,сатира
unreasonable,irresponsible,нерозумний,безвідповідально,False,,нерозумний
shirt,jacket,сорочка,куртка,False,,сорочка
diamond,jewel,діамант,ювелірний,False,,діамант
trick,joke,трюк,жарт,False,,трюк
reporter,journalist,репортер,журналіст,False,,репортер
pleasure,joy,задоволення,радість,False,,задоволення
court,judge,суд,суддя,False,,суд
milk,juice,молоко,сок,False,,молоко
romeo,juliet,ромео,джульєтта,False,,ромео
june,july,червень,липня,False,,червень
climb,jump,підніматися,стрибати,False,,підніматися
senior,junior,старший,молодший,False,,старший
revenge,justice,помста,правосуддя,False,,помста
hold,keep,тримати,тримати,True,книга,книга
poison,kill,отрута,вбити,False,,отрута
queen,king,королева,король,False,,королева
royal,kingdom,королівська,королівство,False,,королівська
shoulder,knee,плече,коліно,False,,плече
recognize,knew,розпізнати,знав,False,,розпізнати
sword,knife,меч,нож,False,,меч
now,know,тепер,знаю,False,,тепер
experience,knowledge,досвід,знання,False,,досвід
lord,lady,господи,леді,False,,господи
river,lake,річка,озеро,False,,річка
tenant,landlord,орендатор,власник будинку,False,,орендатор
first,last,спочатку,останній,False,,спочатку
smile,laugh,посмішка,смійся,False,,посмішка
member,leader,член,лідер,False,,член
seminar,lecture,семінар,лекція,False,,семінар
right,left,правильно,ліворуч,False,,правильно
illegal,legal,незаконно,юридичний,False,,незаконно
myth,legend,міф,легенда,False,,міф
size,length,розмір,довжина,False,,розмір
allow,let,дозволити,дозвольте,False,,дозволити
telegram,letter,телеграма,лист,False,,телеграма
lie,liar,брехня,брехня,True,лежить,лежить
conservative,liberal,консервативний,ліберальний,False,,консервативний
suck,lick,сосать,лизати,False,,сосать
sergeant,lieutenant,сержант,лейтенант,False,,сержант
darkness,light,темрява,світло,False,,темрява
probability,likely,ймовірність,ймовірно,False,,ймовірність
taxi,limousine,таксі,лімузин,False,,таксі
ming,ling,мінг,лінг,False,,мінг
dragon,lion,дракон,лев,False,,дракон
art,literature,мистецтво,література,False,,мистецтво
kidney,liver,нирки,печінка,False,,нирки
frog,lizard,жаба,ящірка,False,,жаба
credit,loan,кредит,позика,False,,кредит
tuna,lobster,тунец,лобстер,False,,тунец
regional,local,регіональні,місцевий,False,,регіональні
place,location,місце,місце розташування,False,,місце
key,lock,ключ,замк,False,,ключ
alone,lonely,один,самотній,False,,один
short,long,короткий,довгий,False,,короткий
hate,love,ненависть,кохання,False,,ненависть
nice,lovely,приємно,прекрасно,False,,приємно
mistress,lover,коханка,коханий,False,,коханка
snack,lunch,закуска,обід,False,,закуска
robot,machine,робот,машина,False,,робот
playboy,magazine,плейбой,журнал,False,,плейбой
nanny,maid,няня,служниця,False,,няня
preserve,maintain,зберегти,підтримувати,False,,зберегти
service,maintenance,послуга,технічне обслуговування,False,,послуга
control,manipulate,контроль,маніпулювати,False,,контроль
compass,map,компас,карта,False,,компас
advertising,marketing,реклама,маркетинг,False,,реклама
divorce,marriage,розлучення,шлюб,False,,розлучення
single,married,одинокий,одружений,False,,одинокий
yoga,massage,йога,масаж,False,,йога
tournament,match,турнір,збіг,False,,турнір
physics,mathematics,фізика,математика,False,,фізика
minimum,maximum,мінімальний,максимальна,False,,мінімальний
ketchup,mayonnaise,кетчуп,майонез,False,,кетчуп
sheriff,mayor,шериф,мер,False,,шериф
food,meal,їжа,їжа,True,поживна речовина,поживна речовина
pork,meat,свиняча,мясо,False,,свиняча
technical,mechanical,технічні,механічні,False,,технічні
trophy,medal,трофей,медаль,False,,трофей
artifact,medallion,артефакт,медальйон,False,,артефакт
see,meet,дивіться,зустрітися,False,,дивіться
conference,meeting,конференція,зустріч,False,,конференція
commercial,merchant,комерційний,купець,False,,комерційний
forgiveness,mercy,прощення,милосердя,False,,прощення
warning,message,попередження,повідомлення,False,,попередження
iron,metal,залізо,метал,False,,залізо
kilometer,meter,кілометр,метр,False,,кілометр
camera,microphone,камера,мікрофон,False,,камера
telescope,microscope,телескоп,мікроскоп,False,,телескоп
civil,military,цивільне,військові,False,,цивільне
ambassador,minister,посол,міністр,False,,посол
embassy,ministry,посольство,міністерство,False,,посольство
plus,minus,плюс,мінус,False,,плюс
second,minute,другий,хвилина,False,,другий
reflection,mirror,відбиття,дзеркало,False,,відбиття
poverty,misery,бідність,нещастя,False,,бідність
unfortunate,misfortune,нещасний,нещастя,False,,нещасний
rocket,missile,ракета,ракета,True,ругула,ругула
task,mission,завдання,місія,False,,завдання
error,mistake,помилка,помилка,True,правопорушення,правопорушення
combination,mixture,комбінація,суміш,False,,комбінація
humble,modest,скромний,скромний,True,базовий,базовий
temple,monastery,храм,монастир,False,,храм
cash,money,готівка,гроші,False,,готівка
screen,monitor,екран,монітор,False,,екран
tomorrow,morning,завтра,ранку,False,,завтра
aspirin,morphine,аспірин,морфін,False,,аспірин
hotel,motel,готель,мотель,False,,готель
hill,mountain,пагорб,гора,False,,пагорб
porn,movie,порно,фільм,False,,порно
daddy,mum,тато,мама,False,,тато
suicide,murder,самогубство,вбивство,False,,самогубство
killer,murderer,вбивця,вбивця,True,морський вовк,морський вовк
nerve,muscle,нерв,мязи,False,,нерв
library,museum,бібліотека,музей,False,,бібліотека
jazz,music,джаз,музика,False,,джаз
singer,musician,співак,музикант,False,,співак
evolution,mutation,еволюція,мутація,False,,еволюція
secret,mystery,таємниця,таємниця,True,закрита книга,закрита книга
nude,naked,голий,голий,True,обнажена скульптура,обнажена скульптура
country,nation,країна,нація,False,,країна
diarrhea,nausea,діарея,нудота,False,,діарея
